건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2003,2011,부라다리빙텔,동소문동4가,"1,000",성북구,1,45,6,22.8,75-2,11290,6
2003,2011,돈암동 메트로빌,동소문동6가,"1,000",성북구,1,70,13,28.47,121,11290,8
2002,2011,동선아르텔,동선동1가,"6,500",성북구,1,0,1,21.25,85-66,11290,2
2004,2011,엔젤오피스텔,동선동3가,"5,000",성북구,1,0,3,23.33,24,11290,6
2008,2011,동선동 한양수자인,동선동4가,"5,500",성북구,1,25,3,24.88,295-1,11290,4
2005,2011,골든타워,동선동4가,"1,000",성북구,1,70,19,24.64,111-1,11290,12
2005,2011,골든타워,동선동4가,"1,000",성북구,1,70,22,24.46,111-1,11290,12
2002,2011,(119-9),안암동2가,"1,000",성북구,1,47,5,25.2,119-9,11290,2
2010,2011,코업스타클래스,하월곡동,"2,500",성북구,1,100,3,61.38,46-73,11290,4
2010,2011,코업스타클래스,하월곡동,"3,000",성북구,1,110,3,79.4,46-73,11290,8
2010,2011,코업스타클래스,하월곡동,"10,000",성북구,1,60,7,80.64,46-73,11290,9
2010,2011,코업스타클래스,하월곡동,"22,000",성북구,1,0,13,80.64,46-73,11290,10
2007,2011,성북힐스테이트,하월곡동,"7,000",성북구,1,40,20,41.62,88-64,11290,5
2005,2011,고향빌딩,석관동,"1,000",성북구,1,45,10,22.09,124-21,11290,2
2005,2011,고향빌딩,석관동,"5,500",성북구,1,0,21,22.09,124-21,11290,2
2003,2011,부라다리빙텔,동소문동4가,"1,000",성북구,2,50,10,22.8,75-2,11290,6
2006,2011,흥화브라운 동소문빌딩,동소문동4가,"10,000",성북구,2,15,14,79.19,75,11290,5
2003,2011,해피엔딩 오피스텔,동소문동6가,"8,000",성북구,2,0,18,34.03,143-5,11290,6
2002,2011,수산리빙텔,안암동2가,"3,000",성북구,2,35,27,25.2,154-1,11290,3
2002,2011,(82),보문동2가,"5,700",성북구,2,0,7,22.46,82,11290,4
2007,2011,성북힐스테이트,하월곡동,"6,000",성북구,2,50,26,41.62,88-64,11290,2
2002,2011,(335-2),석관동,"1,000",성북구,2,40,14,25,335-2,11290,4
2005,2011,고향빌딩,석관동,"6,000",성북구,2,0,23,25.45,124-21,11290,6
2002,2011,다솜오피스텔,석관동,"2,000",성북구,2,30,27,19.31,337-31,11290,3
2006,2011,흥화브라운 동소문빌딩,동소문동4가,"17,000",성북구,3,0,9,79.19,75,11290,10
2006,2011,흥화브라운 동소문빌딩,동소문동4가,"17,000",성북구,3,0,17,79.34,75,11290,7
2006,2011,흥화브라운 동소문빌딩,동소문동4가,"16,000",성북구,3,0,29,73.54,75,11290,7
2003,2011,부라다리빙텔,동소문동4가,"2,000",성북구,3,50,30,26.47,75-2,11290,8
2003,2011,돈암동 메트로빌,동소문동6가,"3,000",성북구,3,50,17,30.3,121,11290,7
2007,2011,성북힐스테이트,하월곡동,"15,000",성북구,3,0,19,57.61,88-64,11290,2
2007,2011,성북힐스테이트,하월곡동,"1,000",성북구,3,75,25,28.69,88-64,11290,5
2010,2011,코업스타클래스,하월곡동,"3,000",성북구,3,170,29,101.2,46-73,11290,6
2002,2011,다솜오피스텔,석관동,"1,000",성북구,3,45,14,24.01,337-31,11290,2
2005,2011,고향빌딩,석관동,"5,500",성북구,3,0,21,22.09,124-21,11290,2
2006,2011,흥화브라운 동소문빌딩,동소문동4가,"17,000",성북구,4,0,15,73.54,75,11290,5
2003,2011,돈암동 메트로빌,동소문동6가,"8,500",성북구,4,0,20,28.47,121,11290,3
2003,2011,돈암동 메트로빌,동소문동6가,"5,000",성북구,4,30,23,30.3,121,11290,5
2003,2011,광남 제니텔,삼선동5가,"1,000",성북구,4,60,22,35.88,298-10,11290,3
2005,2011,골든타워,동선동4가,"9,000",성북구,4,0,27,24.46,111-1,11290,11
2002,2011,수산리빙텔,안암동2가,"2,000",성북구,4,40,19,25.2,154-1,11290,5
2003,2011,씨엠오스빌,장위동,"1,000",성북구,4,40,16,25.04,50-35,11290,4
2003,2011,부라다리빙텔,동소문동4가,"4,000",성북구,5,40,13,33.53,75-2,11290,8
2006,2011,흥화브라운 동소문빌딩,동소문동4가,"19,000",성북구,5,0,23,78.14,75,11290,6
2006,2011,흥화브라운 동소문빌딩,동소문동4가,"14,000",성북구,5,0,31,73.54,75,11290,9
2003,2011,해피엔딩 오피스텔,동소문동6가,"9,000",성북구,5,0,16,34.6,143-5,11290,6
2003,2011,광남 제니텔,삼선동5가,"8,000",성북구,5,0,12,35.88,298-10,11290,7
2002,2011,동선아르텔,동선동1가,"7,000",성북구,5,0,26,21.46,85-66,11290,3
2004,2011,엔젤오피스텔,동선동3가,"6,300",성북구,5,0,17,25.56,24,11290,3
2005,2011,고향빌딩,석관동,"5,500",성북구,5,0,14,22.09,124-21,11290,2
2002,2011,다솜오피스텔,석관동,"5,000",성북구,5,0,18,19.31,337-31,11290,5
2005,2011,고향빌딩,석관동,"6,000",성북구,5,0,25,25.45,124-21,11290,2
2003,2011,돈암동 메트로빌,동소문동6가,"3,000",성북구,6,50,7,30.3,121,11290,3
2002,2011,(119-9),안암동2가,"1,000",성북구,6,50,2,25.2,119-9,11290,2
2001,2011,서정오피스텔,안암동4가,"2,000",성북구,6,33,30,26.16,29-2,11290,2
2003,2011,브룩스톤오피스텔,석관동,"3,000",성북구,6,40,1,33.15,135-2,11290,4
2005,2011,고향빌딩,석관동,"5,500",성북구,6,0,15,22.09,124-21,11290,2
2005,2011,고향빌딩,석관동,"5,500",성북구,6,0,24,22.09,124-21,11290,2
2006,2011,흥화브라운 동소문빌딩,동소문동4가,"17,000",성북구,7,0,4,79.19,75,11290,11
2003,2011,해피엔딩 오피스텔,동소문동6가,"9,000",성북구,7,0,15,34.03,143-5,11290,7
2003,2011,광남 제니텔,삼선동5가,"1,000",성북구,7,55,25,27.69,298-10,11290,10
2004,2011,엔젤오피스텔,동선동3가,"8,000",성북구,7,0,12,39.1,24,11290,3
2003,2011,(176-69),석관동,"2,500",성북구,7,20,19,22.17,176-69,11290,4
2003,2011,브룩스톤오피스텔,석관동,"8,000",성북구,7,0,25,33.15,135-2,11290,5
2003,2011,브룩스톤오피스텔,석관동,"9,000",성북구,7,0,27,33.15,135-2,11290,7
2004,2011,(335-16),석관동,"8,500",성북구,7,0,29,33.03,335-16,11290,6
2003,2011,돈암동 메트로빌,동소문동6가,"9,000",성북구,8,0,5,30.3,121,11290,7
2003,2011,돈암동 메트로빌,동소문동6가,"1,000",성북구,8,65,9,30.3,121,11290,3
2003,2011,광남 제니텔,삼선동5가,"2,000",성북구,8,50,16,30.42,298-10,11290,4
2002,2011,동선아르텔,동선동1가,"7,000",성북구,8,0,12,21.46,85-66,11290,4
2002,2011,동선아르텔,동선동1가,"7,000",성북구,8,0,25,21.96,85-66,11290,4
2003,2011,1,동선동3가,"3,500",성북구,8,30,29,51.1,14-3,11290,5
2003,2011,1,동선동3가,"3,000",성북구,8,30,29,24.64,14-3,11290,2
2003,2011,1,동선동3가,"7,000",성북구,8,0,30,24.64,14-3,11290,4
2007,2011,성북힐스테이트,하월곡동,"7,000",성북구,8,40,5,41.62,88-64,11290,5
2003,2011,씨엠오스빌,장위동,"5,000",성북구,8,0,22,26.56,50-35,11290,2
2003,2011,브룩스톤오피스텔,석관동,"1,000",성북구,8,60,11,33.15,135-2,11290,6
2005,2011,고향빌딩,석관동,"5,500",성북구,8,0,20,22.09,124-21,11290,2
2006,2011,흥화브라운 동소문빌딩,동소문동4가,"14,000",성북구,9,0,15,79.34,75,11290,13
2003,2011,해피엔딩 오피스텔,동소문동6가,"1,000",성북구,9,80,17,34.85,143-5,11290,7
2003,2011,광남 제니텔,삼선동5가,"1,000",성북구,9,50,22,27.69,298-10,11290,3
2002,2011,동선아르텔,동선동1가,"2,000",성북구,9,45,21,21.46,85-66,11290,5
2010,2011,코업스타클래스,하월곡동,"7,000",성북구,9,60,19,80.64,46-73,11290,8
2010,2011,코업스타클래스,하월곡동,"2,000",성북구,9,175,20,101.2,46-73,11290,7
2003,2011,(176-69),석관동,"2,000",성북구,9,25,17,22.36,176-69,11290,5
2003,2011,부라다리빙텔,동소문동4가,"1,000",성북구,10,55,5,24.53,75-2,11290,7
2003,2011,광남 제니텔,삼선동5가,"2,000",성북구,10,50,10,30.42,298-10,11290,8
2003,2011,광남 제니텔,삼선동5가,"1,000",성북구,10,60,25,27.69,298-10,11290,13
2005,2011,골든타워,동선동4가,"10,000",성북구,10,0,3,24.44,111-1,11290,9
2002,2011,(82),보문동2가,"7,000",성북구,10,0,24,22.51,82,11290,6
2007,2011,성북힐스테이트,하월곡동,"13,500",성북구,10,0,24,57.61,88-64,11290,4
2003,2011,광남 제니텔,삼선동5가,"1,000",성북구,11,60,4,27.69,298-10,11290,12
2002,2011,동선아르텔,동선동1가,"6,500",성북구,11,0,1,21.46,85-66,11290,6
2003,2011,브룩스톤오피스텔,석관동,"8,500",성북구,11,0,7,33.15,135-2,11290,4
2002,2011,다솜오피스텔,석관동,"1,000",성북구,11,40,26,24.25,337-31,11290,6
2003,2011,부라다리빙텔,동소문동4가,"4,000",성북구,12,25,22,26.5,75-2,11290,8
2003,2011,부라다리빙텔,동소문동4가,"2,000",성북구,12,40,27,22.8,75-2,11290,7
2003,2011,해피엔딩 오피스텔,동소문동6가,"10,000",성북구,12,0,23,34.6,143-5,11290,8
2003,2011,돈암동 메트로빌,동소문동6가,"1,000",성북구,12,60,30,30.3,121,11290,5
2002,2011,동선아르텔,동선동1가,"6,500",성북구,12,0,12,21.25,85-66,11290,7
2002,2011,동선아르텔,동선동1가,"7,000",성북구,12,0,20,21.46,85-66,11290,3
2002,2011,동선아르텔,동선동1가,"7,000",성북구,12,0,21,21.46,85-66,11290,3
2002,2011,동선아르텔,동선동1가,"7,000",성북구,12,0,23,21.96,85-66,11290,6
2003,2011,1,동선동3가,"7,000",성북구,12,0,5,24.64,14-3,11290,2
2011,2011,벨라미아 오피스텔,동선동4가,"9,000",성북구,12,0,13,21.69,295-4,11290,10
2004,2011,월드 오피스텔II,정릉동,"2,000",성북구,12,40,21,17.36,882-5,11290,2
2004,2011,월드 오피스텔II,정릉동,"4,000",성북구,12,30,22,24.32,882-5,11290,4
2007,2011,성북힐스테이트,하월곡동,"7,000",성북구,12,0,20,28.69,88-64,11290,4
2005,2011,고향빌딩,석관동,"2,000",성북구,12,33,8,22.09,124-21,11290,2
2003,2012,돈암동 메트로빌,동소문동6가,"1,000",성북구,1,70,3,30.3,121,11290,4
2003,2012,해피엔딩 오피스텔,동소문동6가,"8,000",성북구,1,0,3,34.03,143-5,11290,8
2003,2012,광남 제니텔,삼선동5가,"1,000",성북구,1,55,14,27.69,298-10,11290,4
2003,2012,광남 제니텔,삼선동5가,"1,000",성북구,1,50,16,27.69,298-10,11290,11
2003,2012,광남 제니텔,삼선동5가,"1,000",성북구,1,55,17,30.81,298-10,11290,12
2002,2012,동선아르텔,동선동1가,"7,000",성북구,1,0,11,21.46,85-66,11290,3
2005,2012,골든타워,동선동4가,"1,000",성북구,1,70,11,25.18,111-1,11290,9
2002,2012,(119-9),안암동2가,"3,000",성북구,1,30,15,25.2,119-9,11290,3
2002,2012,(119-9),안암동2가,"1,000",성북구,1,45,28,25.2,119-9,11290,5
2004,2012,월드 오피스텔II,정릉동,"6,500",성북구,1,0,2,17.92,882-5,11290,5
2004,2012,월드 오피스텔II,정릉동,"3,000",성북구,1,30,6,17.36,882-5,11290,6
2003,2012,브룩스톤오피스텔,석관동,"3,000",성북구,1,40,4,33.15,135-2,11290,7
2004,2012,(335-16),석관동,"5,500",성북구,1,0,10,24.01,335-16,11290,3
2004,2012,(335-16),석관동,"5,700",성북구,1,0,12,23.76,335-16,11290,1
2002,2012,다솜오피스텔,석관동,"3,000",성북구,1,20,16,19.31,337-31,11290,5
2002,2012,다솜오피스텔,석관동,"5,000",성북구,1,0,20,19.31,337-31,11290,4
2003,2012,부라다리빙텔,동소문동4가,"3,000",성북구,2,35,3,26.5,75-2,11290,8
2003,2012,부라다리빙텔,동소문동4가,"1,000",성북구,2,50,16,22.8,75-2,11290,8
2003,2012,부라다리빙텔,동소문동4가,"1,000",성북구,2,60,20,26.28,75-2,11290,8
2003,2012,돈암동 메트로빌,동소문동6가,"2,000",성북구,2,75,21,33.97,121,11290,6
2003,2012,해피엔딩 오피스텔,동소문동6가,"8,000",성북구,2,20,27,38.93,143-5,11290,7
2002,2012,동선아르텔,동선동1가,"7,300",성북구,2,0,11,21.46,85-66,11290,6
2002,2012,동선아르텔,동선동1가,"7,300",성북구,2,0,13,21.46,85-66,11290,7
2002,2012,동선아르텔,동선동1가,"7,300",성북구,2,0,19,21.46,85-66,11290,4
2002,2012,동선아르텔,동선동1가,"7,000",성북구,2,0,24,21.46,85-66,11290,5
2005,2012,골든타워,동선동4가,"2,000",성북구,2,65,17,23.09,111-1,11290,10
2005,2012,골든타워,동선동4가,"1,000",성북구,2,70,19,24.46,111-1,11290,12
2002,2012,수산리빙텔,안암동2가,"2,000",성북구,2,40,7,25.2,154-1,11290,3
2002,2012,수산리빙텔,안암동2가,"1,000",성북구,2,50,9,25.2,154-1,11290,5
2002,2012,수산리빙텔,안암동2가,"1,000",성북구,2,50,15,25.2,154-1,11290,5
2002,2012,수산리빙텔,안암동2가,"1,000",성북구,2,50,29,25.2,154-1,11290,2
2001,2012,서정오피스텔,안암동4가,"4,500",성북구,2,12,12,26.16,29-2,11290,3
2004,2012,월드 오피스텔II,정릉동,"3,000",성북구,2,30,3,17.36,882-5,11290,4
2004,2012,월드 오피스텔II,정릉동,"7,000",성북구,2,0,6,17.36,882-5,11290,2
2004,2012,월드 오피스텔II,정릉동,"5,000",성북구,2,25,8,24.32,882-5,11290,4
2004,2012,월드 오피스텔II,정릉동,"1,000",성북구,2,50,15,17.36,882-5,11290,3
2007,2012,성북힐스테이트,하월곡동,"15,000",성북구,2,0,7,59.5,88-64,11290,2
2007,2012,성북힐스테이트,하월곡동,"8,000",성북구,2,40,11,41.62,88-64,11290,2
2003,2012,브룩스톤오피스텔,석관동,"1,000",성북구,2,60,1,33.15,135-2,11290,4
2002,2012,다솜오피스텔,석관동,"2,000",성북구,2,30,5,19.11,337-31,11290,4
2002,2012,(335-2),석관동,"3,000",성북구,2,25,6,25,335-2,11290,3
2004,2012,(335-16),석관동,"5,800",성북구,2,0,6,22.65,335-16,11290,3
2002,2012,다솜오피스텔,석관동,"5,500",성북구,2,0,17,24.25,337-31,11290,4
2003,2012,브룩스톤오피스텔,석관동,"3,000",성북구,2,40,21,33.15,135-2,11290,7
2003,2012,부라다리빙텔,동소문동4가,"3,000",성북구,3,25,16,30.32,75-2,11290,9
2003,2012,광남 제니텔,삼선동5가,"1,000",성북구,3,55,28,30.42,298-10,11290,7
2002,2012,동선아르텔,동선동1가,"7,500",성북구,3,0,10,21.46,85-66,11290,7
2007,2012,성북힐스테이트,하월곡동,"15,000",성북구,3,0,23,57.61,88-64,11290,5
2003,2012,씨엠오스빌,장위동,"5,200",성북구,3,0,1,26.56,50-35,11290,2
2003,2012,씨엠오스빌,장위동,"1,000",성북구,3,40,6,23.84,50-35,11290,2
2004,2012,(335-16),석관동,"1,000",성북구,3,48,7,23.76,335-16,11290,2
2003,2012,해피엔딩 오피스텔,동소문동6가,"10,000",성북구,4,0,14,34.6,143-5,11290,10
2003,2012,해피엔딩 오피스텔,동소문동6가,"10,000",성북구,4,0,24,34.85,143-5,11290,6
2003,2012,돈암동 메트로빌,동소문동6가,500,성북구,4,75,30,28.47,121,11290,4
2003,2012,광남 제니텔,삼선동5가,"1,000",성북구,4,60,11,27.69,298-10,11290,11
2003,2012,해피엔딩 오피스텔,동소문동6가,"10,000",성북구,5,0,17,34.6,143-5,11290,6
2003,2012,돈암동 메트로빌,동소문동6가,"10,000",성북구,5,0,30,28.47,121,11290,8
2002,2012,동선아르텔,동선동1가,"7,000",성북구,5,0,19,21.46,85-66,11290,5
2002,2012,(335-2),석관동,"2,000",성북구,5,38,16,25,335-2,11290,5
2003,2012,부라다리빙텔,동소문동4가,"1,000",성북구,6,50,28,22.8,75-2,11290,9
2003,2012,돈암동 메트로빌,동소문동6가,"1,000",성북구,6,65,16,28.47,121,11290,6
2003,2012,광남 제니텔,삼선동5가,"3,000",성북구,6,40,1,27.69,298-10,11290,12
2003,2012,광남 제니텔,삼선동5가,"8,000",성북구,6,0,29,27.69,298-10,11290,3
2004,2012,엔젤오피스텔,동선동3가,"4,000",성북구,6,30,14,25.56,24,11290,4
2005,2012,골든타워,동선동4가,"3,000",성북구,6,50,3,24.46,111-1,11290,10
2003,2012,돈암동 메트로빌,동소문동6가,"1,000",성북구,7,60,11,30.3,121,11290,2
2002,2012,(119-9),안암동2가,"1,000",성북구,7,45,24,25.2,119-9,11290,3
2004,2012,월드 오피스텔II,정릉동,"4,000",성북구,7,20,21,17.36,882-5,11290,3
2010,2012,코업스타클래스,하월곡동,"22,000",성북구,7,0,19,89.16,46-73,11290,5
2003,2012,브룩스톤오피스텔,석관동,"5,000",성북구,7,20,4,33.15,135-2,11290,4
2005,2012,고향빌딩,석관동,"6,000",성북구,7,0,11,25.45,124-21,11290,4
2003,2012,부라다리빙텔,동소문동4가,"1,000",성북구,8,55,3,25.89,75-2,11290,6
2003,2012,부라다리빙텔,동소문동4가,"1,000",성북구,8,50,6,22.8,75-2,11290,8
2003,2012,광남 제니텔,삼선동5가,"1,000",성북구,8,55,16,30.81,298-10,11290,11
2002,2012,동선아르텔,동선동1가,"7,300",성북구,8,0,17,21.46,85-66,11290,7
2012,2012,휴림 빌딩,동선동4가,"8,000",성북구,8,0,21,20.44,127,11290,7
2012,2012,(132),동선동4가,"5,000",성북구,8,0,25,38.26,132,11290,2
2012,2012,휴림 빌딩,동선동4가,"1,000",성북구,8,55,31,19.83,127,11290,7
2012,2012,휴림 빌딩,동선동4가,"3,000",성북구,8,36,31,19.83,127,11290,6
2002,2012,(82),보문동2가,"6,000",성북구,8,10,2,22.51,82,11290,5
2002,2012,(82),보문동2가,"7,000",성북구,8,15,4,28.96,82,11290,5
2002,2012,(335-2),석관동,"1,500",성북구,8,38,2,25,335-2,11290,3
2003,2012,부라다리빙텔,동소문동4가,"2,000",성북구,9,60,18,30.99,75-2,11290,6
2003,2012,광남 제니텔,삼선동5가,"1,000",성북구,9,60,10,27.69,298-10,11290,12
2001,2012,피아빌딩,동선동3가,"7,000",성북구,9,0,18,29.42,40-1,11290,3
2012,2012,휴림 빌딩,동선동4가,"7,000",성북구,9,0,1,17.55,127,11290,6
2012,2012,휴림 빌딩,동선동4가,"8,000",성북구,9,0,19,19.83,127,11290,7
2012,2012,휴림 빌딩,동선동4가,"8,000",성북구,9,0,22,19.95,127,11290,8
2012,2012,휴림 빌딩,동선동4가,"4,000",성북구,9,39,22,20.44,127,11290,8
2004,2012,월드 오피스텔II,정릉동,"2,000",성북구,9,50,15,24.32,882-5,11290,3
2004,2012,(335-16),석관동,"2,000",성북구,9,35,9,24.01,335-16,11290,4
2006,2012,흥화브라운 동소문빌딩,동소문동4가,"21,000",성북구,10,0,10,73.54,75,11290,11
