건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2004,2011,북한산현대렉시온오피스텔,방학동,"2,000",도봉구,1,38,3,26.4,719-2,11320,14
2004,2011,북한산현대렉시온오피스텔,방학동,"1,000",도봉구,1,50,5,26.4,719-2,11320,7
2004,2011,북한산현대렉시온오피스텔,방학동,"2,000",도봉구,1,40,26,26.4,719-2,11320,15
2003,2011,노블캐슬오피스텔,창동,"7,000",도봉구,1,0,3,26.46,621-4,11320,9
2003,2011,노블캐슬오피스텔,창동,"7,000",도봉구,1,0,4,24.68,621-4,11320,9
2004,2011,삼성쉐르빌퍼스티,창동,"1,000",도봉구,1,55,5,35.35,659-29,11320,12
2002,2011,태솔유니크빌,창동,"12,000",도봉구,1,0,5,70.12,624-15,11320,5
2004,2011,삼성쉐르빌퍼스티,창동,"2,000",도봉구,1,45,8,35.05,659-29,11320,3
2005,2011,북한산현대홈시티(647-1),창동,"2,000",도봉구,1,80,10,60.97,647-1,11320,2
2005,2011,북한산현대홈시티(624-1),창동,"2,000",도봉구,1,85,15,64.09,624-1,11320,4
2005,2011,북한산현대홈시티(647-11),창동,"13,000",도봉구,1,0,15,61.57,647-11,11320,11
2005,2011,북한산현대홈시티(647-11),창동,"12,500",도봉구,1,0,16,61.57,647-11,11320,3
2003,2011,플러스 오피스텔,창동,"7,000",도봉구,1,0,18,41.18,181-46,11320,4
2005,2011,북한산현대홈시티(624-1),창동,"13,000",도봉구,1,0,20,60.97,624-1,11320,9
2005,2011,북한산현대홈시티(647-11),창동,"13,000",도봉구,1,0,20,60.97,647-11,11320,6
2003,2011,보성오피스텔,창동,"5,500",도봉구,1,0,21,26.76,655-28,11320,6
2004,2011,EQ빌딩,창동,500,도봉구,1,60,21,33.24,13-2,11320,9
2003,2011,보성오피스텔,창동,"4,500",도봉구,1,5,21,27.52,655-28,11320,5
2005,2011,북한산현대홈시티(624-1),창동,"12,000",도봉구,1,0,22,64.09,624-1,11320,3
2005,2011,북한산현대홈시티(647-11),창동,"13,000",도봉구,1,0,23,60.97,647-11,11320,7
