건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2005,2011,세민빌딩,녹번동,"4,000",은평구,1,0,22,15.01,83-50,11380,5
2003,2011,(131-14),녹번동,"6,500",은평구,1,0,26,25.47,131-14,11380,3
2002,2011,백운오피스텔,불광동,"1,000",은평구,1,35,24,18.45,272-22,11380,3
2002,2011,백운오피스텔,불광동,"4,000",은평구,1,0,29,18.72,272-22,11380,6
2003,2011,이지플오피스텔,대조동,"2,000",은평구,1,30,15,22.26,6-42,11380,2
2002,2011,스위트오피스텔,대조동,500,은평구,1,45,24,41.48,28-1,11380,2
2003,2011,백명TRENDY,응암동,"2,000",은평구,1,35,1,25.8,111-14,11380,5
2002,2011,네오라이프,응암동,"7,000",은평구,1,0,8,31.16,113-23,11380,7
2010,2011,청수Ⅱ빌딩,응암동,500,은평구,1,45,9,17.5,21-3,11380,4
2010,2011,청수Ⅱ빌딩,응암동,"3,000",은평구,1,36,10,17.5,21-3,11380,5
2010,2011,청수Ⅱ빌딩,응암동,"6,000",은평구,1,0,11,17.5,21-3,11380,4
2003,2011,하나테크빌,응암동,"2,500",은평구,1,40,12,30.2,111-13,11380,10
2003,2011,하나테크빌,응암동,"3,000",은평구,1,32,12,29.56,111-13,11380,11
2008,2011,마인홈,응암동,"14,000",은평구,1,0,14,73.12,111-20,11380,3
2003,2011,광성빌딩,응암동,"3,000",은평구,1,20,14,23.01,126-45,11380,2
2003,2011,광성빌딩,응암동,"2,000",은평구,1,30,14,23.01,126-45,11380,3
2003,2011,하나테크빌,응암동,"2,000",은평구,1,40,15,28.39,111-13,11380,4
2010,2011,청수Ⅱ빌딩,응암동,"4,000",은평구,1,20,15,17.5,21-3,11380,4
2010,2011,청수Ⅱ빌딩,응암동,"6,000",은평구,1,0,16,17.5,21-3,11380,5
2003,2011,백명 TRENDY,응암동,"7,500",은평구,1,0,16,37.84,111-61,11380,8
2003,2011,응암하이빌,응암동,"4,500",은평구,1,0,19,22.2,427-42,11380,5
2005,2011,(118-49),응암동,400,은평구,1,41,19,20.16,118-49,11380,6
2003,2011,백명TRENDY,응암동,"6,500",은평구,1,0,20,25.8,111-14,11380,7
2010,2011,청수Ⅱ빌딩,응암동,"6,000",은평구,1,0,22,17.5,21-3,11380,3
2010,2011,청수Ⅱ빌딩,응암동,"6,000",은평구,1,0,23,17.5,21-3,11380,5
2004,2011,CJ드림시티(91-7),응암동,"7,000",은평구,1,0,24,24.84,91-7,11380,5
2004,2011,CJ드림시티(91-7),응암동,"7,000",은평구,1,0,25,24.84,91-7,11380,14
2010,2011,청수Ⅱ빌딩,응암동,"2,000",은평구,1,40,26,17.5,21-3,11380,7
2002,2011,(116-20),응암동,500,은평구,1,35,29,19.89,116-20,11380,5
2002,2011,네오라이프,응암동,"6,000",은평구,1,0,29,31.16,113-23,11380,2
2004,2011,CJ드림시티(91-7),응암동,"4,000",은평구,1,30,29,24.84,91-7,11380,12
2003,2011,대신텔,응암동,"5,000",은평구,1,0,30,23.52,111-57,11380,4
2010,2011,(36-30),역촌동,"5,500",은평구,1,0,8,21.56,36-30,11380,8
2010,2011,(36-30),역촌동,"11,500",은평구,1,0,8,54.34,36-30,11380,5
2010,2011,(36-30),역촌동,"5,500",은평구,1,0,8,21.56,36-30,11380,7
2010,2011,(36-30),역촌동,"1,500",은평구,1,40,9,20.4,36-30,11380,7
2010,2011,(36-30),역촌동,"3,500",은평구,1,20,9,19.62,36-30,11380,4
2002,2011,(83-25),역촌동,"7,500",은평구,1,0,11,40.42,83-25,11380,2
2010,2011,(36-30),역촌동,"6,000",은평구,1,0,13,20.4,36-30,11380,6
2010,2011,(36-30),역촌동,"1,000",은평구,1,50,28,22.4,36-30,11380,8
2002,2011,신사동 23-48,신사동,"3,000",은평구,1,30,8,28,23-48,11380,3
2003,2011,정원 TOP 오피스텔,신사동,"3,000",은평구,1,30,17,19.08,21-12,11380,6
2003,2011,정원 TOP 오피스텔,신사동,"2,000",은평구,1,45,17,19.8,21-12,11380,7
2001,2011,두성쉐르빌,신사동,"8,500",은평구,1,0,17,33.18,23-39,11380,5
