건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2006,2011,쎄미앙 오피스텔,미근동,"8,500",서대문구,1,0,5,19.4,190,11410,2
2006,2011,쎄미앙 오피스텔,미근동,"6,000",서대문구,1,0,6,19.4,190,11410,4
2006,2011,쎄미앙 오피스텔,미근동,"3,000",서대문구,1,40,17,19.4,190,11410,3
2006,2011,쎄미앙 오피스텔,미근동,"9,500",서대문구,1,0,20,22.61,190,11410,3
2006,2011,쎄미앙 오피스텔,미근동,"9,300",서대문구,1,0,21,22.61,190,11410,5
2006,2011,쎄미앙 오피스텔,미근동,"8,000",서대문구,1,17,24,22.61,190,11410,2
2006,2011,쎄미앙 오피스텔,미근동,"8,500",서대문구,1,0,25,19.4,190,11410,2
2006,2011,(90-1),대신동,"2,000",서대문구,1,65,8,25.69,90-1,11410,4
2004,2011,경선파인 오피스텔,창천동,"3,000",서대문구,1,40,5,20.52,97-64,11410,1
2004,2011,경선파인 오피스텔,창천동,"2,000",서대문구,1,55,6,19.38,97-64,11410,6
2004,2011,경선파인 오피스텔,창천동,"2,000",서대문구,1,50,7,19.38,97-64,11410,3
2002,2011,창천오피스텔,창천동,"6,500",서대문구,1,0,8,22.9,92-7,11410,5
2006,2011,신영스카이텔,창천동,"12,000",서대문구,1,0,8,27.14,20-51,11410,11
2004,2011,경선파인 오피스텔,창천동,"8,000",서대문구,1,0,10,19.38,97-64,11410,2
2004,2011,경선파인 오피스텔,창천동,"8,000",서대문구,1,0,15,19.26,97-64,11410,2
2002,2011,(62-48),창천동,"3,000",서대문구,1,30,19,18.5,62-48,11410,3
2004,2011,경선파인 오피스텔,창천동,"6,000",서대문구,1,40,28,27.31,97-64,11410,2
2002,2011,(62-48),창천동,"2,500",서대문구,1,30,28,12.95,62-48,11410,5
2004,2011,홍익사랑,창천동,"1,000",서대문구,1,55,29,22.11,490,11410,9
2005,2011,연희체스트빌,연희동,"1,000",서대문구,1,0,5,16.83,218-1,11410,8
2005,2011,스페이스엠,연희동,"2,000",서대문구,1,55,7,19.01,103-7,11410,5
2003,2011,(136-7),연희동,"5,000",서대문구,1,30,7,26.03,136-7,11410,7
2003,2011,(136-7),연희동,"5,000",서대문구,1,30,7,26.32,136-7,11410,4
2003,2011,(136-7),연희동,"9,500",서대문구,1,0,10,27.48,136-7,11410,2
2005,2011,연희체스트빌,연희동,"1,000",서대문구,1,55,10,16.83,218-1,11410,4
2003,2011,파라다이스텔에스비,연희동,"2,000",서대문구,1,40,12,19.24,80-7,11410,8
2003,2011,(136-7),연희동,"9,000",서대문구,1,0,13,25.04,136-7,11410,7
2004,2011,(188-3),연희동,"1,000",서대문구,1,55,15,19.95,188-3,11410,5
2002,2011,오벨리스크,연희동,"7,500",서대문구,1,0,17,20.39,121-4,11410,3
2003,2011,(188-57),연희동,"7,000",서대문구,1,0,17,19.94,188-57,11410,6
2003,2011,(136-7),연희동,"9,000",서대문구,1,0,19,26.03,136-7,11410,7
2003,2011,(136-7),연희동,"9,000",서대문구,1,0,25,26.03,136-7,11410,7
2003,2011,(136-7),연희동,"9,000",서대문구,1,0,25,26.03,136-7,11410,2
2005,2011,스페이스엠,연희동,"3,000",서대문구,1,45,25,19.01,103-7,11410,2
2002,2011,브라운 힐,연희동,500,서대문구,1,48,27,20.67,100-15,11410,6
2007,2011,현대싱그런,연희동,"28,000",서대문구,1,0,28,115.53,340-27,11410,4
2003,2011,현상준건물,홍은동,"5,000",서대문구,1,0,17,22.95,396-24,11410,4
2003,2011,현상준건물,홍은동,"5,500",서대문구,1,0,27,21.45,396-24,11410,4
2009,2011,서대문 디오빌 오피스텔,충정로2가,"4,000",서대문구,2,55,8,25.35,192,11410,18
2006,2011,충정로대우디오빌,합동,"12,500",서대문구,2,0,19,29.26,117,11410,3
2006,2011,쎄미앙 오피스텔,미근동,"9,500",서대문구,2,0,7,22.61,190,11410,6
2006,2011,쎄미앙 오피스텔,미근동,"8,000",서대문구,2,17,9,22.61,190,11410,7
2006,2011,쎄미앙 오피스텔,미근동,"5,000",서대문구,2,45,16,22.61,190,11410,9
2006,2011,쎄미앙 오피스텔,미근동,"8,000",서대문구,2,18,19,22.61,190,11410,8
2006,2011,쎄미앙 오피스텔,미근동,"6,000",서대문구,2,27,25,19.4,190,11410,8
2006,2011,(90-1),대신동,"2,000",서대문구,2,75,12,29.65,90-1,11410,5
2004,2011,아남오피스텔,창천동,"10,500",서대문구,2,0,3,28.5,20-41,11410,15
2004,2011,아남오피스텔,창천동,"9,500",서대문구,2,12,14,28.5,20-41,11410,15
2004,2011,경선파인 오피스텔,창천동,"7,000",서대문구,2,30,16,20.52,97-64,11410,1
2004,2011,경선파인 오피스텔,창천동,"3,000",서대문구,2,40,21,19.38,97-64,11410,2
2004,2011,아남오피스텔,창천동,"11,000",서대문구,2,0,25,30.24,20-41,11410,13
2002,2011,정연 지오빌,연희동,"4,000",서대문구,2,30,6,19.44,122-3,11410,5
2006,2011,드리밍,연희동,"7,500",서대문구,2,0,7,44.52,169-3,11410,2
2001,2011,연희소프트빌,연희동,"6,500",서대문구,2,0,9,16.2,212-2,11410,8
2001,2011,연희소프트빌,연희동,"1,000",서대문구,2,50,11,16.2,212-2,11410,7
2003,2011,(136-7),연희동,"8,000",서대문구,2,10,11,26.03,136-7,11410,4
2007,2011,현대싱그런,연희동,"21,500",서대문구,2,0,15,115.53,340-27,11410,5
2001,2011,연희소프트빌,연희동,"2,000",서대문구,2,40,17,16.2,212-2,11410,8
2003,2011,(446-270),연희동,"2,500",서대문구,2,20,18,21.72,446-270,11410,3
2005,2011,스페이스엠,연희동,"2,000",서대문구,2,50,20,19.01,103-7,11410,2
2003,2011,(136-7),연희동,"9,000",서대문구,2,0,22,26.03,136-7,11410,5
2001,2011,연희소프트빌,연희동,"1,000",서대문구,2,50,22,16.2,212-2,11410,9
2003,2011,(136-7),연희동,"8,000",서대문구,2,0,24,26.03,136-7,11410,4
2004,2011,시아 루비움,연희동,"3,000",서대문구,2,30,24,19.25,78-4,11410,3
2002,2011,오벨리스크,연희동,"3,000",서대문구,2,35,24,20.39,121-4,11410,5
2003,2011,(136-7),연희동,"8,000",서대문구,2,0,25,26.03,136-7,11410,4
2007,2011,현대싱그런,연희동,"18,000",서대문구,2,0,26,115.53,340-27,11410,11
2004,2011,시아 루비움,연희동,"5,800",서대문구,2,0,26,19.25,78-4,11410,4
2003,2011,현상준건물,홍은동,"5,000",서대문구,2,0,8,22.95,396-24,11410,4
2003,2011,동림오벨리스크,홍은동,"2,000",서대문구,2,30,21,21.42,396-25,11410,6
2003,2011,현상준건물,홍은동,500,서대문구,2,45,28,21.45,396-24,11410,5
2004,2011,선정오피스텔,북가좌동,"3,000",서대문구,2,30,21,24.84,343-1,11410,9
2009,2011,서대문 디오빌 오피스텔,충정로2가,"5,000",서대문구,3,50,3,28.82,192,11410,6
2004,2011,충정리시온,충정로3가,"8,000",서대문구,3,0,18,29.23,465,11410,4
2006,2011,충정로대우디오빌,합동,"1,000",서대문구,3,125,8,59.02,117,11410,4
2006,2011,충정로대우디오빌,합동,"2,000",서대문구,3,60,18,29.26,117,11410,9
2006,2011,충정로대우디오빌,합동,"12,500",서대문구,3,0,19,29.26,117,11410,5
2006,2011,쎄미앙 오피스텔,미근동,"7,000",서대문구,3,18,1,19.4,190,11410,6
2006,2011,쎄미앙 오피스텔,미근동,"8,000",서대문구,3,18,9,22.61,190,11410,3
2006,2011,쎄미앙 오피스텔,미근동,"6,000",서대문구,3,25,19,19.4,190,11410,9
2004,2011,아남오피스텔,창천동,"11,000",서대문구,3,0,7,30.24,20-41,11410,9
2004,2011,홍익사랑,창천동,"8,000",서대문구,3,0,22,22.11,490,11410,7
2002,2011,창천오피스텔,창천동,500,서대문구,3,45,29,13.33,92-7,11410,2
2003,2011,(446-270),연희동,"1,000",서대문구,3,30,9,15.84,446-270,11410,2
2003,2011,정연지오빌ll,연희동,"6,000",서대문구,3,0,15,25.53,88-11,11410,4
2007,2011,브라운스톤 연희,연희동,"8,000",서대문구,3,10,16,28.79,194-30,11410,6
2007,2011,현대싱그런,연희동,"20,000",서대문구,3,0,19,89.73,340-27,11410,2
2007,2011,현대싱그런,연희동,"22,000",서대문구,3,0,19,115.53,340-27,11410,6
2003,2011,파라다이스텔에스비,연희동,"1,000",서대문구,3,45,19,15.94,80-7,11410,4
2003,2011,파라다이스텔에스비,연희동,"2,000",서대문구,3,40,24,15.94,80-7,11410,10
2003,2011,(136-7),연희동,"8,500",서대문구,3,0,24,26.03,136-7,11410,5
2004,2011,(188-3),연희동,"1,000",서대문구,3,55,26,19.04,188-3,11410,3
2003,2011,(413-126),연희동,"5,000",서대문구,3,5,27,24.6,413-126,11410,3
2003,2011,(413-126),연희동,"5,500",서대문구,3,15,28,27.94,413-126,11410,4
2002,2011,정연 지오빌,연희동,"8,000",서대문구,3,0,28,21.06,122-3,11410,4
2004,2011,선정오피스텔,북가좌동,"6,000",서대문구,3,0,21,24.87,343-1,11410,10
