건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2002,2011,(15-3),공덕동,"6,500",마포구,1,0,8,22.02,15-3,11440,7
2002,2011,(15-3),공덕동,"6,500",마포구,1,0,10,19.72,15-3,11440,7
2002,2011,(15-3),공덕동,"6,500",마포구,1,0,18,19.72,15-3,11440,10
2002,2011,(15-3),공덕동,"6,500",마포구,1,0,22,18.15,15-3,11440,5
2004,2011,마포 신영 지웰,공덕동,"1,000",마포구,1,85,26,28.95,461,11440,5
2006,2011,마포트라팰리스,도화동,"2,000",마포구,1,220,5,106.47,559,11440,4
1988,2011,고려아카데미텔,도화동,"3,000",마포구,1,35,8,20.25,36,11440,15
2006,2011,마포트라팰리스,도화동,"15,000",마포구,1,80,8,87.69,559,11440,8
2006,2011,마포트라팰리스,도화동,"31,000",마포구,1,0,11,92.91,559,11440,30
2006,2011,마포트라팰리스,도화동,"33,000",마포구,1,0,14,92.91,559,11440,26
2004,2011,마포 한화 오벨리스크,도화동,"1,000",마포구,1,150,14,42.28,555,11440,33
2006,2011,마포트라팰리스,도화동,"3,000",마포구,1,170,15,86.4,559,11440,4
2006,2011,마포트라팰리스,도화동,"15,000",마포구,1,140,15,106.47,559,11440,18
2006,2011,마포트라팰리스,도화동,"3,000",마포구,1,155,17,73.72,559,11440,7
2006,2011,마포트라팰리스,도화동,"25,000",마포구,1,0,19,73.72,559,11440,6
2005,2011,에스케이허브그린,도화동,"14,000",마포구,1,0,31,38.51,556,11440,5
2003,2011,뷰이십일 오피스텔,대흥동,"6,000",마포구,1,0,4,16.56,3-59,11440,4
2003,2011,삼부골든타워,염리동,"3,000",마포구,1,60,22,32.5,164-4,11440,8
2003,2011,다손오피스텔,노고산동,"3,000",마포구,1,24,4,19.51,56-52,11440,5
2006,2011,아이비타워,노고산동,"2,000",마포구,1,50,10,17.63,106-5,11440,11
2003,2011,(54-88),노고산동,"4,500",마포구,1,0,11,12.3,54-88,11440,3
2003,2011,(109-5),노고산동,"1,000",마포구,1,45,11,23.37,109-5,11440,2
2006,2011,아이비타워,노고산동,"3,000",마포구,1,80,13,37.42,106-5,11440,12
2004,2011,(109-100),노고산동,"3,000",마포구,1,30,22,20.88,109-100,11440,2
2004,2011,(109-100),노고산동,"6,000",마포구,1,15,24,27.36,109-100,11440,4
2004,2011,정호 오피스텔,노고산동,"1,000",마포구,1,45,26,15.08,54-98,11440,2
