건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2004,2011,신정동대우미래사랑5차,신정동,"8,000",양천구,1,40,1,75.09,1290-4,11470,8
2004,2011,목동2차아크로텔,신정동,"23,000",양천구,1,0,3,92.51,324,11470,7
2004,2011,제이월드빌,신정동,"32,000",양천구,1,0,5,102.99,318-17,11470,13
2004,2011,목동2차아크로텔,신정동,"22,000",양천구,1,0,8,92.51,324,11470,13
2004,2011,제이월드빌,신정동,"35,000",양천구,1,0,12,102.99,318-17,11470,6
2004,2011,제이월드빌,신정동,"20,000",양천구,1,0,14,64.43,318-17,11470,14
2004,2011,목동2차아크로텔,신정동,"3,000",양천구,1,95,14,56.43,324,11470,13
2004,2011,우림필유,신정동,"21,000",양천구,1,0,15,81.62,319,11470,11
2004,2011,우림필유,신정동,"23,000",양천구,1,0,15,76.35,319,11470,6
2004,2011,신정동대우미래사랑5차,신정동,"15,500",양천구,1,0,17,93.06,1290-4,11470,11
2003,2011,이스타빌 3차,신정동,"15,000",양천구,1,45,18,79.8,323-9,11470,12
2004,2011,우림필유,신정동,"33,000",양천구,1,0,20,104.06,319,11470,11
2003,2011,클레버 타워,신정동,"2,000",양천구,1,60,21,32.62,944-3,11470,5
1999,2011,동문비젼오피스텔,신정동,"10,500",양천구,1,0,21,41.4,318-6,11470,15
2004,2011,목동대림아크로텔,신정동,"19,000",양천구,1,0,22,55.75,318-1,11470,14
2004,2011,우림필유,신정동,"20,000",양천구,1,0,22,77.1,319,11470,2
2004,2011,우림필유,신정동,"22,000",양천구,1,0,24,76.35,319,11470,4
2004,2011,목동대림아크로텔,신정동,"18,000",양천구,1,0,24,56.5,318-1,11470,9
2004,2011,목동대림아크로텔,신정동,"16,000",양천구,1,0,24,45.69,318-1,11470,9
2004,2011,신정동대우미래사랑5차,신정동,"14,000",양천구,1,0,25,75.09,1290-4,11470,12
2004,2011,제이월드빌,신정동,"5,000",양천구,1,100,25,64.43,318-17,11470,13
2003,2011,이스타빌 3차,신정동,"25,000",양천구,1,0,26,84.55,323-9,11470,4
2002,2011,(1192-3),신정동,"3,500",양천구,1,10,28,17.57,1192-3,11470,5
2004,2011,목동대림아크로텔,신정동,"20,000",양천구,1,0,28,56.5,318-1,11470,5
1999,2011,동문비젼오피스텔,신정동,"1,000",양천구,1,65,29,41.4,318-6,11470,4
2004,2011,제이월드빌,신정동,"25,000",양천구,1,0,29,83.24,318-17,11470,15
2004,2011,목동2차아크로텔,신정동,"23,000",양천구,1,0,29,92.66,324,11470,3
2004,2011,목동2차아크로텔,신정동,"29,000",양천구,1,0,29,100.05,324,11470,9
2004,2011,제이월드빌,신정동,"20,000",양천구,1,0,29,64.43,318-17,11470,9
2004,2011,우림필유,신정동,"20,000",양천구,1,0,31,68.7,319,11470,3
2001,2011,현대41타워,목동,"9,500",양천구,1,0,3,47.1,917-9,11470,35
2003,2011,현대하이페리온,목동,"52,000",양천구,1,0,4,137.36,916,11470,34
2003,2011,현대하이페리온,목동,"35,000",양천구,1,110,5,114.64,916,11470,10
2004,2011,목동 성우네트빌,목동,"1,000",양천구,1,80,5,48.06,919,11470,13
2004,2011,목동파라곤,목동,"55,000",양천구,1,0,7,131.56,917,11470,22
2003,2011,현대하이페리온,목동,"33,000",양천구,1,0,7,83.23,916,11470,11
2004,2011,목동파라곤,목동,"36,000",양천구,1,0,7,95.24,917,11470,6
2004,2011,목동 굿모닝탑,목동,"34,000",양천구,1,0,7,113,923-15,11470,10
2004,2011,현대파리지앙,목동,"13,500",양천구,1,0,8,37.78,907-10,11470,15
2004,2011,목동 굿모닝탑,목동,"40,000",양천구,1,0,8,113,923-15,11470,9
2006,2011,목동 현대 하이페리온2,목동,"35,000",양천구,1,0,9,94.39,961,11470,7
2004,2011,향도 드림네스트,목동,"12,000",양천구,1,0,9,26,909-4,11470,13
2004,2011,현대파리지앙,목동,"12,000",양천구,1,0,10,33.88,907-10,11470,6
2006,2011,목동 현대 하이페리온2,목동,"39,000",양천구,1,0,10,94.49,961,11470,15
2004,2011,목동파라곤,목동,"38,000",양천구,1,0,10,95.24,917,11470,7
2003,2011,현대하이페리온,목동,"33,000",양천구,1,0,11,87.5,916,11470,41
2004,2011,목동파라곤,목동,"38,000",양천구,1,0,12,95.24,917,11470,29
2003,2011,현대하이페리온,목동,"45,000",양천구,1,0,13,114.64,916,11470,23
2004,2011,목동파라곤,목동,"42,000",양천구,1,0,13,99.21,917,11470,5
2004,2011,목동파라곤,목동,"46,000",양천구,1,0,13,103.71,917,11470,6
2003,2011,현대하이페리온,목동,"48,000",양천구,1,0,14,114.64,916,11470,42
2004,2011,목동파라곤,목동,"38,000",양천구,1,0,14,95.24,917,11470,5
2004,2011,목동 성우네트빌,목동,"1,000",양천구,1,70,14,43.17,919,11470,16
2004,2011,목동 성우네트빌,목동,"1,000",양천구,1,70,14,43.17,919,11470,14
2002,2011,밀레니엄오피스텔,목동,"6,000",양천구,1,10,15,32.47,515-7,11470,5
2004,2011,목동파라곤,목동,"41,000",양천구,1,0,15,103.71,917,11470,7
