건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2003,2011,시원트레벨(266-8),염창동,"17,000",강서구,1,0,8,86.12,266-8,11500,5
2008,2011,어위쉬 예다인,등촌동,"18,000",강서구,1,0,3,81.89,63-12,11500,5
2010,2011,모노씨티빌등촌,등촌동,"5,000",강서구,1,0,3,22.07,658,11500,2
1999,2011,현대프린스텔,등촌동,"8,000",강서구,1,0,4,28.78,628-13,11500,4
2010,2011,모노씨티빌등촌,등촌동,"7,000",강서구,1,0,6,24.06,658,11500,2
2001,2011,(656-1),등촌동,"3,000",강서구,1,30,8,34.36,656-1,11500,4
2004,2011,등촌동두산위브센티움,등촌동,"4,000",강서구,1,55,8,43.11,631,11500,10
2004,2011,등촌동두산위브센티움,등촌동,"14,000",강서구,1,0,10,43.11,631,11500,15
1999,2011,현대프린스텔,등촌동,"6,500",강서구,1,0,11,21.66,628-13,11500,8
2004,2011,삼부르네상스,등촌동,"14,000",강서구,1,0,12,60.8,75-1,11500,3
2004,2011,등촌동두산위브센티움,등촌동,"12,500",강서구,1,0,13,43.11,631,11500,9
2005,2011,강변샤르망3단지,등촌동,"3,000",강서구,1,85,14,58.36,628-17,11500,13
2010,2011,모노씨티빌등촌,등촌동,"6,000",강서구,1,0,14,24.06,658,11500,5
2004,2011,대룡드림타워-1,등촌동,"2,000",강서구,1,50,15,30.32,684-3,11500,4
2004,2011,등촌동두산위브센티움,등촌동,500,강서구,1,65,15,22.6,631,11500,5
2004,2011,등촌동두산위브센티움,등촌동,"8,500",강서구,1,15,17,28.45,631,11500,9
2004,2011,비원오피스텔,등촌동,"1,000",강서구,1,65,18,39.08,648-6,11500,8
2004,2011,대룡드림타워-1,등촌동,"9,000",강서구,1,0,19,30.32,684-3,11500,9
2005,2011,트라비하우스,등촌동,"13,000",강서구,1,0,20,50.16,628-18,11500,6
2005,2011,강변샤르망3단지,등촌동,"12,000",강서구,1,35,21,63.16,628-17,11500,7
2005,2011,강변샤르망2단지,등촌동,"8,500",강서구,1,45,22,63.16,628-32,11500,10
2004,2011,대룡드림타워-1,등촌동,"5,500",강서구,1,30,22,30.32,684-3,11500,3
2005,2011,효성인텔리안,등촌동,"13,000",강서구,1,0,24,58.91,681-3,11500,6
2005,2011,효성인텔리안,등촌동,"13,000",강서구,1,0,25,50.37,681-3,11500,5
2002,2011,한백e(915-6),화곡동,"4,000",강서구,1,0,3,63.2,915-6,11500,2
2003,2011,에이탑오피스텔,화곡동,"6,000",강서구,1,0,6,28.47,70-5,11500,5
1996,2011,(27-10),화곡동,"2,000",강서구,1,20,11,32.39,27-10,11500,4
1999,2011,줄리엣오피스텔,화곡동,500,강서구,1,35,12,25.42,24-79,11500,7
2003,2011,화성오피스텔(29-45),화곡동,500,강서구,1,45,14,28.98,29-45,11500,4
2002,2011,화곡동오피스텔,화곡동,"5,500",강서구,1,0,22,18.26,29-80,11500,3
1997,2011,(24-118),화곡동,"5,000",강서구,1,0,24,26.01,24-118,11500,3
2004,2011,휴먼빌,가양동,"7,800",강서구,1,0,4,25.64,1479-9,11500,4
2004,2011,휴먼빌,가양동,"9,000",강서구,1,0,5,25.64,1479-9,11500,15
2004,2011,휴먼빌,가양동,"1,500",강서구,1,50,5,25.64,1479-9,11500,7
2004,2011,휴먼빌,가양동,"3,000",강서구,1,40,8,25.64,1479-9,11500,12
2003,2011,이스타빌2차,가양동,"10,000",강서구,1,0,14,34,1480-1,11500,4
2003,2011,동양 트레벨 스카이 오피스텔,가양동,"6,500",강서구,1,0,16,22.08,1479-8,11500,12
2003,2011,이스타빌2차,가양동,"8,000",강서구,1,10,18,32.8,1480-1,11500,6
2003,2011,이스타빌2차,가양동,"9,500",강서구,1,0,18,35.2,1480-1,11500,3
2003,2011,이스타빌2차,가양동,"1,000",강서구,1,62,24,34,1480-1,11500,3
2004,2011,휴먼빌,가양동,"9,000",강서구,1,0,24,25.64,1479-9,11500,6
2003,2011,동양 트레벨 스카이 오피스텔,가양동,"7,500",강서구,1,0,24,24.36,1479-8,11500,12
2003,2011,이스타빌2차,가양동,"8,500",강서구,1,0,24,30.6,1480-1,11500,9
2004,2011,휴먼빌,가양동,"2,000",강서구,1,45,27,25.64,1479-9,11500,11
2004,2011,휴먼빌,가양동,"2,000",강서구,1,45,31,25.64,1479-9,11500,8
1999,2011,에어뷰21-1오피스텔,방화동,"4,000",강서구,1,15,4,24.99,829-5,11500,11
2003,2011,벽산에어트리움,방화동,"2,000",강서구,1,35,11,28.03,849,11500,6
2003,2011,벽산에어트리움,방화동,"1,000",강서구,1,45,14,28.03,849,11500,8
2010,2011,경동화인시티,방화동,"6,000",강서구,1,0,21,19.44,612-2,11500,6
2003,2011,벽산에어트리움,방화동,"2,000",강서구,1,60,22,35.41,849,11500,3
2006,2011,예지오피스텔,방화동,"7,000",강서구,1,0,25,54.96,613-11,11500,2
2003,2011,방화샤르먕2오피스텔,방화동,500,강서구,1,38,25,17.64,830-5,11500,10
2003,2011,벽산에어트리움,방화동,500,강서구,1,50,25,28.03,849,11500,6
2003,2011,방화샤르망1오피스텔,방화동,500,강서구,1,35,31,16.29,830-3,11500,8
2004,2011,대룡드림타워-1,등촌동,"14,000",강서구,2,0,1,62.6,684-3,11500,5
1999,2011,현대프린스텔,등촌동,"6,200",강서구,2,0,7,23.63,628-13,11500,5
2008,2011,어위쉬 예다인,등촌동,"2,000",강서구,2,130,8,86.86,63-12,11500,6
2010,2011,모노씨티빌등촌,등촌동,"6,000",강서구,2,0,8,24.06,658,11500,5
2005,2011,강변샤르망2단지,등촌동,"13,500",강서구,2,20,8,63.16,628-32,11500,8
2010,2011,모노씨티빌등촌,등촌동,"7,000",강서구,2,0,9,25.93,658,11500,4
2010,2011,모노씨티빌등촌,등촌동,"7,000",강서구,2,0,9,24.06,658,11500,5
2004,2011,등촌동두산위브센티움,등촌동,"3,000",강서구,2,70,9,43.11,631,11500,8
2010,2011,모노씨티빌등촌,등촌동,"6,300",강서구,2,0,10,25.93,658,11500,5
2004,2011,등촌동두산위브센티움,등촌동,"15,000",강서구,2,0,12,43.11,631,11500,11
2004,2011,등촌동두산위브센티움,등촌동,"9,000",강서구,2,0,12,22.6,631,11500,11
2005,2011,효성인텔리안,등촌동,"13,500",강서구,2,0,13,64.75,681-3,11500,12
2010,2011,모노씨티빌등촌,등촌동,"7,000",강서구,2,0,14,25.74,658,11500,3
2010,2011,모노씨티빌등촌,등촌동,"6,500",강서구,2,0,14,24.06,658,11500,5
2010,2011,모노씨티빌등촌,등촌동,"7,000",강서구,2,0,14,24.06,658,11500,5
2010,2011,모노씨티빌등촌,등촌동,"6,500",강서구,2,0,14,24.06,658,11500,3
2004,2011,삼부르네상스,등촌동,"1,000",강서구,2,100,15,60.8,75-1,11500,7
1999,2011,현대프린스텔,등촌동,"8,500",강서구,2,0,16,28.78,628-13,11500,10
2005,2011,트라비하우스,등촌동,"5,000",강서구,2,48,17,50.16,628-18,11500,12
2010,2011,모노씨티빌등촌,등촌동,"6,000",강서구,2,0,17,24.06,658,11500,2
1999,2011,현대프린스텔,등촌동,"6,000",강서구,2,0,18,23.63,628-13,11500,10
1997,2011,(636-1),등촌동,"1,000",강서구,2,40,19,30.24,636-1,11500,4
2005,2011,트라비하우스,등촌동,"15,000",강서구,2,0,19,50.16,628-18,11500,4
2005,2011,효성인텔리안,등촌동,"16,000",강서구,2,0,21,58.91,681-3,11500,12
2005,2011,강변샤르망1단지,등촌동,"2,000",강서구,2,110,21,63.16,628-16,11500,13
2005,2011,트라비하우스,등촌동,"15,000",강서구,2,0,21,57.76,628-18,11500,12
2005,2011,등촌동노블리움오피스텔,등촌동,"1,000",강서구,2,80,22,45.2,628,11500,6
1999,2011,현대프린스텔,등촌동,"9,000",강서구,2,0,24,41.3,628-13,11500,4
2005,2011,강변샤르망1단지,등촌동,"3,000",강서구,2,100,24,63.16,628-16,11500,14
1999,2011,현대프린스텔,등촌동,"8,500",강서구,2,0,25,28.78,628-13,11500,7
2004,2011,대룡드림타워-1,등촌동,"14,000",강서구,2,0,26,62.6,684-3,11500,5
2005,2011,강변샤르망3단지,등촌동,"14,000",강서구,2,0,28,63.16,628-17,11500,7
2001,2011,(656-1),등촌동,"2,000",강서구,2,37,28,38.8,656-1,11500,2
2005,2011,(656-32),등촌동,"1,000",강서구,2,50,28,32,656-32,11500,5
2005,2011,트라비하우스,등촌동,"14,500",강서구,2,0,28,57.76,628-18,11500,6
2008,2011,어위쉬 예다인,등촌동,"16,500",강서구,2,0,28,81.89,63-12,11500,10
1998,2011,강서오피스텔,화곡동,"4,500",강서구,2,0,8,30.24,29-74,11500,3
2003,2011,에이탑오피스텔,화곡동,"2,000",강서구,2,40,12,30,70-5,11500,4
2002,2011,화곡동오피스텔,화곡동,500,강서구,2,45,12,30.9,29-80,11500,3
1999,2011,줄리엣오피스텔,화곡동,500,강서구,2,35,15,25.42,24-79,11500,2
1998,2011,(29-77),화곡동,200,강서구,2,45,23,26.56,29-77,11500,2
2002,2011,(1051-4),화곡동,500,강서구,2,40,25,19.29,1051-4,11500,7
1998,2011,(29-77),화곡동,500,강서구,2,35,26,22.6,29-77,11500,6
1998,2011,강서오피스텔,화곡동,"5,000",강서구,2,0,26,27.73,29-74,11500,8
2003,2011,동양 트레벨 스카이 오피스텔,가양동,"1,000",강서구,2,50,7,24.36,1479-8,11500,8
2003,2011,이스타빌2차,가양동,"9,500",강서구,2,0,8,34,1480-1,11500,8
