건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
1995,2011,(618-22),영등포동,"5,000",영등포구,1,0,4,23.89,618-22,11560,2
1995,2011,(618-22),영등포동,"4,000",영등포구,1,0,17,19.47,618-22,11560,4
2003,2011,폴라리스오피스텔,영등포동1가,"6,000",영등포구,1,0,4,20.67,27-1,11560,6
2001,2011,대승프린스텔,영등포동1가,"5,100",영등포구,1,0,14,16.71,20-1,11560,4
2001,2011,대승프린스텔,영등포동1가,"2,000",영등포구,1,30,15,14.4,20-1,11560,2
2003,2011,폴라리스오피스텔,영등포동1가,"3,000",영등포구,1,30,22,20.67,27-1,11560,9
2005,2011,오스본 오피스텔,영등포동2가,"5,000",영등포구,1,0,3,19.74,28-153,11560,2
2005,2011,오스본 오피스텔,영등포동2가,"5,000",영등포구,1,0,15,23.52,28-153,11560,3
2005,2011,오스본 오피스텔,영등포동2가,"5,000",영등포구,1,0,20,23.52,28-153,11560,6
2003,2011,투프레이즈오피스텔,영등포동2가,"4,500",영등포구,1,0,24,18.37,28-140,11560,2
2005,2011,에쉐르아이 시네마 쇼핑몰,영등포동3가,"6,000",영등포구,1,20,4,28.63,9-13,11560,13
2005,2011,영등포 점프밀라노,영등포동3가,"3,000",영등포구,1,40,17,39.77,7,11560,11
2002,2011,영포복합건물,영등포동5가,"7,500",영등포구,1,0,7,23.4,81-1,11560,5
1999,2011,양우화인텔,영등포동6가,"5,000",영등포구,1,0,14,24.2,3-2,11560,6
2004,2011,영등포 리버텔,영등포동7가,"2,500",영등포구,1,40,3,28.53,94-64,11560,10
2004,2011,영등포 리버텔,영등포동7가,"7,500",영등포구,1,0,5,27.75,94-64,11560,12
2003,2011,포레비떼,영등포동7가,"1,000",영등포구,1,45,5,26.54,29-126,11560,4
2004,2011,영등포 리버텔,영등포동7가,"7,000",영등포구,1,0,6,27.75,94-64,11560,6
2002,2011,넥스빌Ⅲ,영등포동7가,"3,000",영등포구,1,30,10,23.91,94-356,11560,3
2003,2011,포레비떼,영등포동7가,"1,500",영등포구,1,40,10,26.54,29-126,11560,4
