건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2004,2011,백명트렌디타워,노량진동,"1,000",동작구,1,55,22,18.39,194-3,11590,15
2004,2011,백명트렌디타워,노량진동,"3,000",동작구,1,50,22,30.89,194-3,11590,5
2003,2011,아카데미하우스,상도동,500,동작구,1,40,27,13.44,183-15,11590,3
2003,2011,(219-11),사당동,"3,000",동작구,1,35,3,25.9,219-11,11590,3
2003,2011,(219-11),사당동,"8,000",동작구,1,0,3,23.68,219-11,11590,3
2003,2011,(219-11),사당동,"1,000",동작구,1,60,19,21.46,219-11,11590,4
2003,2011,대방오피스텔,대방동,"7,000",동작구,1,0,7,22.23,337-1,11590,8
2003,2011,대방동 오피스텔,대방동,"8,000",동작구,1,0,16,25.13,385-22,11590,2
2003,2011,(394-5),대방동,"1,000",동작구,1,45,17,21.84,394-5,11590,7
2003,2011,(394-5),대방동,"6,000",동작구,1,0,23,21.84,394-5,11590,4
2006,2011,동작상떼빌,신대방동,"22,000",동작구,1,0,2,86.39,719,11590,8
2006,2011,동작상떼빌,신대방동,"21,000",동작구,1,0,10,86.39,719,11590,16
2006,2011,동작상떼빌,신대방동,"15,000",동작구,1,0,10,52.49,719,11590,8
2006,2011,동작상떼빌,신대방동,"14,000",동작구,1,0,11,41.48,719,11590,9
2006,2011,동작상떼빌,신대방동,"21,000",동작구,1,0,14,86.39,719,11590,6
2006,2011,동작상떼빌,신대방동,"18,000",동작구,1,0,17,52.49,719,11590,5
2006,2011,동작상떼빌,신대방동,"18,000",동작구,1,0,17,62.43,719,11590,21
2006,2011,동작상떼빌,신대방동,"15,000",동작구,1,0,21,51.21,719,11590,6
2006,2011,동작상떼빌,신대방동,"18,500",동작구,1,0,26,62.43,719,11590,6
2006,2011,동작상떼빌,신대방동,"17,000",동작구,1,0,28,86.39,719,11590,4
2006,2011,동작상떼빌,신대방동,"19,000",동작구,1,0,30,86.39,719,11590,14
2002,2011,남성오피스텔,사당동,500,동작구,2,46,25,15.51,212-1,11590,2
2002,2011,남성오피스텔,사당동,"1,000",동작구,2,40,27,15.51,212-1,11590,2
2003,2011,(394-5),대방동,"5,000",동작구,2,0,6,21.84,394-5,11590,2
2003,2011,(394-5),대방동,"4,000",동작구,2,20,17,22.65,394-5,11590,8
2003,2011,대방오피스텔,대방동,"1,000",동작구,2,48,20,20.52,337-1,11590,5
2003,2011,(394-5),대방동,"6,000",동작구,2,0,24,21.84,394-5,11590,8
2006,2011,동작상떼빌,신대방동,"19,000",동작구,2,0,16,90.63,719,11590,17
2006,2011,동작상떼빌,신대방동,"20,000",동작구,2,0,17,86.39,719,11590,23
