건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2010,2011,힐스타워오피스텔,봉천동,"2,000",관악구,1,52,1,33.41,1718-7,11620,7
2003,2011,(1663-10),봉천동,"8,500",관악구,1,0,2,15.9,1663-10,11620,7
1995,2011,관악센츄리타워,봉천동,"9,000",관악구,1,0,2,24.5,869-10,11620,14
2003,2011,대성오피스텔,봉천동,"1,000",관악구,1,40,2,16.34,877-12,11620,3
2001,2011,(1654-1),봉천동,"5,200",관악구,1,0,3,16.02,1654-1,11620,1
2003,2011,(896-29),봉천동,"5,500",관악구,1,25,3,20.22,896-29,11620,6
2003,2011,(881-3),봉천동,"1,500",관악구,1,30,4,14.4,881-3,11620,7
2007,2011,생모리츠타운,봉천동,"7,000",관악구,1,27,4,30.7,1574-1,11620,6
2004,2011,(877-4),봉천동,"1,000",관악구,1,38,5,12.81,877-4,11620,6
2003,2011,동아타운21,봉천동,"1,000",관악구,1,60,5,36.12,7-312,11620,3
2001,2011,동남오피스텔,봉천동,"3,000",관악구,1,15,5,18.7,1659-10,11620,3
2010,2011,케이타워 오피스텔,봉천동,"5,000",관악구,1,25,7,18.24,882-4,11620,2
2010,2011,케이타워 오피스텔,봉천동,"3,000",관악구,1,40,7,18.24,882-4,11620,5
2003,2011,미래오피스텔,봉천동,"5,000",관악구,1,25,7,23.1,874-22,11620,8
2002,2011,(701-20),봉천동,"5,000",관악구,1,0,7,19.12,701-20,11620,4
2003,2011,봉천동 오피스텔(1628-15),봉천동,"4,000",관악구,1,0,7,18.94,1628-15,11620,2
2003,2011,봉천동 오피스텔(892-16),봉천동,"4,000",관악구,1,0,8,15.68,892-16,11620,7
2001,2011,동남오피스텔,봉천동,"3,000",관악구,1,15,8,15.72,1659-10,11620,2
2002,2011,장원오피스텔,봉천동,"2,000",관악구,1,35,8,16.7,876-27,11620,5
2003,2011,(1663-10),봉천동,"8,000",관악구,1,0,8,15.9,1663-10,11620,4
2003,2011,오크밸리,봉천동,"5,500",관악구,1,0,8,18.12,960-12,11620,5
2003,2011,(867-7),봉천동,"5,000",관악구,1,10,9,18.6,867-7,11620,3
2010,2011,케이타워 오피스텔,봉천동,"2,500",관악구,1,45,9,18.24,882-4,11620,7
2001,2011,대학캠퍼스텔,봉천동,"4,000",관악구,1,10,9,18.09,1566-16,11620,2
2003,2011,(896-29),봉천동,"2,000",관악구,1,25,10,16.19,896-29,11620,2
2004,2011,청룡2오피스텔,봉천동,"9,500",관악구,1,0,10,26.88,881-30,11620,4
2002,2011,장원오피스텔,봉천동,"3,000",관악구,1,25,10,16.68,876-27,11620,3
2003,2011,예성 아이 라이프,봉천동,"2,000",관악구,1,60,11,24.66,875-10,11620,7
2003,2011,(918-10),봉천동,"5,000",관악구,1,0,12,16.87,918-10,11620,2
2005,2011,청룡오피스텔,봉천동,"1,000",관악구,1,37,13,13.2,921-6,11620,3
2004,2011,현교오피스텔,봉천동,"5,500",관악구,1,0,13,18.81,972-15,11620,3
2004,2011,마이죤,봉천동,"2,000",관악구,1,40,13,19.8,876-16,11620,6
2002,2011,(1687-11),봉천동,"5,000",관악구,1,0,13,13.76,1687-11,11620,5
2002,2011,다래오피스텔,봉천동,"1,000",관악구,1,40,13,15.66,877-10,11620,5
2002,2011,장원오피스텔,봉천동,"1,000",관악구,1,45,13,17.67,876-27,11620,6
