건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2002,2011,방배홈스텔,방배동,"1,000",서초구,1,60,25,21.33,1031-2,11650,2
2002,2011,강임하이빌,방배동,"2,500",서초구,1,60,29,25.44,476-1,11650,2
1987,2011,(1031-3),방배동,"2,000",서초구,1,45,31,28.8,1031-3,11650,2
1991,2011,트윈타워(275-4),양재동,"5,000",서초구,1,0,6,24.07,275-4,11650,8
1991,2011,트윈타워(275-3),양재동,"6,500",서초구,1,0,18,24.07,275-3,11650,6
1988,2011,씨티21,잠원동,"8,250",서초구,1,0,11,26.46,76,11650,3
1988,2011,씨티21,잠원동,"7,000",서초구,1,0,17,22.83,76,11650,6
2004,2011,서초대우디오빌,서초동,"11,000",서초구,1,0,6,31.55,1355-17,11650,5
2005,2011,서초트라팰리스,서초동,"4,000",서초구,1,180,10,84.46,1344-13,11650,3
1991,2011,(1600-9),서초동,"5,000",서초구,1,0,12,46.8,1600-9,11650,5
2004,2011,코업레지던스/서초동,서초동,"4,000",서초구,1,55,15,24.16,1679-1,11650,3
2006,2011,이즈타워,서초동,"15,500",서초구,1,0,19,29.43,1337-14,11650,12
2004,2011,큐브플러스,서초동,"10,000",서초구,1,0,21,16.95,1598-1,11650,11
2003,2011,대우도씨에빛,서초동,"3,000",서초구,1,80,22,40.07,1328-7,11650,9
2003,2011,송현 나이스빌,서초동,"24,000",서초구,1,0,28,74.62,1492-8,11650,2
2006,2011,삼환바우스,서초동,"33,000",서초구,1,0,31,76.68,1677-11,11650,5
2002,2011,강임하이빌,방배동,"5,000",서초구,2,35,15,25.44,476-1,11650,8
1991,2011,트윈타워(275-3),양재동,500,서초구,2,40,7,24.07,275-3,11650,16
1991,2011,트윈타워(275-4),양재동,"5,500",서초구,2,0,12,24.07,275-4,11650,16
2005,2011,이스타빌,양재동,"19,000",서초구,2,20,26,75.39,3-14,11650,9
2004,2011,크레신타워-Ⅰ,잠원동,"10,000",서초구,2,0,26,31.4,8-24,11650,3
2004,2011,크레신타워-Ⅰ,잠원동,"15,000",서초구,2,0,28,31.4,8-24,11650,2
