건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2005,2011,갤러리아팰리스,잠실동,"20,000",송파구,1,0,8,43.84,40,11710,13
2004,2011,올림픽타워,잠실동,"15,000",송파구,1,0,20,34.87,175-12,11710,7
2005,2011,갤러리아팰리스,잠실동,"3,000",송파구,1,110,26,45.04,40,11710,15
2006,2011,더샵스타리버,신천동,"23,000",송파구,1,0,8,79.46,11-8,11710,6
2002,2011,레이크캐슬,석촌동,"9,000",송파구,1,0,8,35.33,1-6,11710,6
2004,2011,(175-6),석촌동,"7,000",송파구,1,0,8,20.46,175-6,11710,4
2004,2011,(175-7),석촌동,"9,000",송파구,1,10,19,40,175-7,11710,6
2004,2011,한화오벨리스크,가락동,"1,000",송파구,1,85,15,37.93,78-1,11710,2
2000,2011,(180-6),가락동,"11,500",송파구,1,0,20,47.33,180-6,11710,2
2004,2011,올림픽파크뷰,방이동,"6,000",송파구,1,20,8,27.66,40-3,11710,2
2003,2011,I-SPACE 잠실2,방이동,"1,000",송파구,1,70,11,29.6,35-4,11710,9
2002,2011,올림픽파크존오피스텔,방이동,"1,000",송파구,1,60,11,24.13,49-5,11710,6
2004,2011,보보스타워,방이동,"9,000",송파구,1,0,13,24.38,47-13,11710,8
2007,2011,엘엠오피스텔,방이동,"7,000",송파구,1,10,15,27.85,49-8,11710,9
2004,2011,잠실리시온,방이동,"1,000",송파구,1,100,17,43.05,22-5,11710,9
2007,2011,굿오피스텔빌딩,방이동,500,송파구,1,50,17,16.33,49-15,11710,8
2003,2011,I-SPACE 잠실2,방이동,"9,000",송파구,1,0,25,29.6,35-4,11710,2
2002,2011,동명하이텔,잠실동,"2,000",송파구,2,55,10,19.47,251-9,11710,4
2004,2011,올림픽타워,잠실동,"10,000",송파구,2,50,21,34.87,175-12,11710,3
2001,2011,상아빌리지,송파동,"8,700",송파구,2,0,4,31.35,18-9,11710,5
2001,2011,(86-20),송파동,"6,000",송파구,2,15,8,25.74,86-20,11710,4
2004,2011,백제24시찜질방인삼사우나,석촌동,"11,000",송파구,2,0,1,41.16,15,11710,7
2004,2011,(175-6),석촌동,"7,000",송파구,2,0,11,17.6,175-6,11710,4
