"년","구이름","동이름","평균거래금액","평균전용면적","평당가격","구분"
"2010",송파구,가락동,54143,65.0,924,"1"
"2010",구로구,가리봉동,25333,85.0,298,"1"
"2010",금천구,가산동,30936,80.0,391,"1"
"2010",강서구,가양동,28286,56.0,509,"1"
"2010",은평구,갈현동,25614,80.0,323,"1"
"2010",강동구,강일동,34408,79.0,430,"1"
"2010",구로구,개봉동,32023,77.0,421,"1"
"2010",강남구,개포동,75354,52.0,1513,"1"
"2010",송파구,거여동,37130,66.0,573,"1"
"2010",종로구,견지동,74107,142.0,522,"1"
"2010",강동구,고덕동,49313,54.0,1000,"1"
"2010",구로구,고척동,30196,74.0,407,"1"
"2010",마포구,공덕동,55306,80.0,694,"1"
"2010",노원구,공릉동,27675,65.0,428,"1"
"2010",강서구,공항동,30300,76.0,400,"1"
"2010",광진구,광장동,69022,90.0,741,"1"
"2010",종로구,구기동,37600,113.0,341,"1"
"2010",구로구,구로동,27689,64.0,431,"1"
"2010",은평구,구산동,27297,83.0,332,"1"
"2010",광진구,구의동,51639,86.0,600,"1"
"2010",광진구,군자동,48188,95.0,498,"1"
"2010",구로구,궁동,29840,77.0,387,"1"
"2010",성동구,금호동1가,41448,78.0,542,"1"
"2010",성동구,금호동3가,43381,79.0,561,"1"
"2010",성동구,금호동4가,53701,77.0,699,"1"
"2010",강동구,길동,33610,77.0,437,"1"
"2010",성북구,길음동,36999,76.0,489,"1"
"2010",종로구,낙원동,29000,66.0,440,"1"
"2010",서대문구,남가좌동,39177,79.0,499,"1"
"2010",중구,남대문로5가,116425,134.0,874,"1"
"2010",중구,남산동2가,36465,81.0,448,"1"
"2010",관악구,남현동,39352,85.0,469,"1"
"2010",강서구,내발산동,39148,81.0,488,"1"
"2010",종로구,내수동,114690,143.0,800,"1"
"2010",서대문구,냉천동,35267,72.0,495,"1"
"2010",마포구,노고산동,19321,33.0,587,"1"
"2010",동작구,노량진동,47629,87.0,550,"1"
"2010",은평구,녹번동,32393,76.0,431,"1"
"2010",강남구,논현동,57657,84.0,696,"1"
"2010",광진구,능동,22000,53.0,414,"1"
"2010",동대문구,답십리동,31475,72.0,445,"1"
"2010",영등포구,당산동,44861,79.0,579,"1"
"2010",영등포구,당산동1가,38300,77.0,505,"1"
"2010",영등포구,당산동2가,26454,55.0,470,"1"
"2010",영등포구,당산동3가,42151,83.0,507,"1"
"2010",영등포구,당산동4가,66151,92.0,678,"1"
"2010",영등포구,당산동5가,59514,88.0,680,"1"
"2010",종로구,당주동,43825,99.0,442,"1"
"2010",영등포구,대림동,32080,73.0,447,"1"
"2010",동작구,대방동,47161,81.0,578,"1"
"2010",은평구,대조동,30445,76.0,397,"1"
"2010",강남구,대치동,112224,94.0,1154,"1"
"2010",서대문구,대현동,34347,71.0,500,"1"
"2010",마포구,대흥동,45799,78.0,587,"1"
"2010",강남구,도곡동,101376,90.0,1071,"1"
"2010",영등포구,도림동,26796,61.0,437,"1"
"2010",도봉구,도봉동,26786,70.0,384,"1"
"2010",성동구,도선동,42512,84.0,505,"1"
"2010",용산구,도원동,52741,78.0,675,"1"
"2010",마포구,도화동,47283,82.0,589,"1"
"2010",금천구,독산동,26356,75.0,354,"1"
"2010",성북구,돈암동,35361,82.0,435,"1"
"2010",용산구,동빙고동,95100,159.0,603,"1"
"2010",성북구,동선동3가,34500,112.0,308,"1"
"2010",성북구,동선동4가,24500,68.0,359,"1"
"2010",성북구,동선동5가,38500,106.0,362,"1"
"2010",성북구,동소문동4가,30804,73.0,416,"1"
"2010",성북구,동소문동5가,49393,88.0,562,"1"
"2010",성북구,동소문동6가,27500,72.0,383,"1"
"2010",성북구,동소문동7가,37782,80.0,472,"1"
"2010",종로구,동숭동,22000,58.0,380,"1"
"2010",용산구,동자동,30533,44.0,694,"1"
"2010",동작구,동작동,51295,88.0,596,"1"
