"date","price"
"2016-09",257.5
"2016-10",275.4
"2016-11",269.0
"2016-12",259.6
"2017-01",262.0
"2017-02",248.9
"2017-03",271.2
"2017-04",273.5
"2017-05",277.8
"2017-06",277.5
"2017-07",276.4
"2017-08",291.9
"2017-09",294.3
"2017-10",290.2
"2017-11",296.4
"2017-12",302.4
"2018-01",301.1
"2018-02",292.2
"2018-03",312.7
"2018-04",323.0
"2018-05",330.6
"2018-06",332.8
"2018-07",325.1
"2018-08",325.6
"2018-09",337.2
"2018-10",350.7
"2018-11",349.0
"2018-12",343.6
"2019-01",337.5
"2019-02",326.0
"2019-03",345.3
"2019-04",349.9
"2019-05",365.2
"2019-06",343.5
"2019-07",354.9
"2019-08",343.5
"2019-09",375.0
"2019-10",381.4
"2019-11",404.2
"2019-12",374.6
