지역,구,동,코드,위도,경도,주소
서울특별시,송파구,가락1동,1171063200,#N/A,#N/A,서울특별시 송파구 가락1동
서울특별시,송파구,가락2동,1171064100,#N/A,#N/A,서울특별시 송파구 가락2동
서울특별시,송파구,가락본동,1171063100,#N/A,#N/A,서울특별시 송파구 가락본동
서울특별시,강서구,가양제1동,1150060400,#N/A,#N/A,서울특별시 강서구 가양제1동
서울특별시,강서구,가양제2동,1150060500,#N/A,#N/A,서울특별시 강서구 가양제2동
서울특별시,강서구,가양제3동,1150061100,#N/A,#N/A,서울특별시 강서구 가양제3동
서울특별시,은평구,갈현제1동,1138055200,#N/A,#N/A,서울특별시 은평구 갈현제1동
서울특별시,은평구,갈현제2동,1138056000,#N/A,#N/A,서울특별시 은평구 갈현제2동
서울특별시,구로구,개봉제1동,1153075000,#N/A,#N/A,서울특별시 구로구 개봉제1동
서울특별시,구로구,개봉제2동,1153076000,#N/A,#N/A,서울특별시 구로구 개봉제2동
서울특별시,구로구,개봉제3동,1153077000,#N/A,#N/A,서울특별시 구로구 개봉제3동
서울특별시,강남구,개포1동,1168067000,#N/A,#N/A,서울특별시 강남구 개포1동
서울특별시,강남구,개포2동,1168069000,#N/A,#N/A,서울특별시 강남구 개포2동
서울특별시,강남구,개포4동,1168070000,#N/A,#N/A,서울특별시 강남구 개포4동
서울특별시,송파구,거여1동,1171053200,#N/A,#N/A,서울특별시 송파구 거여1동
서울특별시,송파구,거여2동,1171054000,#N/A,#N/A,서울특별시 송파구 거여2동
서울특별시,강동구,고덕제1동,1174056000,#N/A,#N/A,서울특별시 강동구 고덕제1동
서울특별시,강동구,고덕제2동,1174057000,#N/A,#N/A,서울특별시 강동구 고덕제2동
서울특별시,구로구,고척제1동,1153073000,#N/A,#N/A,서울특별시 구로구 고척제1동
서울특별시,구로구,고척제2동,1153074000,#N/A,#N/A,서울특별시 구로구 고척제2동
서울특별시,노원구,공릉1.3동,1135061100,#N/A,#N/A,서울특별시 노원구 공릉1.3동
서울특별시,노원구,공릉1동,1114061500,#N/A,#N/A,서울특별시 노원구 공릉1동
서울특별시,노원구,공릉2동,1135060500,#N/A,#N/A,서울특별시 노원구 공릉2동
서울특별시,중구,광희동,1114060500,#N/A,#N/A,서울특별시 중구 광희동
서울특별시,구로구,구로제1동,1153053000,#N/A,#N/A,서울특별시 구로구 구로제1동
서울특별시,구로구,구로제2동,1153054000,#N/A,#N/A,서울특별시 구로구 구로제2동
서울특별시,구로구,구로제3동,1153055000,#N/A,#N/A,서울특별시 구로구 구로제3동
서울특별시,구로구,구로제4동,1153056000,#N/A,#N/A,서울특별시 구로구 구로제4동
서울특별시,구로구,구로제5동,1153059500,#N/A,#N/A,서울특별시 구로구 구로제5동
서울특별시,광진구,구의제1동,1121586000,#N/A,#N/A,서울특별시 광진구 구의제1동
서울특별시,광진구,구의제2동,1121587000,#N/A,#N/A,서울특별시 광진구 구의제2동
서울특별시,광진구,구의제3동,1123000000,#N/A,#N/A,서울특별시 광진구 구의제3동
서울특별시,성동구,금호1가동,1120061500,#N/A,#N/A,서울특별시 성동구 금호1가동
서울특별시,성동구,금호2.3가동,1120062000,#N/A,#N/A,서울특별시 성동구 금호2.3가동
서울특별시,성동구,금호4가동,1120064500,#N/A,#N/A,서울특별시 성동구 금호4가동
서울특별시,성북구,길음제1동,1129068500,#N/A,#N/A,서울특별시 성북구 길음제1동
서울특별시,성북구,길음제2동,1129070500,#N/A,#N/A,서울특별시 성북구 길음제2동
서울특별시,관악구,낙성대동,1162059500,#N/A,#N/A,서울특별시 관악구 낙성대동
서울특별시,관악구,난곡동,1165000000,#N/A,#N/A,서울특별시 관악구 난곡동
서울특별시,관악구,난향동,1162072500,#N/A,#N/A,서울특별시 관악구 난향동
서울특별시,서대문구,남가좌제1동,1141070000,#N/A,#N/A,서울특별시 서대문구 남가좌제1동
서울특별시,서대문구,남가좌제2동,1141071000,#N/A,#N/A,서울특별시 서대문구 남가좌제2동
서울특별시,동작구,노량진제1동,1159052000,#N/A,#N/A,서울특별시 동작구 노량진제1동
서울특별시,동작구,노량진제2동,1159053000,#N/A,#N/A,서울특별시 동작구 노량진제2동
서울특별시,강남구,논현1동,1168053100,#N/A,#N/A,서울특별시 강남구 논현1동
서울특별시,강남구,논현2동,1168054500,#N/A,#N/A,서울특별시 강남구 논현2동
서울특별시,중구,다산동,1114063500,#N/A,#N/A,서울특별시 중구 다산동
서울특별시,동대문구,답십리제1동,1123061000,#N/A,#N/A,서울특별시 동대문구 답십리제1동
서울특별시,동대문구,답십리제2동,1123065000,#N/A,#N/A,서울특별시 동대문구 답십리제2동
서울특별시,영등포구,당산제1동,1156056000,#N/A,#N/A,서울특별시 영등포구 당산제1동
서울특별시,영등포구,당산제2동,1156058500,#N/A,#N/A,서울특별시 영등포구 당산제2동
서울특별시,영등포구,대림제1동,1156071000,#N/A,#N/A,서울특별시 영등포구 대림제1동
서울특별시,영등포구,대림제2동,1156072000,#N/A,#N/A,서울특별시 영등포구 대림제2동
서울특별시,영등포구,대림제3동,1159000000,#N/A,#N/A,서울특별시 영등포구 대림제3동
서울특별시,강남구,대치1동,1168061000,#N/A,#N/A,서울특별시 강남구 대치1동
서울특별시,강남구,대치2동,1168063000,#N/A,#N/A,서울특별시 강남구 대치2동
서울특별시,강남구,대치4동,1168064000,#N/A,#N/A,서울특별시 강남구 대치4동
서울특별시,관악구,대학동,1162074500,#N/A,#N/A,서울특별시 관악구 대학동
서울특별시,강남구,도곡1동,1168065600,#N/A,#N/A,서울특별시 강남구 도곡1동
서울특별시,강남구,도곡2동,1168066000,#N/A,#N/A,서울특별시 강남구 도곡2동
서울특별시,도봉구,도봉제1동,1132052200,#N/A,#N/A,서울특별시 도봉구 도봉제1동
서울특별시,도봉구,도봉제2동,1132066000,#N/A,#N/A,서울특별시 도봉구 도봉제2동
서울특별시,금천구,독산제1동,1154562000,#N/A,#N/A,서울특별시 금천구 독산제1동
서울특별시,금천구,독산제2동,1154563000,#N/A,#N/A,서울특별시 금천구 독산제2동
서울특별시,금천구,독산제3동,1154564000,#N/A,#N/A,서울특별시 금천구 독산제3동
서울특별시,금천구,독산제4동,1154567000,#N/A,#N/A,서울특별시 금천구 독산제4동
서울특별시,성북구,돈암제1동,1129059000,#N/A,#N/A,서울특별시 성북구 돈암제1동
서울특별시,성북구,돈암제2동,1129060000,#N/A,#N/A,서울특별시 성북구 돈암제2동
서울특별시,성북구,동선동,1129058000,#N/A,#N/A,서울특별시 성북구 동선동
서울특별시,중구,동화동,1171064700,#N/A,#N/A,서울특별시 중구 동화동
서울특별시,강동구,둔촌제1동,1174070000,#N/A,#N/A,서울특별시 강동구 둔촌제1동
서울특별시,강동구,둔촌제2동,1135059500,#N/A,#N/A,서울특별시 강동구 둔촌제2동
서울특별시,강서구,등촌제1동,1150053000,#N/A,#N/A,서울특별시 강서구 등촌제1동
서울특별시,강서구,등촌제2동,1150053500,#N/A,#N/A,서울특별시 강서구 등촌제2동
서울특별시,강서구,등촌제3동,1150054000,#N/A,#N/A,서울특별시 강서구 등촌제3동
서울특별시,송파구,마천1동,1171055000,#N/A,#N/A,서울특별시 송파구 마천1동
서울특별시,송파구,마천2동,1171056100,#N/A,#N/A,서울특별시 송파구 마천2동
서울특별시,중랑구,망우본동,1126066000,#N/A,#N/A,서울특별시 중랑구 망우본동
서울특별시,중랑구,망우제3동,1126068000,#N/A,#N/A,서울특별시 중랑구 망우제3동
서울특별시,마포구,망원제1동,1144070000,#N/A,#N/A,서울특별시 마포구 망원제1동
서울특별시,마포구,망원제2동,1144071000,#N/A,#N/A,서울특별시 마포구 망원제2동
서울특별시,중랑구,면목본동,1126057000,#N/A,#N/A,서울특별시 중랑구 면목본동
서울특별시,중랑구,면목제2동,1126054000,#N/A,#N/A,서울특별시 중랑구 면목제2동
서울특별시,중랑구,면목제3.8동,1126058000,#N/A,#N/A,서울특별시 중랑구 면목제3.8동
서울특별시,중랑구,면목제4동,1126055000,#N/A,#N/A,서울특별시 중랑구 면목제4동
서울특별시,중랑구,면목제5동,1126056500,#N/A,#N/A,서울특별시 중랑구 면목제5동
서울특별시,중랑구,면목제7동,1126057500,#N/A,#N/A,서울특별시 중랑구 면목제7동
서울특별시,중구,명동,1114057000,#N/A,#N/A,서울특별시 중구 명동
서울특별시,종로구,명륜3가동,1111067000,#N/A,#N/A,서울특별시 종로구 명륜3가동
서울특별시,강동구,명일제1동,1174054000,#N/A,#N/A,서울특별시 강동구 명일제1동
서울특별시,강동구,명일제2동,1174055000,#N/A,#N/A,서울특별시 강동구 명일제2동
서울특별시,양천구,목1동,1147052000,#N/A,#N/A,서울특별시 양천구 목1동
서울특별시,양천구,목2동,1147053000,#N/A,#N/A,서울특별시 양천구 목2동
