,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2010-01,6420.0,5725.0,11797.0,16416.0,17564.0,16889.0,19965.0,25735.0,15480.0,17426.0,31418.0,23288.0,15660.0,21165.0,23404.0,32152.0,24889.0,11604.0,22597.0,20383.0,25387.0,21112.0,23460.0,35186.0,24642.0
2010-02,6416.0,5721.0,11732.0,16328.0,17518.0,16796.0,20036.0,25625.0,15407.0,17338.0,31294.0,23390.0,15610.0,20993.0,23326.0,31992.0,24800.0,11529.0,22534.0,20352.0,25233.0,21125.0,23531.0,35195.0,24714.0
2010-03,6372.0,5702.0,11677.0,16267.0,17436.0,16819.0,20038.0,25565.0,15320.0,17248.0,31127.0,23399.0,15601.0,20867.0,23200.0,31816.0,24687.0,11441.0,22351.0,20205.0,25137.0,21135.0,23511.0,35136.0,24698.0
2010-04,6388.0,5680.0,11584.0,16264.0,17334.0,16865.0,19916.0,25423.0,15273.0,17164.0,30994.0,23401.0,15509.0,20781.0,23134.0,31711.0,24625.0,11379.0,22281.0,20173.0,25035.0,21224.0,23593.0,35146.0,24750.0
2010-05,6348.0,5683.0,11532.0,16182.0,17312.0,16820.0,19779.0,25425.0,15158.0,17085.0,30861.0,23367.0,15480.0,20760.0,23074.0,31573.0,24624.0,11341.0,22219.0,20140.0,24945.0,21306.0,23557.0,35147.0,24762.0
2010-06,6354.0,5644.0,11555.0,16134.0,17307.0,16754.0,19722.0,25377.0,15356.0,17020.0,30741.0,23450.0,15438.0,20685.0,23003.0,31453.0,24680.0,11322.0,22193.0,20144.0,24823.0,21378.0,23550.0,35132.0,24776.0
2010-07,6311.0,5628.0,11555.0,16031.0,17233.0,16639.0,19647.0,25446.0,15439.0,16959.0,30624.0,23593.0,15302.0,20696.0,22907.0,31339.0,24691.0,11261.0,22082.0,20184.0,24762.0,21376.0,23621.0,35080.0,24794.0
2010-08,6285.0,5628.0,11617.0,15989.0,17189.0,16598.0,19554.0,25516.0,15499.0,16879.0,30503.0,23729.0,15198.0,20848.0,22814.0,31216.0,24612.0,11234.0,22036.0,20223.0,24613.0,21432.0,23667.0,35091.0,24720.0
2010-09,6259.0,5636.0,11630.0,15857.0,17119.0,16605.0,19515.0,25600.0,15469.0,16856.0,30452.0,23901.0,15136.0,20921.0,22737.0,31109.0,24625.0,11209.0,21883.0,20183.0,24541.0,21394.0,23765.0,34991.0,24661.0
2010-10,6236.0,5661.0,11643.0,15771.0,17082.0,16559.0,19496.0,25748.0,15476.0,16862.0,30403.0,24057.0,15015.0,20903.0,22643.0,31033.0,24568.0,11214.0,21859.0,20173.0,24411.0,21414.0,23856.0,34839.0,24649.0
2010-11,6218.0,5667.0,11559.0,15796.0,17051.0,16539.0,19404.0,25921.0,15493.0,16845.0,30373.0,24223.0,14883.0,21077.0,22600.0,30957.0,24554.0,11115.0,21857.0,20163.0,24390.0,21502.0,23946.0,34713.0,24698.0
2010-12,6217.0,5677.0,11617.0,15748.0,17080.0,16681.0,19392.0,26050.0,15524.0,16901.0,30316.0,24385.0,14883.0,21207.0,22562.0,30932.0,24626.0,11088.0,21880.0,20130.0,24433.0,21650.0,24181.0,34729.0,24744.0
2011-01,6188.0,5690.0,11606.0,15650.0,16980.0,16679.0,19429.0,26036.0,15523.0,16861.0,30222.0,24519.0,14806.0,21250.0,22553.0,30906.0,24526.0,11057.0,21860.0,20134.0,24406.0,21717.0,24260.0,34669.0,24838.0
2011-02,6205.0,5699.0,11594.0,15589.0,16966.0,16654.0,19381.0,26048.0,15522.0,16851.0,30076.0,24630.0,14739.0,21300.0,22492.0,30911.0,24528.0,11057.0,21799.0,20106.0,24390.0,21794.0,24474.0,34793.0,25185.0
2011-03,6170.0,5698.0,11624.0,15461.0,16918.0,16671.0,19354.0,25962.0,15525.0,16802.0,29941.0,24691.0,14635.0,21324.0,22325.0,30733.0,24519.0,11062.0,21720.0,20057.0,24259.0,21828.0,24615.0,34706.0,25421.0
2011-04,6167.0,5707.0,11631.0,15447.0,16925.0,16683.0,19359.0,25985.0,15564.0,16827.0,29847.0,24720.0,14596.0,21340.0,22329.0,30711.0,24517.0,11030.0,21642.0,20103.0,24175.0,21818.0,24752.0,34778.0,25499.0
2011-05,6168.0,5733.0,11815.0,15424.0,16961.0,16735.0,19361.0,25933.0,15541.0,16834.0,29821.0,24774.0,14507.0,21388.0,22438.0,30697.0,24587.0,10966.0,21624.0,20101.0,24193.0,21851.0,24886.0,34782.0,25631.0
2011-06,6180.0,5766.0,11784.0,15438.0,16986.0,16757.0,19391.0,25950.0,15521.0,16832.0,29800.0,24771.0,14428.0,21319.0,22519.0,30700.0,24633.0,10985.0,21565.0,20163.0,24157.0,21846.0,24923.0,34836.0,25676.0
2011-07,6171.0,5752.0,11831.0,15339.0,16998.0,16781.0,19383.0,25850.0,15539.0,16795.0,29748.0,24779.0,14331.0,21280.0,22790.0,30535.0,24696.0,10930.0,21459.0,20100.0,24056.0,21884.0,25039.0,34887.0,25760.0
2011-08,6180.0,5792.0,11892.0,15286.0,16971.0,16850.0,19372.0,25818.0,15552.0,16817.0,29699.0,24835.0,14300.0,21149.0,23019.0,30376.0,24931.0,10914.0,21365.0,20045.0,24031.0,21917.0,25076.0,34912.0,25785.0
2011-09,6193.0,5768.0,11881.0,15209.0,16971.0,16900.0,19313.0,25770.0,15566.0,16829.0,29675.0,24929.0,14215.0,21117.0,23079.0,30316.0,25049.0,10931.0,21379.0,20078.0,23915.0,21967.0,25110.0,34907.0,25737.0
2011-10,6165.0,5725.0,11848.0,15164.0,16991.0,16837.0,19322.0,25688.0,15513.0,16860.0,29708.0,25009.0,14132.0,21044.0,23106.0,30207.0,25287.0,10869.0,21269.0,20088.0,23866.0,21985.0,25028.0,34933.0,25662.0
2011-11,6123.0,5769.0,11849.0,15099.0,16969.0,16829.0,19287.0,25619.0,15616.0,16852.0,29656.0,25052.0,14084.0,20899.0,23095.0,30212.0,25560.0,10892.0,21245.0,20063.0,23764.0,22018.0,25025.0,34878.0,25685.0
2011-12,6115.0,5874.0,11860.0,15017.0,16913.0,16796.0,19309.0,25572.0,15674.0,16867.0,29591.0,25132.0,14041.0,20933.0,23087.0,30220.0,25684.0,10927.0,21144.0,20152.0,23785.0,22160.0,25176.0,35041.0,25696.0
2012-01,6092.0,5956.0,11834.0,14956.0,16862.0,16793.0,19281.0,25554.0,15738.0,16881.0,29491.0,25183.0,13924.0,20888.0,23049.0,30242.0,25726.0,10940.0,21072.0,20176.0,23816.0,22385.0,25170.0,34962.0,25672.0
2012-02,6081.0,6018.0,11803.0,14915.0,16823.0,16775.0,19286.0,25491.0,15819.0,16878.0,29485.0,25334.0,13832.0,20806.0,23065.0,30150.0,25681.0,10987.0,20984.0,20118.0,23714.0,22666.0,25129.0,35117.0,25540.0
2012-03,6071.0,6066.0,11813.0,14905.0,16821.0,16725.0,19272.0,25374.0,15756.0,16874.0,29410.0,25584.0,13750.0,20650.0,23085.0,30100.0,25658.0,10987.0,20953.0,20107.0,23695.0,22754.0,25132.0,35170.0,25421.0
2012-04,6057.0,6083.0,11784.0,14898.0,16831.0,16739.0,19194.0,25351.0,15778.0,16834.0,29365.0,25776.0,13719.0,20625.0,23041.0,30123.0,25749.0,10966.0,20927.0,20084.0,23701.0,22847.0,25165.0,35221.0,25383.0
2012-05,6064.0,6103.0,11791.0,14886.0,16889.0,16759.0,19200.0,25328.0,15736.0,16795.0,29412.0,25916.0,13700.0,20556.0,23033.0,30154.0,25809.0,10939.0,20880.0,20064.0,23679.0,22826.0,25149.0,35255.0,25342.0
2012-06,6043.0,6106.0,11868.0,14952.0,16927.0,16781.0,19244.0,25321.0,15705.0,16820.0,29412.0,26014.0,13624.0,20466.0,23017.0,30194.0,25802.0,10945.0,20866.0,20087.0,23614.0,22940.0,25235.0,35312.0,25310.0
2012-07,6046.0,6123.0,11895.0,14949.0,17002.0,16795.0,19271.0,25298.0,15728.0,16889.0,29431.0,26021.0,13604.0,20494.0,23011.0,30214.0,25828.0,10974.0,20806.0,20138.0,23551.0,22996.0,25310.0,35418.0,25375.0
2012-08,6037.0,6148.0,11882.0,15019.0,16966.0,16768.0,19241.0,25253.0,15735.0,16954.0,29467.0,26070.0,13702.0,20532.0,23025.0,30247.0,25897.0,10935.0,20733.0,20226.0,23533.0,22984.0,25399.0,35442.0,25384.0
2012-09,6028.0,6159.0,11830.0,15105.0,16975.0,16759.0,19165.0,25193.0,15704.0,16952.0,29419.0,26100.0,13666.0,20522.0,22986.0,30241.0,25882.0,10937.0,20686.0,20220.0,23479.0,22985.0,25337.0,35381.0,25400.0
