,gu,date,공공_정원,공공_현원,공공_정원율
0,강남구,2016-09,4565,4163,0.9119386637458926
1,강남구,2016-10,4486,4142,0.9233169861792243
2,강남구,2016-11,4486,4144,0.9237628176549264
3,강남구,2016-12,4486,4146,0.9242086491306286
4,강남구,2017-01,4486,4115,0.9172982612572448
5,강남구,2017-02,4486,2807,0.6257244761480161
6,강남구,2017-03,4486,4112,0.9166295140436915
7,강남구,2017-04,4486,4118,0.917967008470798
8,강남구,2017-05,4486,4104,0.9148461881408827
9,강남구,2017-06,4486,4117,0.917744092732947
10,강남구,2017-07,4486,4113,0.9168524297815426
11,강남구,2017-08,4486,4122,0.9188586714222025
12,강남구,2017-09,4486,4122,0.9188586714222025
13,강남구,2017-10,4486,4110,0.9161836825679893
14,강남구,2017-11,4486,4109,0.9159607668301382
15,강남구,2017-12,4486,4095,0.9128399465002229
16,강남구,2018-01,4554,4059,0.8913043478260869
17,강남구,2018-02,4554,2667,0.5856389986824769
18,강남구,2018-03,4554,4104,0.9011857707509882
19,강남구,2018-04,4554,4090,0.8981115502854633
20,강남구,2018-05,4554,4092,0.8985507246376812
21,강남구,2018-06,4554,4088,0.8976723759332454
22,강남구,2018-07,4554,4068,0.8932806324110671
23,강남구,2018-08,4554,4058,0.891084760649978
24,강남구,2018-09,4554,4067,0.8930610452349583
25,강남구,2018-10,4554,4046,0.8884497145366711
26,강남구,2018-11,4554,4038,0.8866930171277997
27,강남구,2018-12,4555,4018,0.8821075740944018
28,강남구,2019-01,4638,4007,0.8639499784389824
29,강남구,2019-02,4661,2549,0.5468783522849174
30,강남구,2019-03,4803,4076,0.8486362689985426
31,강남구,2019-04,4803,4100,0.8536331459504476
32,강남구,2019-05,4803,4194,0.8732042473454091
33,강남구,2019-06,4803,4210,0.8765354986466791
34,강남구,2019-07,4803,4194,0.8732042473454091
35,강남구,2019-08,4784,4183,0.8743729096989966
36,강남구,2019-09,4784,4183,0.8743729096989966
37,강남구,2019-10,4872,4192,0.8604269293924466
38,강남구,2019-11,4872,4188,0.8596059113300493
39,강남구,2019-12,4868,4198,0.862366474938373
40,강남구,2020-01,4835,4173,0.863081695966908
41,강남구,2020-02,4835,4161,0.8605997931747673
42,강남구,2020-03,4849,4085,0.8424417405650649
43,강남구,2020-04,4849,4096,0.8447102495359868
44,강남구,2020-05,4830,4103,0.8494824016563147
45,강남구,2020-06,4786,4089,0.8543669034684497
46,강남구,2020-07,4771,4091,0.8574722280444351
47,강남구,2020-08,4771,4072,0.8534898344162649
48,강동구,2016-09,3084,2813,0.9121271076523995
49,강동구,2016-10,3104,2834,0.9130154639175257
50,강동구,2016-11,3192,2843,0.8906641604010025
51,강동구,2016-12,3313,2841,0.85753093872623
52,강동구,2017-01,3347,2837,0.8476247385718554
53,강동구,2017-02,3389,1942,0.5730303924461493
54,강동구,2017-03,3404,3169,0.9309635722679201
55,강동구,2017-04,3404,3200,0.9400705052878966
56,강동구,2017-05,3404,3187,0.9362514688601645
57,강동구,2017-06,3428,3185,0.9291131855309218
58,강동구,2017-07,3498,3197,0.9139508290451687
59,강동구,2017-08,3498,3176,0.9079473985134362
60,강동구,2017-09,3491,3254,0.932111142938986
61,강동구,2017-10,3491,3244,0.9292466342022343
62,강동구,2017-11,3491,3254,0.932111142938986
63,강동구,2017-12,3550,3251,0.915774647887324
64,강동구,2018-01,3630,3237,0.8917355371900827
65,강동구,2018-02,3670,2177,0.5931880108991826
66,강동구,2018-03,3799,3541,0.9320873914187944
67,강동구,2018-04,3789,3542,0.9348112958564265
68,강동구,2018-05,3789,3544,0.9353391396146741
69,강동구,2018-06,3789,3546,0.9358669833729216
70,강동구,2018-07,3854,3574,0.9273482096523092
71,강동구,2018-08,3849,3563,0.9256949857105742
72,강동구,2018-09,3849,3560,0.924915562483762
73,강동구,2018-10,3845,3572,0.928998699609883
74,강동구,2018-11,3891,3573,0.9182729375481882
75,강동구,2018-12,3934,3566,0.9064565327910523
76,강동구,2019-01,3934,3549,0.902135231316726
77,강동구,2019-02,3978,2359,0.5930115635997989
78,강동구,2019-03,3980,3706,0.9311557788944723
79,강동구,2019-04,3971,3720,0.9367917401158399
80,강동구,2019-05,3971,3721,0.9370435658524301
81,강동구,2019-06,3971,3725,0.9380508687987912
82,강동구,2019-07,4066,3720,0.9149040826364978
83,강동구,2019-08,4066,3709,0.91219872110182
84,강동구,2019-09,4043,3779,0.9347019539945585
85,강동구,2019-10,4247,3782,0.8905109489051095
86,강동구,2019-11,4248,3788,0.891713747645951
87,강동구,2019-12,4248,3944,0.928436911487759
88,강동구,2020-01,4468,3943,0.8824977618621307
89,강동구,2020-02,4443,3941,0.8870132793157777
90,강동구,2020-03,4572,4175,0.913167104111986
91,강동구,2020-04,4569,4187,0.9163930838257824
92,강동구,2020-05,4573,4313,0.9431445440629783
93,강동구,2020-06,4603,4306,0.9354768629154899
94,강동구,2020-07,4651,4323,0.92947753171361
95,강동구,2020-08,4651,4317,0.9281874865620297
96,강북구,2016-09,1896,1779,0.9382911392405063
97,강북구,2016-10,1896,1776,0.9367088607594937
98,강북구,2016-11,1916,1797,0.9378914405010439
99,강북구,2016-12,1951,1795,0.920041004613019
100,강북구,2017-01,1971,1812,0.9193302891933028
101,강북구,2017-02,1971,1211,0.6144089294774226
102,강북구,2017-03,2188,1999,0.9136197440585009
103,강북구,2017-04,2228,2045,0.9178635547576302
104,강북구,2017-05,2228,2050,0.9201077199281867
105,강북구,2017-06,2228,2045,0.9178635547576302
106,강북구,2017-07,2228,2049,0.9196588868940754
107,강북구,2017-08,2228,2051,0.920556552962298
108,강북구,2017-09,2228,2055,0.9223518850987432
109,강북구,2017-10,2228,2052,0.9210053859964094
110,강북구,2017-11,2229,2050,0.9196949304620906
111,강북구,2017-12,2229,2058,0.9232839838492598
112,강북구,2018-01,2267,2030,0.8954565505072783
113,강북구,2018-02,2267,1341,0.5915306572562858
114,강북구,2018-03,2414,2141,0.8869096934548467
115,강북구,2018-04,2415,2159,0.8939958592132505
116,강북구,2018-05,2415,2152,0.8910973084886128
117,강북구,2018-06,2415,2159,0.8939958592132505
118,강북구,2018-07,2415,2161,0.894824016563147
119,강북구,2018-08,2415,2152,0.8910973084886128
120,강북구,2018-09,2435,2189,0.8989733059548255
121,강북구,2018-10,2435,2181,0.895687885010267
122,강북구,2018-11,2439,2181,0.8942189421894219
123,강북구,2018-12,2439,2181,0.8942189421894219
124,강북구,2019-01,2439,2184,0.8954489544895449
125,강북구,2019-02,2439,1433,0.5875358753587536
126,강북구,2019-03,2715,2340,0.861878453038674
127,강북구,2019-04,2705,2360,0.8724584103512015
128,강북구,2019-05,2705,2380,0.8798521256931608
129,강북구,2019-06,2705,2390,0.8835489833641405
130,강북구,2019-07,2705,2404,0.888724584103512
131,강북구,2019-08,2705,2409,0.8905730129390018
132,강북구,2019-09,2705,2426,0.8968576709796673
133,강북구,2019-10,2705,2431,0.8987060998151571
134,강북구,2019-11,2705,2433,0.899445471349353
135,강북구,2019-12,2700,2418,0.8955555555555555
136,강북구,2020-01,2700,2406,0.8911111111111111
137,강북구,2020-02,2725,2392,0.8777981651376147
