주소,동,lat,lng
서울특별시 송파구 가락1동,가락1동,37.4964619,127.1055147
서울특별시 송파구 가락2동,가락2동,37.498712,127.1266796
서울특별시 송파구 가락본동,가락본동,37.4954903,127.1217072
서울특별시 구로구 가리봉동,가리봉동,37.4830168,126.887363
서울특별시 금천구 가산동,가산동,37.4754693,126.8842387
서울특별시 강서구 가양제1동,가양제1동,37.5558122,126.8589261
서울특별시 강서구 가양제2동,가양제2동,37.5648322,126.8342406
서울특별시 강서구 가양제3동,가양제3동,37.5610056,126.8604808
서울특별시 종로구 가회동,가회동,37.5828064,126.9848647
서울특별시 은평구 갈현제1동,갈현제1동,37.623527,126.9167796
서울특별시 은평구 갈현제2동,갈현제2동,37.618528,126.9157518
서울특별시 강동구 강일동,강일동,37.5676689,127.1720391
서울특별시 구로구 개봉제1동,개봉제1동,37.5021516,126.8471508
서울특별시 구로구 개봉제2동,개봉제2동,37.4907641,126.8564832
서울특별시 구로구 개봉제3동,개봉제3동,37.4859037,126.8537616
서울특별시 강남구 개포1동,개포1동,37.4817688,127.0576308
서울특별시 강남구 개포2동,개포2동,37.4896011,127.0687685
서울특별시 강남구 개포4동,개포4동,37.4788251,127.0515205
서울특별시 송파구 거여1동,거여1동,37.4970185,127.143372
서울특별시 송파구 거여2동,거여2동,37.493547,127.146788
서울특별시 강동구 고덕제1동,고덕제1동,37.557194,127.1517112
서울특별시 강동구 고덕제2동,고덕제2동,37.5632814,127.1570594
서울특별시 구로구 고척제1동,고척제1동,37.5003741,126.8627053
서울특별시 구로구 고척제2동,고척제2동,37.5065122,126.8583166
서울특별시 마포구 공덕동,공덕동,37.5473874,126.9555575
서울특별시 노원구 공릉1.3동,공릉1.3동,37.6304778,127.0901988
서울특별시 노원구 공릉1동,공릉1동,37.6248346,127.0737922
서울특별시 노원구 공릉2동,공릉2동,37.6211412,127.0832634
서울특별시 강서구 공항동,공항동,37.5528356,126.8112163
서울특별시 광진구 광장동,광장동,37.5477291,127.1042141
서울특별시 중구 광희동,광희동,37.5644798,127.0052446
서울특별시 종로구 교남동,교남동,37.5684349,126.9644739
서울특별시 구로구 구로제1동,구로제1동,37.4929862,126.8757043
서울특별시 구로구 구로제2동,구로제2동,37.4913479,126.883592
서울특별시 구로구 구로제3동,구로제3동,37.4874197,126.890329
서울특별시 구로구 구로제4동,구로제4동,37.4855983,126.8866194
서울특별시 구로구 구로제5동,구로제5동,37.5000966,126.8893137
서울특별시 은평구 구산동,구산동,37.6122006,126.9088192
서울특별시 광진구 구의제1동,구의제1동,37.5424529,127.0856498
서울특별시 광진구 구의제2동,구의제2동,37.5466951,127.0914159
서울특별시 광진구 구의제3동,구의제3동,37.5389296,127.0976813
서울특별시 광진구 군자동,군자동,37.5532424,127.0734923
서울특별시 성동구 금호1가동,금호1가동,37.5547592,127.0211043
서울특별시 성동구 금호2.3가동,금호2.3가동,37.5529815,127.0211044
서울특별시 성동구 금호4가동,금호4가동,37.5472602,127.0223264
서울특별시 강동구 길동,길동,37.5397058,127.1470066
서울특별시 성북구 길음제1동,길음제1동,37.6041422,127.0221588
서울특별시 성북구 길음제2동,길음제2동,37.606614,127.0272973
서울특별시 관악구 낙성대동,낙성대동,37.4762397,126.9583907
서울특별시 관악구 난곡동,난곡동,37.4693789,126.9202006
서울특별시 관악구 난향동,난향동,37.4616858,126.9188389
서울특별시 서대문구 남가좌제1동,남가좌제1동,37.5743455,126.9188972
서울특별시 서대문구 남가좌제2동,남가좌제2동,37.5784486,126.9237802
서울특별시 용산구 남영동,남영동,37.5428503,126.9733899
서울특별시 관악구 남현동,남현동,37.4630565,126.9776244
서울특별시 서초구 내곡동,내곡동,37.4583407,127.0770851
서울특별시 동작구 노량진제1동,노량진제1동,37.512235,126.9419742
서울특별시 동작구 노량진제2동,노량진제2동,37.5085134,126.9372528
서울특별시 은평구 녹번동,녹번동,37.6041196,126.9344912
서울특별시 강남구 논현1동,논현1동,37.5115147,127.0283828
서울특별시 강남구 논현2동,논현2동,37.5135304,127.0315341
서울특별시 광진구 능동,능동,37.5511328,127.0818921
서울특별시 중구 다산동,다산동,37.554376,127.0084746
