,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_capa,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,no_enroll,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio,cap_ratio
sigungu,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
ops_day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,11684,12781,8686,17134,11731,8959,13818,8217,14105,10166,9536,10024,9620,7283,9706,8040,11886,16441,12978,11871,5323,14757,4939,4133,11681,10057,11039,7683,15218,10398,7709,12704,6860,12289,8665,8307,8713,8367,6319,8635,6962,10236,14692,11325,9910,4730,12301,3921,3481,10094,0.8607497432386169,0.8637039355293014,0.8845268247755008,0.8881755573713085,0.8863694484698662,0.8604754994977118,0.9193805181647127,0.8348545697943288,0.8712513293158455,0.8523509738343498,0.871119966442953,0.8692138866719872,0.8697505197505198,0.8676369627900591,0.8896558829589944,0.8659203980099502,0.8611812216052499,0.8936196095128034,0.8726306056403144,0.834807514110016,0.8885966560210408,0.8335705089110252,0.7938854019032193,0.8422453423663199,0.8641383443198356
2016-10-31,11775,12781,8666,17126,11731,9078,13817,8201,14097,10166,9488,10024,9620,7283,9842,8081,11849,16352,13058,11884,5323,14680,4939,4133,11658,10155,11177,7674,15339,10445,7779,12760,6899,12400,8753,8309,8761,8390,6351,8612,7009,10277,14707,11388,9983,4764,12429,3934,3484,10184,0.8624203821656051,0.8745012127376575,0.8855296561273944,0.8956557281326638,0.8903759270309437,0.856906807666887,0.9235000361873055,0.8412388733081332,0.8796197772575726,0.861007279165847,0.8757377740303541,0.8740023942537909,0.8721413721413721,0.8720307565563641,0.8750254013411908,0.8673431506001732,0.867330576419951,0.8994006849315068,0.8721090519221933,0.8400370245708516,0.8949840315611497,0.8466621253405995,0.7965175136667342,0.8429712073554319,0.8735632183908046
2016-11-30,11794,12830,8735,17363,11673,9078,13890,8207,14097,10146,9508,9950,9616,7230,9862,8113,11793,16332,13058,11869,5323,14644,4939,4136,11657,10191,11268,7714,15397,10448,7819,12771,6916,12482,8794,8337,8779,8381,6365,8774,7032,10312,14810,11411,10021,4779,12480,3942,3476,10277,0.8640834322536883,0.8782540919719407,0.8831139095592444,0.8867707193457351,0.8950569690739313,0.8613130645516633,0.9194384449244061,0.8426952601437797,0.8854366177200823,0.8667455154740784,0.8768405553218342,0.8823115577889448,0.8715682196339434,0.8803596127247579,0.8896775501926587,0.8667570565758659,0.8744170270499448,0.9068087190791085,0.8738704242609895,0.8443002780352178,0.8978019913582567,0.8522261677137394,0.798137274751974,0.8404255319148937,0.8816161962769151
2016-12-31,11794,12906,8769,17363,11772,9078,13905,8213,14137,10205,9532,9950,9586,7204,9934,8133,11863,16393,13059,11802,5323,14693,4939,4136,11657,10219,11302,7736,15433,10473,7856,12765,6950,12534,8849,8364,8796,8334,6373,8795,7049,10376,14867,11450,10042,4790,12515,3901,3446,10302,0.8664575207732745,0.8757167209050054,0.8821986543505531,0.8888440937625987,0.8896534148827727,0.8653888521700815,0.918015102481122,0.8462194082552051,0.8866096059984439,0.8671239588437041,0.8774653797733949,0.8840201005025126,0.8693928645941998,0.884647418101055,0.8853432655526474,0.8667158490102054,0.8746522801989379,0.9069114866101384,0.8767899532889195,0.850872733435011,0.8998684952094683,0.851766147144899,0.7898359991901195,0.8331721470019342,0.8837608304023333
2017-01-31,11775,12921,8758,17351,12047,9059,13899,8229,14137,10205,9532,10068,9557,7226,9961,8239,11863,16471,13059,11839,5323,14734,4904,4137,11667,10124,11256,7668,15466,10404,7827,12689,6997,12485,8838,8342,8762,8266,6375,8759,6990,10351,14798,11447,9961,4728,12450,3889,3418,10263,0.8597876857749469,0.8711400046436034,0.8755423612696963,0.8913607284882715,0.8636174981323151,0.8640026492990396,0.9129433772213829,0.8502855754040588,0.8831435240857325,0.8660460558549731,0.8751573646663869,0.8702820818434645,0.864915768546615,0.8822308331026848,0.8793293845999398,0.848403932516082,0.8725448874652281,0.8984275393115172,0.8765602266636037,0.8413717374778276,0.8882209280480932,0.8449843898466133,0.793026101141925,0.8262025622431713,0.8796605811262536
2017-02-28,11775,13078,8716,17352,12104,9059,13899,8275,14118,10200,9532,10053,9530,7256,10040,8219,11858,16566,13102,11881,5305,14714,4904,4137,11777,6409,7123,5076,9904,6396,5128,7820,4842,7660,5852,5268,5407,5139,4259,5367,4396,6461,9161,7078,6206,3186,8124,2702,2315,6856,0.5442887473460721,0.5446551460467961,0.5823772372648004,0.5707699400645458,0.5284203569068077,0.5660668948007507,0.5626304050651126,0.5851359516616315,0.5425697690891061,0.5737254901960784,0.5526647083508183,0.5378493981895951,0.5392444910807975,0.586962513781698,0.5345617529880478,0.5348582552621973,0.5448642266824085,0.5530001207292043,0.5402228667379027,0.5223466038212272,0.6005655042412819,0.5521272257713742,0.550978792822186,0.5595842397872854,0.5821516515241573
2017-03-31,11622,13017,8602,17187,11832,8978,13798,8215,14079,10103,9430,9700,9407,7236,9892,8133,11685,16751,12956,11783,5250,14500,4788,4191,11689,9674,10818,7057,14831,9934,7254,12125,6632,11388,7903,7778,8547,7997,6165,8685,6951,9453,14191,10689,9836,4635,11156,3781,3341,9647,0.8323868525210807,0.8310670661442728,0.8203906068356196,0.8629196485715948,0.8395875591615957,0.8079750501225217,0.8787505435570373,0.807303712720633,0.8088642659279779,0.7822428981490647,0.8248144220572641,0.8811340206185567,0.8501116190071224,0.8519900497512438,0.877982207844723,0.8546661748432313,0.8089858793324776,0.847173303086383,0.825023155294844,0.8347619451752525,0.8828571428571429,0.7693793103448275,0.7896825396825397,0.7971844428537342,0.8253058431003507
2017-04-30,11586,12859,8538,17167,11832,8978,13666,8191,14043,10027,9427,9698,9329,7165,9890,8182,11762,16916,12850,11753,5328,14284,4788,4219,11656,9762,11012,7087,14905,10017,7357,12196,6692,11535,8014,7814,8596,8044,6205,8759,7015,9583,14351,10788,9925,4674,11286,3796,3436,9727,0.8425686172967375,0.856365191694533,0.8300538767861326,0.8682355682413934,0.8466024340770791,0.8194475384272667,0.8924337772574272,0.8169942619948725,0.8214056825464644,0.7992420464745188,0.8288957250450832,0.8863683233656424,0.862257476685604,0.8660153524075367,0.8856420626895855,0.8573698362258616,0.8147423907498724,0.8483684086072357,0.8395330739299611,0.8444652429167021,0.8772522522522522,0.7901148137776534,0.7928153717627402,0.814410997866793,0.8345058339052849
