gu,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
종로구,6420.0,6416.0,6372.0,6388.0,6348.0,6354.0,6311.0,6285.0,6259.0,6236.0,6218.0,6217.0,6188.0,6205.0,6170.0,6167.0,6168.0,6180.0,6171.0,6180.0,6193.0,6165.0,6123.0,6115.0,6092.0,6081.0,6071.0,6057.0,6064.0,6043.0,6046.0,6037.0,6028.0,6014.0,5992.0,5971.0,5939.0,5945.0,5866.0,5834.0,5812.0,5785.0,5741.0,5708.0,5678.0,5641.0,5594.0,5570.0,5563.0,5536.0,5527.0,5555.0,5555.0,5529.0,5503.0,5463.0,5430.0,5389.0,5340.0,5318.0,5299.0,5267.0,5242.0,5273.0,5268.0,5260.0,5236.0,5209.0,5249.0,5270.0,5279.0,5317.0,5277.0,5293.0,5269.0,5281.0,5260.0,5270.0,5281.0,5278.0,5225.0,5199.0,5176.0,5133.0,5099.0,5058.0,5184.0,5222.0,5214.0,5235.0,5233.0,5233.0,5210.0,5202.0,5159.0,5157.0,5126.0,5101.0,5051.0,5027.0,5005.0,4979.0,4914.0,4884.0,4832.0,4794.0,4759.0,4738.0,4673.0,4640.0,4635.0,4618.0,4589.0,4544.0,4534.0,4524.0,4502.0,4469.0,4442.0,4417.0
중구,5725.0,5721.0,5702.0,5680.0,5683.0,5644.0,5628.0,5628.0,5636.0,5661.0,5667.0,5677.0,5690.0,5699.0,5698.0,5707.0,5733.0,5766.0,5752.0,5792.0,5768.0,5725.0,5769.0,5874.0,5956.0,6018.0,6066.0,6083.0,6103.0,6106.0,6123.0,6148.0,6159.0,6137.0,6100.0,6076.0,6044.0,6011.0,5957.0,5916.0,5913.0,5868.0,5854.0,5802.0,5776.0,5717.0,5688.0,5644.0,5599.0,5594.0,5499.0,5474.0,5462.0,5456.0,5469.0,5411.0,5426.0,5405.0,5384.0,5349.0,5280.0,5272.0,5245.0,5250.0,5232.0,5185.0,5163.0,5140.0,5154.0,5176.0,5141.0,5133.0,5119.0,5121.0,5135.0,5123.0,5107.0,5087.0,5080.0,5112.0,5126.0,5109.0,5109.0,5085.0,5008.0,4943.0,4892.0,4878.0,4874.0,4863.0,4851.0,4891.0,4962.0,4970.0,4975.0,5001.0,4954.0,4934.0,4887.0,4858.0,4858.0,4797.0,4794.0,4765.0,4747.0,4721.0,4704.0,4681.0,4686.0,4662.0,4637.0,4610.0,4597.0,4587.0,4587.0,4559.0,4539.0,4504.0,4501.0,4459.0
용산구,11797.0,11732.0,11677.0,11584.0,11532.0,11555.0,11555.0,11617.0,11630.0,11643.0,11559.0,11617.0,11606.0,11594.0,11624.0,11631.0,11815.0,11784.0,11831.0,11892.0,11881.0,11848.0,11849.0,11860.0,11834.0,11803.0,11813.0,11784.0,11791.0,11868.0,11895.0,11882.0,11830.0,11815.0,11806.0,11811.0,11740.0,11694.0,11615.0,11574.0,11523.0,11477.0,11468.0,11413.0,11380.0,11277.0,11224.0,11192.0,11131.0,11132.0,11047.0,11059.0,10992.0,10938.0,10843.0,10834.0,10813.0,10726.0,10629.0,10615.0,10558.0,10548.0,10540.0,10529.0,10554.0,10561.0,10567.0,10510.0,10486.0,10459.0,10426.0,10433.0,10395.0,10330.0,10332.0,10294.0,10311.0,10263.0,10235.0,10170.0,10108.0,10032.0,9982.0,9965.0,9841.0,9784.0,9708.0,9619.0,9571.0,9546.0,9499.0,9425.0,9397.0,9358.0,9290.0,9243.0,9190.0,9155.0,9127.0,9121.0,9091.0,9020.0,8943.0,8862.0,8832.0,8778.0,8726.0,8655.0,8574.0,8526.0,8496.0,8438.0,8436.0,8424.0,8404.0,8369.0,8300.0,8278.0,8251.0,8256.0
성동구,16416.0,16328.0,16267.0,16264.0,16182.0,16134.0,16031.0,15989.0,15857.0,15771.0,15796.0,15748.0,15650.0,15589.0,15461.0,15447.0,15424.0,15438.0,15339.0,15286.0,15209.0,15164.0,15099.0,15017.0,14956.0,14915.0,14905.0,14898.0,14886.0,14952.0,14949.0,15019.0,15105.0,15116.0,15135.0,15110.0,15174.0,15381.0,15293.0,15306.0,15265.0,15220.0,15205.0,15135.0,15082.0,15002.0,14954.0,14913.0,14822.0,14760.0,14762.0,14798.0,14800.0,14752.0,14721.0,14623.0,14559.0,14471.0,14455.0,14440.0,14365.0,14323.0,14313.0,14386.0,14533.0,14672.0,14747.0,14801.0,14783.0,14856.0,14808.0,14785.0,14700.0,14649.0,14642.0,14628.0,14711.0,14729.0,14732.0,14761.0,14735.0,14664.0,14648.0,14817.0,14861.0,14973.0,14979.0,14941.0,14995.0,14981.0,14954.0,14988.0,14963.0,14960.0,14926.0,14876.0,14794.0,14745.0,14797.0,14801.0,14773.0,14796.0,14777.0,14774.0,14734.0,14649.0,14580.0,14516.0,14426.0,14237.0,14055.0,13960.0,13924.0,13865.0,13803.0,13723.0,13681.0,13613.0,13551.0,13498.0
광진구,17564.0,17518.0,17436.0,17334.0,17312.0,17307.0,17233.0,17189.0,17119.0,17082.0,17051.0,17080.0,16980.0,16966.0,16918.0,16925.0,16961.0,16986.0,16998.0,16971.0,16971.0,16991.0,16969.0,16913.0,16862.0,16823.0,16821.0,16831.0,16889.0,16927.0,17002.0,16966.0,16975.0,16960.0,16918.0,16953.0,16938.0,16947.0,16859.0,16815.0,16812.0,16781.0,16739.0,16670.0,16663.0,16547.0,16480.0,16463.0,16356.0,16281.0,16199.0,16146.0,16123.0,16101.0,16059.0,16020.0,16020.0,15985.0,15908.0,15898.0,15866.0,15830.0,15832.0,15802.0,15815.0,15845.0,15812.0,15791.0,15738.0,15697.0,15684.0,15680.0,15629.0,15581.0,15588.0,15563.0,15603.0,15549.0,15538.0,15489.0,15443.0,15318.0,15183.0,15162.0,15064.0,15053.0,14977.0,14910.0,14846.0,14839.0,14752.0,14750.0,14664.0,14612.0,14532.0,14497.0,14367.0,14273.0,14162.0,14036.0,13940.0,13806.0,13729.0,13606.0,13519.0,13507.0,13457.0,13409.0,13274.0,13210.0,13099.0,12955.0,12803.0,12679.0,12570.0,12454.0,12369.0,12265.0,12180.0,12108.0
동대문구,16889.0,16796.0,16819.0,16865.0,16820.0,16754.0,16639.0,16598.0,16605.0,16559.0,16539.0,16681.0,16679.0,16654.0,16671.0,16683.0,16735.0,16757.0,16781.0,16850.0,16900.0,16837.0,16829.0,16796.0,16793.0,16775.0,16725.0,16739.0,16759.0,16781.0,16795.0,16768.0,16759.0,16693.0,16661.0,16653.0,16639.0,16613.0,16540.0,16571.0,16740.0,16849.0,16825.0,16780.0,16721.0,16692.0,16638.0,16520.0,16452.0,16368.0,16363.0,16305.0,16258.0,16222.0,16142.0,16069.0,16136.0,16256.0,16289.0,16325.0,16244.0,16246.0,16266.0,16250.0,16220.0,16204.0,16143.0,16108.0,16028.0,15962.0,15930.0,15896.0,15836.0,15744.0,15717.0,15671.0,15667.0,15625.0,15623.0,15529.0,15448.0,15291.0,15141.0,15044.0,14891.0,14769.0,14690.0,14627.0,14534.0,14467.0,14391.0,14290.0,14229.0,14164.0,14119.0,14097.0,13986.0,13847.0,13684.0,13616.0,13545.0,13591.0,13728.0,13746.0,13705.0,13615.0,13514.0,13398.0,13318.0,13202.0,13103.0,13014.0,13014.0,13034.0,12991.0,12956.0,12886.0,12853.0,12807.0,12801.0
중랑구,19965.0,20036.0,20038.0,19916.0,19779.0,19722.0,19647.0,19554.0,19515.0,19496.0,19404.0,19392.0,19429.0,19381.0,19354.0,19359.0,19361.0,19391.0,19383.0,19372.0,19313.0,19322.0,19287.0,19309.0,19281.0,19286.0,19272.0,19194.0,19200.0,19244.0,19271.0,19241.0,19165.0,19201.0,19156.0,19160.0,19080.0,19122.0,18995.0,18992.0,19037.0,18976.0,18942.0,18909.0,18823.0,18683.0,18601.0,18753.0,18762.0,18934.0,18928.0,18868.0,18836.0,18883.0,19008.0,19039.0,19075.0,19093.0,19065.0,19059.0,19008.0,18974.0,18935.0,18953.0,19010.0,18955.0,18898.0,18784.0,18717.0,18763.0,18699.0,18660.0,18585.0,18593.0,18538.0,18484.0,18438.0,18433.0,18345.0,18288.0,18248.0,18138.0,18093.0,18040.0,17909.0,17829.0,17713.0,17661.0,17658.0,17649.0,17629.0,17567.0,17457.0,17317.0,17201.0,17108.0,16979.0,16808.0,16655.0,16523.0,16417.0,16234.0,16076.0,15903.0,15816.0,15700.0,15598.0,15522.0,15377.0,15280.0,15161.0,15094.0,14991.0,14910.0,14814.0,14610.0,14547.0,14391.0,14256.0,14221.0
성북구,25735.0,25625.0,25565.0,25423.0,25425.0,25377.0,25446.0,25516.0,25600.0,25748.0,25921.0,26050.0,26036.0,26048.0,25962.0,25985.0,25933.0,25950.0,25850.0,25818.0,25770.0,25688.0,25619.0,25572.0,25554.0,25491.0,25374.0,25351.0,25328.0,25321.0,25298.0,25253.0,25193.0,25092.0,25067.0,24994.0,24920.0,24819.0,24682.0,24630.0,24523.0,24462.0,24422.0,24339.0,24230.0,24143.0,24012.0,23876.0,23657.0,23583.0,23515.0,23404.0,23342.0,23179.0,23071.0,22874.0,22756.0,22600.0,22440.0,22390.0,22274.0,22253.0,22148.0,22110.0,22080.0,22111.0,22110.0,22011.0,21960.0,21920.0,21824.0,21779.0,21609.0,21540.0,21469.0,21380.0,21284.0,21222.0,21085.0,20962.0,20816.0,20678.0,20490.0,20369.0,20171.0,20139.0,20015.0,19929.0,19840.0,19749.0,19632.0,19545.0,19449.0,19308.0,19173.0,19082.0,18891.0,18738.0,18609.0,18518.0,18345.0,18210.0,18028.0,17866.0,17639.0,17463.0,17319.0,17209.0,17038.0,16943.0,17061.0,17104.0,17083.0,16997.0,17036.0,16956.0,16867.0,17018.0,16984.0,16920.0
강북구,15480.0,15407.0,15320.0,15273.0,15158.0,15356.0,15439.0,15499.0,15469.0,15476.0,15493.0,15524.0,15523.0,15522.0,15525.0,15564.0,15541.0,15521.0,15539.0,15552.0,15566.0,15513.0,15616.0,15674.0,15738.0,15819.0,15756.0,15778.0,15736.0,15705.0,15728.0,15735.0,15704.0,15735.0,15735.0,15759.0,15741.0,15758.0,15637.0,15609.0,15606.0,15578.0,15534.0,15464.0,15421.0,15307.0,15186.0,15055.0,14978.0,14903.0,14794.0,14816.0,14799.0,14770.0,14730.0,14662.0,14620.0,14545.0,14505.0,14432.0,14374.0,14278.0,14182.0,14133.0,14107.0,14065.0,14006.0,13943.0,13900.0,13828.0,13754.0,13655.0,13586.0,13551.0,13558.0,13524.0,13438.0,13357.0,13260.0,13132.0,13058.0,12934.0,12807.0,12743.0,12604.0,12523.0,12516.0,12475.0,12436.0,12389.0,12315.0,12228.0,12118.0,12029.0,11937.0,11867.0,11758.0,11689.0,11508.0,11381.0,11309.0,11187.0,11072.0,10944.0,10834.0,10750.0,10618.0,10557.0,10418.0,10308.0,10143.0,10057.0,9988.0,9887.0,9783.0,9681.0,9626.0,9632.0,9555.0,9470.0
도봉구,17426.0,17338.0,17248.0,17164.0,17085.0,17020.0,16959.0,16879.0,16856.0,16862.0,16845.0,16901.0,16861.0,16851.0,16802.0,16827.0,16834.0,16832.0,16795.0,16817.0,16829.0,16860.0,16852.0,16867.0,16881.0,16878.0,16874.0,16834.0,16795.0,16820.0,16889.0,16954.0,16952.0,16898.0,16867.0,16858.0,16807.0,16797.0,16711.0,16678.0,16588.0,16511.0,16486.0,16380.0,16316.0,16265.0,16178.0,16093.0,15963.0,15920.0,15925.0,15911.0,15834.0,15853.0,15757.0,15736.0,15695.0,15675.0,15650.0,15604.0,15521.0,15508.0,15472.0,15515.0,15541.0,15572.0,15553.0,15499.0,15439.0,15397.0,15398.0,15372.0,15322.0,15321.0,15246.0,15207.0,15197.0,15153.0,15101.0,15043.0,14967.0,14910.0,14816.0,14705.0,14604.0,14509.0,14396.0,14301.0,14238.0,14205.0,14113.0,13994.0,13898.0,13822.0,13720.0,13649.0,13561.0,13463.0,13306.0,13217.0,13127.0,12995.0,12906.0,12782.0,12686.0,12559.0,12501.0,12441.0,12315.0,12193.0,12048.0,11970.0,11903.0,11845.0,11723.0,11623.0,11542.0,11473.0,11398.0,11365.0
