"year","month","price"
"2010","01",497.6
"2010","02",481.1
"2010","03",478.7
"2010","04",471.2
"2010","05",475.0
"2010","06",468.7
"2010","07",479.2
"2010","08",463.1
"2010","09",469.2
"2010","10",462.9
"2010","11",476.4
"2010","12",475.6
"2011","01",484.3
"2011","02",476.6
"2011","03",475.6
"2011","04",480.2
"2011","05",466.3
"2011","06",483.4
"2011","07",484.8
"2011","08",474.7
"2011","09",468.8
"2011","10",467.7
"2011","11",476.9
"2011","12",479.7
"2012","01",477.6
"2012","02",476.5
"2012","03",479.0
"2012","04",475.5
"2012","05",484.8
"2012","06",472.2
"2012","07",482.6
"2012","08",469.6
"2012","09",462.8
"2012","10",467.8
"2012","11",461.4
"2012","12",465.2
"2013","01",465.9
"2013","02",465.0
"2013","03",459.4
"2013","04",478.1
"2013","05",458.6
"2013","06",461.0
"2013","07",478.4
"2013","08",460.5
"2013","09",473.3
"2013","10",465.1
"2013","11",470.1
"2013","12",479.9
"2014","01",480.7
"2014","02",485.7
"2014","03",468.6
"2014","04",479.7
"2014","05",469.1
"2014","06",477.6
"2014","07",487.9
"2014","08",483.4
"2014","09",494.0
"2014","10",489.4
"2014","11",493.2
"2014","12",507.0
"2015","01",501.8
"2015","02",504.0
"2015","03",499.6
"2015","04",499.7
"2015","05",508.8
"2015","06",512.6
"2015","07",506.8
"2015","08",505.0
"2015","09",520.0
"2015","10",520.0
"2015","11",523.8
"2015","12",535.3
"2016","01",523.5
"2016","02",532.0
"2016","03",534.7
"2016","04",535.1
"2016","05",547.8
"2016","06",547.1
"2016","07",551.2
"2016","08",563.1
"2016","09",567.7
"2016","10",572.3
"2016","11",566.8
"2016","12",571.1
"2017","01",586.7
"2017","02",592.9
"2017","03",587.6
"2017","04",595.1
"2017","05",599.0
"2017","06",606.5
"2017","07",613.7
"2017","08",609.8
"2017","09",622.1
"2017","10",628.3
"2017","11",639.2
"2017","12",649.9
"2018","01",653.3
"2018","02",657.1
"2018","03",646.9
"2018","04",649.8
"2018","05",654.7
"2018","06",676.5
"2018","07",683.8
"2018","08",709.2
"2018","09",703.6
"2018","10",689.1
"2018","11",706.9
"2018","12",706.9
"2019","01",703.0
"2019","02",701.5
"2019","03",719.3
"2019","04",704.7
"2019","05",728.0
"2019","06",754.2
"2019","07",771.7
"2019","08",774.0
"2019","09",766.5
"2019","10",781.7
"2019","11",796.3
"2019","12",809.2
