거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"20,000",1976,2010,중곡동,중곡1단지,1,12,48.46,191-77,11215,5
"31,000",1998,2010,중곡동,성원,1,14,84.98,681,11215,12
"34,500",2004,2010,중곡동,두리,1,18,82.3,135-13,11215,2
"26,000",2002,2010,중곡동,광남캐스빌3차,1,19,72.53,646-10,11215,4
"34,050",2009,2010,중곡동,주성AURA,1,20,67.76,130-5,11215,3
"24,500",1976,2010,중곡동,중곡2단지,1,22,55.87,190-26,11215,4
"19,500",1976,2010,중곡동,중곡1단지,1,23,48.46,191-77,11215,2
"28,000",2002,2010,중곡동,호동,1,24,69.36,254-12,11215,1
"29,900",2002,2010,중곡동,광남캐스빌3차,1,26,66.48,646-10,11215,4
"32,000",2003,2010,중곡동,그랑,1,27,81.1,51-31,11215,2
"36,000",2002,2010,중곡동,중곡동광덕,1,27,84.76,683,11215,2
"24,600",1976,2010,중곡동,중곡2단지,1,28,55.87,190-26,11215,5
"45,000",1994,2010,구의동,구의현대6단지,1,5,84.92,610,11215,1
"58,750",2002,2010,구의동,세양,1,6,84.32,658,11215,19
"41,000",2002,2010,구의동,한솔아파트,1,7,105.56,56-6,11215,4
"59,000",1996,2010,구의동,구의현대2단지,1,7,84.91,611,11215,19
"50,000",1996,2010,구의동,구의현대2단지,1,9,84.91,611,11215,1
"43,500",1997,2010,구의동,현대프라임,1,9,59.82,631-1,11215,16
"37,500",1997,2010,구의동,구의현대7단지현대홈타운,1,11,59.97,587-54,11215,11
"37,600",1997,2010,구의동,구의현대7단지현대홈타운,1,13,59.97,587-54,11215,12
"64,000",1997,2010,구의동,현대프라임,1,14,84.99,631-1,11215,23
"62,000",1996,2010,구의동,구의현대2단지,1,16,84.91,611,11215,18
"120,000",1997,2010,구의동,현대프라임,1,16,183.87,631-1,11215,11
"69,500",2001,2010,구의동,삼성쉐르빌,1,18,144.51,199-18,11215,12
"71,800",1997,2010,구의동,현대프라임,1,18,84.99,631-1,11215,21
"44,000",2001,2010,구의동,삼성쉐르빌,1,21,84.69,199-18,11215,19
"43,600",1997,2010,구의동,현대프라임,1,21,59.82,631-1,11215,4
"57,000",2002,2010,구의동,세양,1,24,84.32,658,11215,7
"40,500",1997,2010,구의동,현대프라임,1,25,59.82,631-1,11215,10
"42,900",1997,2010,구의동,현대프라임,1,26,59.82,631-1,11215,15
"44,500",1997,2010,구의동,현대프라임,1,27,59.82,631-1,11215,5
"77,000",2001,2010,구의동,삼성쉐르빌,1,27,130.55,199-18,11215,24
