거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"27,000",1994,2010,용두동,신동아,1,12,58.59,779,11230,2
"38,000",1994,2010,용두동,신동아,1,16,84.63,779,11230,14
"60,000",2009,2010,용두동,용두 두산위브,1,17,105.6,791,11230,9
"21,800",1994,2010,용두동,신동아,1,21,58.59,779,11230,1
"52,300",2009,2010,용두동,용두 두산위브,1,23,84.99,791,11230,13
"15,000",2009,2010,용두동,롯데캐슬피렌체,1,31,26.08,790,11230,4
"45,750",2004,2010,제기동,한신,1,4,114.885,1212,11230,2
"40,000",2004,2010,제기동,한신,1,5,84.76,1212,11230,14
"38,800",2005,2010,제기동,이수브라운스톤,1,6,84.9,252,11230,6
"40,000",1977,2010,제기동,경동미주,1,8,96.96,892-68,11230,9
"43,750",2003,2010,제기동,안암골벽산,1,9,84.98,153,11230,5
"27,500",2004,2010,제기동,한신,1,13,59.84,1212,11230,21
"27,500",2004,2010,제기동,한신,1,18,59.84,1212,11230,14
"52,000",2003,2010,제기동,안암골벽산,1,19,116.69,153,11230,6
"39,700",2003,2010,제기동,안암골벽산,1,19,84.98,153,11230,2
"43,000",2005,2010,제기동,이수브라운스톤,1,21,84.9,252,11230,10
"60,000",2003,2010,제기동,안암골벽산,1,23,116.69,153,11230,20
"38,900",2005,2010,제기동,이수브라운스톤,1,23,84.9,252,11230,1
"52,000",2003,2010,제기동,안암골벽산,1,26,116.69,153,11230,8
"24,000",1992,2010,전농동,전농우성,1,4,59.78,6,11230,15
"30,800",2000,2010,전농동,전농동삼성래미안,1,11,59.93,155,11230,20
"28,300",2000,2010,전농동,전농SK,1,11,59.34,10,11230,18
"32,000",2000,2010,전농동,전농동삼성래미안,1,12,114.89,155,11230,1
"33,400",1992,2010,전농동,전농우성,1,13,84.84,6,11230,12
"24,800",1992,2010,전농동,전농우성,1,14,59.78,6,11230,5
"46,000",2000,2010,전농동,전농SK,1,22,114.3,10,11230,24
"53,800",2007,2010,전농동,전농동하우스토리,1,22,115.146,32-4,11230,14
"27,800",2000,2010,전농동,전농SK,1,25,59.34,10,11230,4
"25,500",1992,2010,전농동,전농우성,1,26,59.78,6,11230,10
"24,500",1992,2010,전농동,전농우성,1,27,59.78,6,11230,4
"25,500",1992,2010,전농동,전농우성,1,30,59.78,6,11230,5
"41,700",2000,2010,전농동,전농SK,1,30,84.84,10,11230,10
"22,000",1992,2010,답십리동,동답한신,1,4,44.35,42,11230,6
"24,900",1989,2010,답십리동,동서울한양,1,6,59.67,41,11230,5
"41,000",2001,2010,답십리동,답십리한화,1,6,84.86,994,11230,17
"48,300",2007,2010,답십리동,두산위브,1,7,84.91,998,11230,14
"34,000",2001,2010,답십리동,동아,1,8,84.72,10,11230,2
"29,800",2003,2010,답십리동,대림,1,12,59.65,808,11230,18
"48,000",2000,2010,답십리동,답십리청솔우성,1,13,114.76,80,11230,7
"40,000",2006,2010,답십리동,청계벽산메가트리움,1,15,84.96,999,11230,13
"28,000",2000,2010,답십리동,답십리청솔우성,1,16,59.74,80,11230,15
"30,000",2000,2010,답십리동,답십리청솔우성,1,16,59.89,80,11230,24
"27,000",1991,2010,답십리동,신답경남,1,16,72.32,645-8,11230,6
"37,000",2001,2010,답십리동,동아,1,19,84.72,10,11230,12
"37,000",2005,2010,답십리동,세양청마루,1,20,84.98,997,11230,21
"48,100",2007,2010,답십리동,두산위브,1,23,84.91,998,11230,17
"36,800",2001,2010,답십리동,동아,1,24,84.72,10,11230,13
"17,900",1992,2010,답십리동,동답한신,1,25,35.45,42,11230,3
"33,250",2000,2010,답십리동,답십리청솔우성,1,25,84.94,80,11230,1
"42,500",2001,2010,답십리동,동아,1,27,114.84,10,11230,13
"35,000",1992,2010,답십리동,동답한신,1,27,82.39,42,11230,7
"30,200",1991,2010,답십리동,신답경남,1,28,82.5,645-8,11230,4
"25,500",2000,2010,답십리동,두산,1,29,59.96,990,11230,1
"31,900",2000,2010,답십리동,청솔2차우성,1,30,59.97,80-2,11230,9
"36,000",2007,2010,답십리동,두산위브,1,30,59.91,998,11230,12
"43,000",2007,2010,답십리동,두산위브,1,31,84.91,998,11230,6
"36,300",2002,2010,장안동,장안삼성쉐르빌,1,4,98.5,371-1,11230,26
"28,000",2008,2010,장안동,경남하이빌,1,4,84.56,578,11230,7
"36,500",1996,2010,장안동,한신(555-1),1,6,84.9,555-1,11230,9
"34,300",2005,2010,장안동,장안동신일해피트리,1,8,84.97,568,11230,12
"30,000",2008,2010,장안동,상록파라브2차,1,9,74.26,440-2,11230,2
"55,000",2007,2010,장안동,장안힐스테이트,1,9,84.789,329-2,11230,5
"40,000",2002,2010,장안동,장안삼성쉐르빌,1,9,119.05,371-1,11230,10
