건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
1972,2011,성북동,"9,000",주암,1,0,31,48.73,286,11290,1
2005,2011,돈암동,"22,000",일신건영휴먼빌아파트,1,0,2,84.98,524,11290,2
2007,2011,돈암동,"8,000",돈암힐스테이트,1,0,2,59.38,639,11290,12
1994,2011,돈암동,"17,000",동소문현대,1,0,3,84.72,630,11290,1
1998,2011,돈암동,"30,000",한신,1,0,3,132.96,609-1,11290,16
1998,2011,돈암동,"6,000",한진(609-1),1,50,3,59.58,609-1,11290,3
1998,2011,돈암동,"15,000",범양,1,0,4,59.79,631,11290,11
2004,2011,돈암동,"19,000",이수브라운스톤돈암,1,0,4,59.99,636,11290,8
2005,2011,돈암동,"5,000",일신건영휴먼빌아파트,1,100,4,84.98,524,11290,11
1998,2011,돈암동,"4,000",한진(609-1),1,60,4,59.58,609-1,11290,1
2007,2011,돈암동,"18,000",돈암힐스테이트,1,0,5,59.38,639,11290,7
1999,2011,돈암동,"25,000",돈암동 풍림아파트 101~105동,1,0,5,114.41,632,11290,11
1998,2011,돈암동,"15,500",범양,1,0,5,59.79,631,11290,10
1998,2011,돈암동,"31,000",한신,1,0,5,132.96,609-1,11290,13
2005,2011,돈암동,"25,000",일신건영휴먼빌아파트,1,0,5,117.16,524,11290,11
1999,2011,돈암동,"9,000",돈암동삼성,1,70,6,114.66,15-1,11290,6
2009,2011,돈암동,"22,000",대성유니드(641-0),1,0,6,84.94,641,11290,2
1998,2011,돈암동,"15,000",한진(609-1),1,0,6,59.58,609-1,11290,14
1998,2011,돈암동,"5,000",한신,1,100,6,84.87,609-1,11290,12
1999,2011,돈암동,"5,000",돈암동삼성,1,45,7,84.59,15-1,11290,22
2006,2011,돈암동,"7,000",돈암동더샵아파트,1,80,7,84.817,603,11290,4
1998,2011,돈암동,"28,000",한신,1,0,7,152.25,609-1,11290,11
2005,2011,돈암동,"23,000",일신건영휴먼빌아파트,1,0,7,84.98,524,11290,18
2003,2011,돈암동,"28,000",동부센트레빌,1,0,7,115.51,633,11290,4
1998,2011,돈암동,"15,000",한진(609-1),1,0,7,59.58,609-1,11290,10
2003,2011,돈암동,"22,500",동부센트레빌,1,0,8,80.54,633,11290,10
2004,2011,돈암동,"10,000",이수브라운스톤돈암,1,85,8,84.97,636,11290,10
2007,2011,돈암동,"10,000",돈암힐스테이트,1,70,8,59.38,639,11290,7
1998,2011,돈암동,"15,000",범양,1,0,8,59.79,631,11290,6
1998,2011,돈암동,"5,000",한신,1,100,8,84.87,609-1,11290,7
1998,2011,돈암동,"28,000",한신,1,0,9,132.96,609-1,11290,16
1999,2011,돈암동,"18,500",돈암동삼성,1,0,9,84.59,15-1,11290,16
2004,2011,돈암동,"23,500",이수브라운스톤돈암,1,0,10,84.97,636,11290,16
1998,2011,돈암동,"11,000",한신,1,4,10,68.13,609-1,11290,10
1998,2011,돈암동,"23,000",한신,1,0,11,84.87,609-1,11290,20
2003,2011,돈암동,"22,000",동부센트레빌,1,0,11,80.54,633,11290,15
2005,2011,돈암동,"27,000",일신건영휴먼빌아파트,1,0,11,143.51,524,11290,10
2004,2011,돈암동,"19,000",이수브라운스톤돈암,1,0,12,59.99,636,11290,1
1998,2011,돈암동,"20,000",한진(609-1),1,0,12,84.87,609-1,11290,4
1991,2011,돈암동,"15,000",돈암현대아파트,1,0,12,56.7,1,11290,4
1991,2011,돈암동,"12,500",돈암현대아파트,1,0,13,56.7,1,11290,2
1998,2011,돈암동,"17,000",한신,1,0,13,68.13,609-1,11290,5
1998,2011,돈암동,"27,000",한진(609-1),1,0,13,152.25,609-1,11290,5
1998,2011,돈암동,"15,000",한진(609-1),1,0,13,59.58,609-1,11290,2
1998,2011,돈암동,"30,000",한진(609-1),1,0,13,152.25,609-1,11290,15
2004,2011,돈암동,"5,000",이수브라운스톤돈암,1,110,13,84.97,636,11290,4
1998,2011,돈암동,"21,000",한진(609-1),1,0,13,84.87,609-1,11290,3
1998,2011,돈암동,"20,000",한진(609-1),1,0,13,84.87,609-1,11290,8
1999,2011,돈암동,"15,000",돈암동 풍림아파트 101~105동,1,0,14,59.64,632,11290,7
1991,2011,돈암동,"3,000",돈암현대아파트,1,50,15,41.58,1,11290,5
1999,2011,돈암동,"19,000",돈암동삼성,1,0,15,84.59,15-1,11290,19
2003,2011,돈암동,"22,000",동부센트레빌,1,0,15,80.54,633,11290,21
