건축년도,계약면적,년,법정동,보증금액,월,월세금액,일,지역코드
1996,33,2011,청운동,"6,000",1,0,20,11110
2000,146.32,2011,청운동,"30,000",1,0,26,11110
,50,2011,신교동,"7,000",1,0,8,11110
1996,85.44,2011,신교동,"10,000",1,70,13,11110
,47.8,2011,신교동,"5,500",1,50,19,11110
1998,35.9,2011,효자동,"1,300",1,30,6,11110
2013,48.18,2011,효자동,"12,000",1,70,8,11110
1996,43,2011,효자동,"5,000",1,30,18,11110
1997,38.73,2011,창성동,"9,000",1,0,4,11110
2002,40.06,2011,창성동,"17,000",1,0,5,11110
1936,39.6,2011,창성동,"10,500",1,0,17,11110
1997,32.74,2011,창성동,"7,500",1,0,22,11110
2007,79,2011,창성동,"20,000",1,0,25,11110
2002,38.26,2011,창성동,"14,000",1,0,28,11110
2001,50,2011,통의동,"13,000",1,0,15,11110
,26.45,2011,통의동,"8,500",1,0,24,11110
1996,52.8,2011,통인동,650,1,25,1,11110
2014,57.39,2011,통인동,"14,000",1,0,3,11110
1990,41.4,2011,통인동,"9,500",1,0,11,11110
,39.6,2011,통인동,"12,000",1,0,22,11110
1996,40,2011,통인동,"2,000",1,70,22,11110
1995,66,2011,누상동,"7,000",1,50,7,11110
1997,40.95,2011,누상동,"6,500",1,0,14,11110
2018,22.83,2011,누상동,"7,000",1,0,15,11110
2018,68.49,2011,누상동,"6,500",1,0,15,11110
1994,57.23,2011,누하동,"12,000",1,0,8,11110
1992,47.45,2011,누하동,"11,000",1,0,9,11110
,29.75,2011,누하동,"8,000",1,0,12,11110
2010,20,2011,누하동,"7,000",1,0,18,11110
1991,55,2011,누하동,"2,000",1,70,27,11110
1998,49.22,2011,옥인동,"9,000",1,0,13,11110
,38.22,2011,옥인동,"12,000",1,0,22,11110
,46.77,2011,옥인동,"10,000",1,0,31,11110
,33.06,2011,체부동,"2,000",1,60,10,11110
1961,23.1,2011,체부동,"5,000",1,0,22,11110
1997,53.67,2011,필운동,"10,000",1,0,11,11110
,23.14,2011,필운동,"1,000",1,50,21,11110
1993,64.66,2011,사직동,"7,000",1,0,9,11110
1994,35,2011,신문로2가,"7,000",1,10,12,11110
,30,2011,팔판동,"1,000",1,60,12,11110
1996,44.77,2011,삼청동,"10,000",1,0,5,11110
,49.6,2011,삼청동,"11,000",1,0,6,11110
1937,17,2011,삼청동,"4,000",1,0,21,11110
,33,2011,안국동,"2,000",1,40,27,11110
2006,35.35,2011,가회동,"8,000",1,0,8,11110
,39.41,2011,계동,"16,500",1,0,6,11110
1961,40.03,2011,계동,"12,000",1,0,8,11110
,64.8,2011,계동,"15,000",1,0,10,11110
,105.8,2011,계동,"30,000",1,0,10,11110
2004,10,2011,관수동,100,1,5,10,11110
2010,19.8,2011,원남동,"3,000",1,30,4,11110
2010,20,2011,원남동,"1,000",1,50,11,11110
1988,21,2011,원남동,"1,500",1,30,14,11110
2010,33,2011,원남동,500,1,35,24,11110
1988,21,2011,원남동,"1,000",1,40,26,11110
1988,21,2011,원남동,500,1,40,30,11110
1975,45.62,2011,종로6가,"7,500",1,0,28,11110
1997,136.7,2011,이화동,"1,000",1,40,6,11110
,17,2011,이화동,"6,000",1,10,8,11110
1995,15,2011,이화동,"1,000",1,40,9,11110
1963,46.18,2011,이화동,"2,000",1,40,19,11110
1996,59.69,2011,연건동,"1,000",1,45,2,11110
1964,44.43,2011,연건동,"2,000",1,53,2,11110
1964,53.79,2011,연건동,"3,000",1,40,5,11110
1995,26.14,2011,연건동,"4,500",1,0,10,11110
1969,42.74,2011,연건동,"1,000",1,40,19,11110
1993,39.27,2011,연건동,"8,000",1,0,19,11110
1994,29.8,2011,연건동,"7,000",1,0,31,11110
1988,62.7,2011,충신동,"8,000",1,0,6,11110
1996,76.06,2011,충신동,"2,000",1,40,13,11110
1988,60.5,2011,충신동,"6,000",1,0,20,11110
1993,44.6,2011,충신동,"2,000",1,45,28,11110
1988,66.3,2011,충신동,"8,000",1,0,31,11110
2008,49.04,2011,동숭동,"3,500",1,42,7,11110
1996,162.08,2011,동숭동,"7,000",1,10,8,11110
1997,157.55,2011,동숭동,"2,000",1,30,10,11110
,19.83,2011,동숭동,"4,000",1,0,10,11110
1996,21.06,2011,동숭동,"1,000",1,40,13,11110
2004,72.73,2011,동숭동,"2,000",1,60,14,11110
1996,41.85,2011,동숭동,"6,500",1,0,15,11110
1996,163.72,2011,동숭동,"5,500",1,13,16,11110
1996,91.74,2011,동숭동,"6,000",1,10,19,11110
,30,2011,동숭동,"4,000",1,0,20,11110
1989,50.69,2011,동숭동,"1,000",1,40,20,11110
1989,55.85,2011,동숭동,"6,000",1,0,20,11110
1997,112.19,2011,동숭동,"2,000",1,35,20,11110
1997,104.53,2011,동숭동,"5,000",1,10,21,11110
1996,163.72,2011,동숭동,"1,500",1,45,23,11110
1997,104.02,2011,동숭동,"3,000",1,40,26,11110
1996,20.2,2011,동숭동,"2,000",1,40,26,11110
1997,20,2011,동숭동,"4,000",1,20,28,11110
1992,18,2011,동숭동,"1,000",1,50,31,11110
1996,37.23,2011,동숭동,"5,000",1,20,31,11110
2001,24,2011,혜화동,"6,000",1,0,4,11110
,60,2011,혜화동,"9,000",1,0,10,11110
,20,2011,혜화동,"6,000",1,0,12,11110
1992,18,2011,혜화동,"3,000",1,10,13,11110
2001,34.8,2011,혜화동,"10,000",1,0,15,11110
2001,76.4,2011,혜화동,"5,000",1,100,15,11110
1993,38,2011,혜화동,"6,000",1,20,15,11110
1997,20,2011,혜화동,"5,000",1,10,16,11110
,106.44,2011,혜화동,"6,000",1,120,17,11110
1995,20,2011,혜화동,"8,000",1,0,17,11110
1997,20,2011,혜화동,"5,000",1,10,21,11110
2001,24,2011,혜화동,"6,000",1,0,25,11110
1997,24,2011,혜화동,"2,000",1,40,25,11110
1967,74.38,2011,명륜1가,"3,000",1,0,1,11110
1996,46.6,2011,명륜1가,"10,000",1,0,5,11110
1996,23.1,2011,명륜1가,500,1,40,9,11110
1967,15,2011,명륜1가,"3,200",1,0,9,11110
1994,20,2011,명륜1가,"1,000",1,40,14,11110
1984,20,2011,명륜1가,"1,000",1,55,14,11110
2002,50,2011,명륜1가,"15,000",1,0,15,11110
1997,29.15,2011,명륜1가,"4,000",1,23,16,11110
1964,28.5,2011,명륜1가,"1,500",1,45,20,11110
1991,15,2011,명륜1가,"1,000",1,40,24,11110
1984,82.32,2011,명륜1가,"17,000",1,0,24,11110
1996,18,2011,명륜1가,500,1,35,25,11110
1992,59.4,2011,명륜1가,"11,000",1,0,27,11110
1994,20,2011,명륜1가,"1,000",1,35,28,11110
1988,18,2011,명륜1가,"1,000",1,40,28,11110
1992,13.2,2011,명륜1가,500,1,37,29,11110
2002,23.1,2011,명륜1가,500,1,45,31,11110
1993,24,2011,명륜2가,300,1,32,6,11110
1969,30,2011,명륜2가,"1,000",1,60,7,11110
2009,30,2011,명륜2가,"1,000",1,50,7,11110
1996,15.5,2011,명륜2가,"1,000",1,50,7,11110
1988,15,2011,명륜2가,500,1,40,8,11110
2010,18,2011,명륜2가,"2,000",1,40,8,11110
2009,18,2011,명륜2가,"1,000",1,50,8,11110
1975,26.2,2011,명륜2가,"8,500",1,0,9,11110
2001,15,2011,명륜2가,"1,000",1,30,11,11110
1993,43.7,2011,명륜2가,"1,000",1,65,13,11110
1997,20,2011,명륜2가,"1,000",1,50,15,11110
,17.79,2011,명륜2가,"3,000",1,30,15,11110
1993,18,2011,명륜2가,"1,000",1,50,17,11110
1988,21,2011,명륜2가,"2,000",1,35,20,11110
,44.89,2011,명륜2가,"1,000",1,75,21,11110
2001,15,2011,명륜2가,"1,000",1,35,21,11110
1988,15,2011,명륜2가,"1,000",1,45,24,11110
1993,23.1,2011,명륜2가,"1,000",1,55,26,11110
1996,15,2011,명륜2가,500,1,30,29,11110
,18,2011,명륜4가,"1,000",1,55,4,11110
1996,64.2,2011,명륜4가,"1,000",1,40,7,11110
1972,16,2011,명륜4가,"1,000",1,45,24,11110
1995,20,2011,명륜4가,"1,000",1,50,26,11110
1991,41.83,2011,명륜3가,"5,000",1,0,1,11110
1991,145.6,2011,명륜3가,"5,000",1,0,1,11110
,15,2011,명륜3가,"3,500",1,15,2,11110
1997,26.89,2011,명륜3가,"6,500",1,0,3,11110
1996,24,2011,명륜3가,"6,500",1,0,4,11110
1997,15,2011,명륜3가,"3,200",1,7,5,11110
1993,47.6,2011,명륜3가,"3,000",1,0,5,11110
1976,92.6,2011,명륜3가,"1,000",1,40,5,11110
1949,18,2011,명륜3가,"3,000",1,0,6,11110
1964,18.75,2011,명륜3가,"3,000",1,30,6,11110
1964,15.5,2011,명륜3가,"3,000",1,25,6,11110
1997,35,2011,명륜3가,"9,500",1,0,7,11110
1988,191.67,2011,명륜3가,500,1,30,8,11110
1997,38.01,2011,명륜3가,"1,000",1,60,8,11110
1988,25,2011,명륜3가,"1,000",1,47,9,11110
1997,35,2011,명륜3가,"9,500",1,0,9,11110
1996,49.5,2011,명륜3가,"9,500",1,0,10,11110
1991,50,2011,명륜3가,"10,000",1,0,10,11110
1993,40,2011,명륜3가,"4,000",1,40,10,11110
,15,2011,명륜3가,"2,000",1,28,12,11110
1997,12,2011,명륜3가,"2,700",1,0,13,11110
1997,76.41,2011,명륜3가,"2,000",1,50,14,11110
1961,45.45,2011,명륜3가,"9,500",1,0,14,11110
