건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
1999,2011,통인동,"9,000",효자,1,0,11,56.53,5-1,11110,4
2008,2011,사직동,"40,000",광화문풍림스페이스본(101동~105동),1,0,3,97.61,9,11110,6
2008,2011,사직동,"30,000",광화문풍림스페이스본(101동~105동),1,0,3,70.8,9,11110,12
2008,2011,사직동,"40,000",광화문풍림스페이스본(101동~105동),1,0,4,97.61,9,11110,4
1974,2011,사직동,"20,000",사직아파트,1,0,6,116.23,1-8,11110,6
2008,2011,사직동,"32,000",광화문풍림스페이스본(101동~105동),1,0,7,70.8,9,11110,2
2008,2011,사직동,"38,000",광화문풍림스페이스본(101동~105동),1,0,12,94.28,9,11110,12
2008,2011,사직동,"30,000",광화문풍림스페이스본(101동~105동),1,150,15,159.01,9,11110,3
2008,2011,사직동,"5,000",광화문풍림스페이스본(101동~105동),1,180,18,70.8,9,11110,3
2008,2011,사직동,"15,000",광화문풍림스페이스본(101동~105동),1,250,24,159.01,9,11110,11
2008,2011,사직동,"60,000",광화문풍림스페이스본(106동),1,0,24,153.42,9-1,11110,7
2008,2011,사직동,"30,000",광화문풍림스페이스본(101동~105동),1,0,25,70.8,9,11110,8
2008,2011,사직동,"45,000",광화문풍림스페이스본(101동~105동),1,0,28,94.51,9,11110,7
2004,2011,내수동,"55,000",경희궁의아침4단지,1,0,11,124.17,73,11110,13
2003,2011,내수동,"60,000",경희궁 파크팰리스,1,0,11,146.39,95,11110,5
2003,2011,내수동,"45,000",경희궁 파크팰리스,1,0,12,148.09,95,11110,11
2003,2011,내수동,500,경희궁 파크팰리스,1,270,20,103.77,95,11110,12
2004,2011,내수동,"5,000",경희궁의아침4단지,1,300,21,124.17,73,11110,9
2004,2011,내수동,"85,000",경희궁의아침3단지,1,0,24,174.55,72,11110,15
2003,2011,내수동,"15,000",경희궁 파크팰리스,1,250,29,146.39,95,11110,9
2003,2011,익선동,"22,000",현대뜨레비앙,1,0,14,48.54,55,11110,3
1998,2011,익선동,"30,000",운현신화타워,1,0,22,97.74,30-6,11110,6
2003,2011,익선동,400,현대뜨레비앙,1,75,29,46.64,55,11110,4
2003,2011,명륜1가,"20,000",송림아마레스아파트,1,0,3,84.62,2-12,11110,4
1999,2011,명륜2가,"20,000",아남3,1,0,3,50.49,237,11110,4
1995,2011,명륜2가,"32,000",아남1,1,0,4,84.8,4,11110,18
1999,2011,명륜2가,"21,000",아남3,1,0,8,47.43,237,11110,7
1999,2011,명륜2가,"10,000",아남3,1,65,8,50.49,237,11110,3
1995,2011,명륜2가,"30,000",아남1,1,0,11,84.9,4,11110,10
1996,2011,명륜2가,"23,000",아남2,1,0,12,59.4,236,11110,8
1999,2011,명륜2가,"19,000",아남3,1,0,18,50.49,237,11110,4
1995,2011,명륜2가,"36,000",아남1,1,0,18,84.9,4,11110,8
1995,2011,명륜2가,"35,000",아남1,1,0,18,84.9,4,11110,12
1995,2011,명륜2가,"33,000",아남1,1,0,24,84.9,4,11110,11
1995,2011,명륜2가,"31,000",아남1,1,0,25,84.8,4,11110,7
1999,2011,명륜2가,"4,000",아남3,1,100,26,47.43,237,11110,3
1995,2011,명륜2가,"30,000",아남1,1,0,29,84.9,4,11110,1
