건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
1991,2011,청운동,"18,000",우진빌딩,1,0,5,92.15,74-1,11110,2
2002,2011,청운동,"32,000",아트빌,1,0,12,84.82,89-5,11110,2
2002,2011,청운동,"32,000",아트빌,1,0,27,84.82,89-5,11110,1
1996,2011,신교동,"8,000",(17-8),1,10,12,43.86,17-8,11110,3
1996,2011,신교동,"18,000",(17-3),1,0,15,55.5,17-3,11110,4
1996,2011,신교동,"3,000",(효자분식),1,100,19,59.79,10,11110,2
1997,2011,신교동,"4,000",(19-2),1,40,21,32.72,19-2,11110,2
1996,2011,신교동,"14,000",(55-0),1,0,26,57.6,55,11110,4
1997,2011,신교동,"15,000",수만빌리지,1,20,29,51.52,36,11110,4
2003,2011,누상동,"17,000",아름다운집,1,0,3,62.99,166-119,11110,4
2001,2011,누상동,"13,000",코디골드빌102동,1,0,3,57.6,159-12,11110,2
1996,2011,누상동,"13,500",누상빌딩,1,0,4,46.02,53-1,11110,2
2006,2011,누상동,"22,000",(166-186),1,0,5,84.87,166-186,11110,3
1998,2011,누상동,"12,500",시온빌라,1,0,12,52.5,166-6,11110,2
2003,2011,누상동,"13,000",루미빌,1,0,12,52.89,14,11110,1
2000,2011,누상동,"15,000",원그린빌라,1,0,14,59.44,166-225,11110,4
1997,2011,누상동,"12,000",(166-170),1,0,15,38.49,166-127,11110,2
1997,2011,누상동,"3,000",정희빌라,1,65,20,52.44,166-30,11110,2
1998,2011,누상동,"15,000",녹원하이츠빌라3동,1,0,21,58.51,166-233,11110,1
2007,2011,누상동,"19,000",해오름빌,1,0,22,65.66,29-8,11110,3
2003,2011,누상동,"19,000",원아트빌A동,1,0,25,76.74,166-113,11110,2
2003,2011,누하동,"18,000",(187-0),1,0,8,77.37,187,11110,2
1996,2011,옥인동,"12,000",형제빌라,1,0,6,45.86,178-3,11110,4
1980,2011,옥인동,"10,000",옥인,1,0,11,58.67,183-1,11110,1
1980,2011,옥인동,"10,000",옥인,1,0,13,58.57,183-1,11110,3
2006,2011,옥인동,"3,000",덕암빌,1,30,26,28.78,178-17,11110,5
1980,2011,옥인동,"12,000",옥인,1,0,27,59.23,183-1,11110,3
1993,2011,체부동,"15,000",부원빌라,1,0,17,52.92,168-1,11110,1
1997,2011,계동,"29,000",(136-0),1,0,12,121.62,136,11110,2
1999,2011,원서동,"1,000",동신빌라,1,50,2,19.08,135-75,11110,4
2000,2011,원서동,"20,000",신광빌라,1,0,4,59.67,135-69,11110,4
