건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2008,2011,광화문 풍림스페이스본,사직동,"1,000",종로구,1,105,18,39.54,9,11110,5
2004,2011,광화문시대,내수동,"14,000",종로구,1,0,8,30.08,74,11110,16
2004,2011,용비어천가,내수동,"1,000",종로구,1,95,17,37.56,75,11110,9
2004,2011,두산위브파빌리온,수송동,"1,000",종로구,1,95,25,35.22,58,11110,5
2007,2011,르메이에르종로타운1,종로1가,"18,000",종로구,1,0,5,56.64,24,11110,9
2007,2011,르메이에르종로타운1,종로1가,"2,000",종로구,1,120,26,43.43,24,11110,9
2005,2011,운현궁 에스케이 허브,경운동,"1,000",종로구,1,100,11,38.59,89-4,11110,8
2004,2011,나스빌,낙원동,"1,000",종로구,1,60,7,28.58,212,11110,8
2003,2011,연지드림빌,연지동,"7,500",종로구,1,0,12,28,275-1,11110,6
2003,2011,연지드림빌,연지동,"8,500",종로구,1,0,18,37.9,275-1,11110,5
2003,2011,반도 보라 아이비 타워,효제동,"7,000",종로구,1,0,14,27.58,45,11110,10
2003,2011,반도 보라 아이비 타워,효제동,"1,000",종로구,1,70,14,30.7,45,11110,7
2003,2011,반도 보라 아이비 타워,효제동,"1,000",종로구,1,65,19,30.7,45,11110,5
2001,2011,제일빌딩,연건동,"2,000",종로구,1,45,22,30.58,198-7,11110,6
2001,2011,제일빌딩,연건동,"2,000",종로구,1,0,24,32.81,198-7,11110,7
2004,2011,롯데캐슬 천지인,숭인동,"1,000",종로구,1,85,12,39.6,76,11110,25
2004,2011,롯데캐슬 천지인,숭인동,"1,000",종로구,1,85,19,39.6,76,11110,5
2004,2011,롯데캐슬 천지인,숭인동,"1,000",종로구,1,80,21,39.6,76,11110,13
1998,2011,파크뷰타워,필운동,"10,000",종로구,2,0,19,25.86,285-5,11110,7
2004,2011,경희궁의 아침 4단지,내수동,"2,000",종로구,2,150,24,56.48,73,11110,12
2004,2011,경희궁의 아침 4단지,내수동,"13,000",종로구,2,0,25,28.24,73,11110,14
2004,2011,BIZ-WELL 종로 오피스텔,익선동,"1,000",종로구,2,50,8,17.2,34,11110,10
2004,2011,BIZ-WELL 종로 오피스텔,익선동,"1,000",종로구,2,50,16,17.2,34,11110,9
2003,2011,코윈 팔레스뷰 오피스텔,원남동,"5,500",종로구,2,0,27,24.03,95,11110,3
2003,2011,반도 보라 아이비 타워,효제동,"4,000",종로구,2,35,21,22.72,45,11110,8
2003,2011,반도 보라 아이비 타워,효제동,"1,000",종로구,2,65,26,26.58,45,11110,11
2003,2011,세레피아텔,연건동,"2,000",종로구,2,60,9,26.87,317,11110,2
2001,2011,제일빌딩,연건동,"2,000",종로구,2,45,14,30.58,198-7,11110,5
2004,2011,롯데캐슬 천지인,숭인동,"1,000",종로구,2,80,21,39.6,76,11110,15
2003,2011,오피스텔 천지인,평창동,"5,000",종로구,2,0,12,23.4,289-5,11110,4
2007,2011,르메이에르종로타운1,종로1가,"1,000",종로구,3,100,14,36.23,24,11110,20
2004,2011,BIZ-WELL 종로 오피스텔,익선동,"1,000",종로구,3,52,5,18.89,34,11110,12
2002,2011,(33-6),익선동,"1,000",종로구,3,50,12,20.82,33-6,11110,2
2005,2011,종로1번가,관철동,"1,000",종로구,3,75,10,23.86,155,11110,15
2003,2011,반도 보라 아이비 타워,효제동,"4,000",종로구,3,40,16,26.58,45,11110,5
2003,2011,세레피아텔,연건동,"5,000",종로구,3,35,3,54.79,317,11110,8
2001,2011,대보마로니에텔,연건동,"2,500",종로구,3,55,28,35.7,206,11110,9
2004,2011,롯데캐슬 천지인,숭인동,"1,000",종로구,3,85,1,39.6,76,11110,20
2004,2011,롯데캐슬 천지인,숭인동,"12,000",종로구,3,0,21,39.6,76,11110,15
2004,2011,롯데캐슬 천지인,숭인동,"1,000",종로구,3,85,31,39.6,76,11110,13
2005,2011,세검정아트오피스텔,홍지동,"2,000",종로구,3,60,22,45.1,104-21,11110,3
1998,2011,파크뷰타워,필운동,"3,000",종로구,4,50,4,24.3,285-5,11110,5
1998,2011,파크뷰타워,필운동,"11,000",종로구,4,0,14,25.65,285-5,11110,5
1998,2011,파크뷰타워,필운동,"8,000",종로구,4,0,28,21.85,285-5,11110,3
2004,2011,경희궁의 아침 2단지,내수동,"25,000",종로구,4,0,20,57.8,71,11110,14
2007,2011,르메이에르종로타운1,종로1가,"19,000",종로구,4,0,4,45.41,24,11110,17
2001,2011,대보마로니에텔,연건동,"7,500",종로구,4,0,5,25.04,206,11110,2
2004,2011,종로대우디오빌,숭인동,"4,000",종로구,4,40,8,29.65,310,11110,8
2004,2011,종로대우디오빌,숭인동,"8,500",종로구,4,0,11,29.65,310,11110,14
2002,2011,캐피탈오피스텔,부암동,"4,000",종로구,4,50,11,49.05,154-2,11110,5
2008,2011,광화문 풍림스페이스본,사직동,"20,000",종로구,5,0,11,39.54,9,11110,7
2004,2011,용비어천가,내수동,"7,000",종로구,5,50,11,33,75,11110,18
2004,2011,용비어천가,내수동,"5,000",종로구,5,60,24,37.56,75,11110,10
2004,2011,광화문시대,내수동,"1,000",종로구,5,100,30,34.9,74,11110,4
