건축년도,계약면적,년,법정동,보증금액,월,월세금액,일,지역코드
1996,67.45,2011,회현동1가,"8,000",1,0,12,11140
1974,49.65,2011,회현동1가,"2,000",1,80,19,11140
1996,67.45,2011,회현동1가,"8,000",1,0,28,11140
1999,49.08,2011,회현동2가,"1,000",1,60,6,11140
,46.5,2011,회현동2가,"2,000",1,30,14,11140
,19.17,2011,회현동2가,"4,000",1,20,20,11140
,19,2011,남산동1가,"2,000",1,0,21,11140
1966,67,2011,남산동1가,"8,000",1,0,22,11140
1959,135.5,2011,남산동2가,"20,000",1,0,30,11140
2003,123.9,2011,묵정동,"7,000",1,0,11,11140
1956,46.28,2011,묵정동,"3,000",1,35,17,11140
1956,26,2011,묵정동,"4,000",1,20,20,11140
1956,10,2011,묵정동,"3,000",1,40,27,11140
1956,15,2011,묵정동,"2,500",1,40,29,11140
,16.5,2011,필동2가,100,1,40,17,11140
1994,53.1,2011,필동2가,"9,000",1,0,18,11140
1994,74.46,2011,필동2가,"1,000",1,35,19,11140
1994,13.2,2011,필동2가,"4,000",1,25,22,11140
1956,161.35,2011,필동3가,"1,000",1,30,12,11140
1991,83.25,2011,예장동,"3,000",1,50,3,11140
1981,25,2011,장충동1가,500,1,40,3,11140
2003,45,2011,장충동1가,"10,000",1,0,7,11140
2003,33.5,2011,장충동1가,"5,000",1,40,13,11140
2001,30,2011,장충동1가,"3,000",1,40,21,11140
1993,33.6,2011,장충동1가,"4,000",1,30,26,11140
1970,39.6,2011,장충동2가,"6,500",1,0,15,11140
1993,79.95,2011,장충동2가,"15,000",1,0,18,11140
1967,32,2011,장충동2가,"3,000",1,0,23,11140
1992,23.14,2011,광희동2가,"4,000",1,0,17,11140
1937,67.4,2011,쌍림동,"1,000",1,63,13,11140
1969,59.4,2011,신당동,"3,000",1,40,3,11140
2001,40,2011,신당동,"11,000",1,0,3,11140
1991,45.81,2011,신당동,"10,000",1,0,4,11140
2000,33.15,2011,신당동,"10,000",1,0,4,11140
,23.1,2011,신당동,700,1,0,4,11140
1996,119.49,2011,신당동,"3,500",1,0,5,11140
,27.5,2011,신당동,"9,500",1,0,5,11140
1991,42.9,2011,신당동,"8,000",1,0,5,11140
,59.5,2011,신당동,"8,000",1,0,6,11140
1967,26.44,2011,신당동,"5,000",1,0,6,11140
1992,102.3,2011,신당동,"10,000",1,0,6,11140
1952,28.63,2011,신당동,500,1,40,6,11140
,14.88,2011,신당동,"7,000",1,0,7,11140
1946,34.76,2011,신당동,"9,500",1,0,8,11140
1994,35.94,2011,신당동,"7,000",1,0,8,11140
