건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
1971,2011,인현동2가,"1,000",(190-1),1,40,12,59.5,190-1,11140,4
1971,2011,인현동2가,"9,000",(190-1),1,0,17,99.17,190-1,11140,
1987,2011,장충동1가,"10,000",(38-29),1,0,22,41,38-29,11140,
2001,2011,장충동2가,"3,000",목멱빌,1,40,2,26.6,193-165,11140,
2000,2011,장충동2가,"3,000",동희빌라,1,35,3,45.81,193-141,11140,5
2001,2011,장충동2가,"2,000",리므쥬원룸,1,40,3,19.8,193-243,11140,1
1999,2011,장충동2가,"3,000",영일빌라,1,20,3,21.35,193-246,11140,3
2000,2011,장충동2가,"1,000",금성빌라,1,40,4,49.1,193-161,11140,2
2001,2011,장충동2가,"1,000",영웅힐,1,50,5,47.08,193-481,11140,1
2000,2011,장충동2가,"1,000",(193-168),1,45,5,15.84,193-168,11140,2
1999,2011,장충동2가,"2,000",(193-151),1,35,6,19.02,193-151,11140,2
1998,2011,장충동2가,"4,000",장수빌라b,1,10,6,32,193-469,11140,2
2000,2011,장충동2가,"7,000",부성빌라,1,20,8,41.41,193-138,11140,3
2001,2011,장충동2가,"3,000",다운타운,1,25,9,57.5,193-208,11140,4
2001,2011,장충동2가,"2,000",정민빌라,1,27,9,17.5,193-134,11140,2
2003,2011,장충동2가,"8,000",(193-49),1,0,12,60.08,193-49,11140,3
2000,2011,장충동2가,"1,000",금성빌라,1,40,13,28,193-161,11140,4
2002,2011,장충동2가,"2,000",(193-20),1,40,13,19.5,193-20,11140,4
2000,2011,장충동2가,"3,500",경훈빌라,1,20,13,17.28,193-144,11140,3
2000,2011,장충동2가,"1,000",금성빌라,1,40,14,49.1,193-161,11140,2
1998,2011,장충동2가,"5,500",우원빌라,1,0,15,30.57,193-120,11140,5
1999,2011,장충동2가,"4,500",(193-266),1,0,16,13.8,193-266,11140,1
2000,2011,장충동2가,"5,000",(193-173),1,0,18,26,193-173,11140,3
1997,2011,장충동2가,"2,000",(193-74),1,35,18,54.68,193-74,11140,2
2000,2011,장충동2가,"5,000",써니빌,1,0,19,19.1,193-467,11140,3
2001,2011,장충동2가,"5,000",목멱빌,1,0,19,20.5,193-165,11140,1
2001,2011,장충동2가,"2,000",다운타운,1,30,20,57.5,193-208,11140,4
2000,2011,장충동2가,"4,000",써니빌,1,0,21,19.1,193-467,11140,
2003,2011,장충동2가,"5,500",주일란빌,1,0,23,13.29,193-121,11140,2
2000,2011,장충동2가,"4,500",동희빌라,1,12,25,18.66,193-141,11140,3
1999,2011,장충동2가,"5,500",(193-176),1,0,25,21.68,193-176,11140,1
2000,2011,장충동2가,"5,000",써니빌,1,0,26,18.39,193-467,11140,2
2000,2011,장충동2가,"4,000",써니빌,1,0,26,18.39,193-467,11140,1
2000,2011,장충동2가,"1,000",(193-168),1,45,27,15.84,193-168,11140,3
2001,2011,장충동2가,500,동진빌,1,40,27,16.82,193-126,11140,-1
2000,2011,장충동2가,"1,000",동원빌라,1,40,27,23.1,193-130,11140,3
2003,2011,장충동2가,"2,500",(193-49),1,45,27,31,193-49,11140,2
2000,2011,장충동2가,"5,000",써니빌,1,0,27,15.64,193-467,11140,1
2000,2011,장충동2가,"3,000",동원빌라,1,0,28,18.62,193-130,11140,1
2002,2011,장충동2가,"3,000",(193-20),1,40,28,19.5,193-20,11140,4
2002,2011,장충동2가,"2,000",(193-20),1,50,28,104.21,193-20,11140,4
