건축년도,계약면적,년,법정동,보증금액,월,월세금액,일,지역코드
1989,97.28,2011,후암동,"7,000",1,0,5,11170
,44,2011,후암동,700,1,32,5,11170
1987,93.9,2011,후암동,"2,000",1,30,5,11170
1993,39,2011,후암동,500,1,35,7,11170
1968,60,2011,후암동,"13,000",1,0,7,11170
1994,42,2011,후암동,"7,000",1,0,8,11170
2007,66,2011,후암동,"8,500",1,0,8,11170
1985,21.48,2011,후암동,"2,500",1,0,10,11170
1955,70.8,2011,후암동,500,1,40,13,11170
2004,63.91,2011,후암동,"10,000",1,0,13,11170
2006,41.09,2011,후암동,"5,500",1,0,13,11170
1986,68.49,2011,후암동,"2,000",1,20,14,11170
1990,34.5,2011,후암동,"2,700",1,0,15,11170
1992,78.9,2011,후암동,"15,500",1,0,15,11170
1971,10,2011,후암동,200,1,20,15,11170
1966,59.5,2011,후암동,500,1,55,17,11170
1989,39.3,2011,후암동,"3,500",1,20,18,11170
2017,50.25,2011,후암동,"8,500",1,0,18,11170
1990,36.58,2011,후암동,"7,500",1,0,20,11170
,13,2011,후암동,500,1,40,21,11170
1961,90.26,2011,후암동,"8,500",1,0,24,11170
1990,38,2011,후암동,"4,500",1,0,24,11170
1997,41.26,2011,후암동,"7,000",1,0,25,11170
1993,63.29,2011,후암동,"4,000",1,20,26,11170
1996,109.34,2011,후암동,500,1,40,26,11170
1974,54.02,2011,후암동,"4,000",1,50,31,11170
1934,87.6,2011,후암동,"6,500",1,0,31,11170
1988,32.1,2011,용산동2가,"3,500",1,0,4,11170
1984,48.2,2011,용산동2가,500,1,35,4,11170
1991,83.62,2011,용산동2가,"5,000",1,0,6,11170
1990,39.6,2011,용산동2가,"1,000",1,30,6,11170
1988,81.85,2011,용산동2가,500,1,50,13,11170
1967,16.7,2011,용산동2가,"2,000",1,5,19,11170
1996,32.18,2011,용산동2가,"1,000",1,25,19,11170
1987,46.63,2011,용산동2가,"8,000",1,0,21,11170
1988,58.66,2011,용산동2가,"7,500",1,0,25,11170
1970,25,2011,갈월동,"1,000",1,40,11,11170
1999,41.92,2011,갈월동,"5,700",1,25,18,11170
,109.8,2011,남영동,"3,000",1,0,4,11170
1993,30,2011,서계동,"7,000",1,0,4,11170
1993,20,2011,서계동,"3,000",1,0,5,11170
2006,35.78,2011,서계동,"1,000",1,40,8,11170
1995,30.06,2011,서계동,"2,000",1,20,10,11170
2004,101.9,2011,서계동,"15,000",1,0,21,11170
1941,33.06,2011,서계동,"1,000",1,30,21,11170
1941,30,2011,서계동,"1,000",1,30,21,11170
1971,61.65,2011,서계동,"11,000",1,0,25,11170
1992,63.36,2011,서계동,"8,500",1,0,29,11170
1995,53.06,2011,서계동,"9,000",1,0,31,11170
1959,37.19,2011,청파동1가,100,1,10,5,11170
,176.24,2011,청파동1가,"4,000",1,0,8,11170
1994,36.41,2011,청파동1가,"4,500",1,0,10,11170
1997,19.62,2011,청파동1가,"3,000",1,0,11,11170
1995,25,2011,청파동1가,"6,000",1,0,11,11170
1968,53.85,2011,청파동1가,"8,000",1,0,11,11170
1995,26.4,2011,청파동1가,500,1,35,15,11170
1991,52,2011,청파동1가,"9,000",1,0,15,11170
1984,68.9,2011,청파동1가,"6,000",1,40,17,11170
,133.84,2011,청파동1가,"20,000",1,0,17,11170
1986,59.25,2011,청파동1가,"8,800",1,10,21,11170
,50,2011,청파동1가,"5,500",1,0,27,11170
1988,59,2011,청파동1가,"2,000",1,0,27,11170
1991,102.84,2011,청파동2가,"10,000",1,0,3,11170
1954,54.71,2011,청파동2가,"5,000",1,40,5,11170
1971,13,2011,청파동2가,500,1,0,8,11170
1985,29.7,2011,청파동2가,"1,000",1,41,11,11170
1990,70.77,2011,청파동2가,"8,500",1,0,16,11170
1996,24,2011,청파동2가,"2,000",1,0,21,11170
1994,16.5,2011,청파동2가,"6,000",1,0,31,11170
1996,17,2011,청파동3가,"5,000",1,0,4,11170
1995,62.7,2011,청파동3가,"5,000",1,20,7,11170
1990,37.78,2011,청파동3가,"5,000",1,20,8,11170
1931,46.28,2011,청파동3가,"1,500",1,0,9,11170
1992,15,2011,청파동3가,"2,000",1,40,13,11170
1987,16.5,2011,청파동3가,"1,000",1,25,17,11170
1996,34,2011,청파동3가,"3,000",1,0,19,11170
1993,31.29,2011,청파동3가,500,1,45,24,11170
1992,30.95,2011,청파동3가,"8,500",1,0,25,11170
2002,30,2011,청파동3가,"1,000",1,50,28,11170
1993,23,2011,청파동3가,"1,000",1,50,31,11170
1998,98.34,2011,원효로1가,"18,500",1,0,9,11170
,82.65,2011,원효로1가,"3,000",1,0,10,11170
,112.77,2011,원효로1가,"19,000",1,0,10,11170
1960,82.65,2011,원효로1가,"3,000",1,0,10,11170
1993,66.02,2011,원효로1가,"7,000",1,0,13,11170
1988,40,2011,원효로1가,"6,500",1,0,24,11170
1993,36.15,2011,원효로1가,"6,000",1,0,25,11170
2001,33.15,2011,원효로1가,"7,500",1,0,26,11170
2001,33.15,2011,원효로1가,"7,500",1,0,26,11170
1985,136.35,2011,신창동,"9,500",1,0,7,11170
1995,32.98,2011,신창동,"8,000",1,0,21,11170
1992,31.5,2011,신창동,"1,000",1,40,25,11170
1996,76,2011,산천동,"3,000",1,25,12,11170
1996,59.19,2011,원효로3가,"2,000",1,55,6,11170
1970,39.24,2011,원효로3가,"5,000",1,0,8,11170
1939,71.58,2011,원효로3가,"8,500",1,0,17,11170
1939,71.58,2011,원효로3가,"11,000",1,0,17,11170
1994,56.55,2011,원효로3가,"8,000",1,0,26,11170
1992,41.8,2011,원효로4가,"8,000",1,0,22,11170
1996,53.01,2011,원효로4가,"7,000",1,0,25,11170
1994,49.5,2011,효창동,"1,000",1,50,3,11170
,138.5,2011,효창동,"3,000",1,40,3,11170
1964,40,2011,효창동,"3,000",1,0,5,11170
,135.66,2011,효창동,"18,000",1,0,6,11170
,133.03,2011,효창동,500,1,35,7,11170
,53.7,2011,효창동,"1,000",1,45,9,11170
1991,41,2011,효창동,"2,000",1,40,10,11170
