건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
2002,2011,후암동,"14,000",우리파크,1,20,4,96.39,335-10,11170,2
2002,2011,후암동,"15,000",드림빌라,1,0,4,64.79,244-97,11170,3
2002,2011,후암동,"15,000",드림빌라,1,0,4,65.57,244-97,11170,2
2007,2011,후암동,"8,000",백년파크빌,1,0,7,35.33,49-23,11170,3
2008,2011,후암동,"8,000",(38-2),1,0,7,94.59,38-2,11170,1
1997,2011,후암동,"10,000",현대그린빌라,1,0,7,71.76,252-4,11170,
1997,2011,후암동,"20,000",코오롱빌라,1,0,7,93.36,55-26,11170,3
2007,2011,후암동,"8,000",美플러스빌,1,0,7,29.61,55-13,11170,5
2007,2011,후암동,"6,500",예인아트빌 가동(444-13),1,35,8,29.67,444-13,11170,4
2007,2011,후암동,"12,000",예인아트빌 나동(444-16),1,0,8,35.51,444-16,11170,2
1995,2011,후암동,"7,000",(46-1),1,0,8,45.42,46-1,11170,3
2005,2011,후암동,"13,500",(3-3),1,0,10,68.6,3-3,11170,4
1986,2011,후암동,"1,000",타워빌라3차,1,35,10,44.79,297-2,11170,1
2004,2011,후암동,"14,000",(156-7),1,0,10,48.94,156-7,11170,4
2007,2011,후암동,"2,000",(1-27),1,70,11,36.96,1-27,11170,5
2000,2011,후암동,"12,500",우성빌라,1,0,11,71.49,143-8,11170,2
2008,2011,후암동,"6,000",(60-57),1,40,12,56.04,60-57,11170,5
2005,2011,후암동,"14,000",(3-3),1,0,13,68.6,3-3,11170,1
2004,2011,후암동,"28,000",후암타워빌,1,0,13,133.17,30-73,11170,3
2001,2011,후암동,"9,000",(400-37),1,0,14,45.03,400-37,11170,2
2006,2011,후암동,"15,500",세종파크빌리지(143-1),1,0,14,81.08,143-1,11170,2
2000,2011,후암동,"17,000",대림하이츠타운,1,0,17,73.89,336-11,11170,2
2009,2011,후암동,"11,000",(48-15),1,60,17,82.32,48-15,11170,1
2008,2011,후암동,"1,500",(345-5),1,0,18,60.48,345-5,11170,4
1989,2011,후암동,"10,000",삼원주택,1,0,18,48.66,358-31,11170,1
2003,2011,후암동,"8,000",후암동다우닝빌라1,1,40,20,64.44,352-1,11170,2
1996,2011,후암동,"7,000",재전빌라,1,0,21,41.68,358-21,11170,3
1985,2011,후암동,"13,500",금성하이츠빌라(B),1,0,24,81.855,402-40,11170,2
1994,2011,후암동,"5,000",남산빌라(438-20),1,60,25,142.62,438-20,11170,4
2007,2011,후암동,"12,000",예인아트빌(라동),1,0,25,49.65,30-180,11170,2
2003,2011,후암동,"10,000",후암동다우닝빌라1,1,0,26,72.43,352-1,11170,
2007,2011,후암동,"12,000",로얄파크빌A,1,25,27,56.26,438-17,11170,3
1995,2011,후암동,"3,000",해당빌라,1,170,28,84.84,244-82,11170,1
2007,2011,후암동,"8,500",예인아트빌 나동(444-16),1,0,31,35.51,444-16,11170,3
1998,2011,후암동,"14,000",한진빌라,1,0,31,73.12,336-1,11170,1
2009,2011,용산동2가,"10,000",한솔팰리스,1,0,6,48.59,1-344,11170,3
2010,2011,용산동2가,"10,000",(22-5),1,0,6,69.58,22-5,11170,1
2001,2011,용산동2가,"10,000",(5-1437),1,0,10,69.73,5-1437,11170,1
2010,2011,용산동2가,"10,000",(22-5),1,0,14,60.51,22-5,11170,1
2008,2011,용산동2가,"12,000",(45-10),1,0,15,61.77,45-10,11170,3
