건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2004,2011,갈월동 에이트리움,갈월동,"10,000",용산구,1,0,26,40.93,101-49,11170,21
2004,2011,서울역풍림아이원플러스,서계동,"12,000",용산구,1,0,10,28.11,219-17,11170,10
2007,2011,용산씨제이나인파크,문배동,"22,000",용산구,1,0,17,54.96,24-6,11170,6
2005,2011,용산파크자이,한강로1가,"17,000",용산구,1,0,26,39.03,50-1,11170,10
2004,2011,한강로 대우아이빌,한강로2가,"2,500",용산구,1,70,20,39.76,2-11,11170,2
2004,2011,한남동 하이페리온Ⅱ,한남동,"50,000",용산구,1,0,27,139.38,550,11170,2
1990,2011,(339-4),후암동,"5,000",용산구,2,0,7,34.38,339-4,11170,6
1990,2011,(339-4),후암동,"6,700",용산구,2,0,28,34.38,339-4,11170,6
2004,2011,갈월동 에이트리움,갈월동,"9,000",용산구,2,30,17,34.11,101-49,11170,9
2004,2011,서울역풍림아이원플러스,서계동,"10,000",용산구,2,0,21,28.11,219-17,11170,7
2004,2011,디아뜨 센트럴,원효로1가,"10,000",용산구,2,0,10,25.19,112-4,11170,3
2007,2011,용산아크로타워,문배동,"3,000",용산구,2,130,24,51.45,24-21,11170,3
2005,2011,한강로벽산메가트리움,한강로2가,"13,000",용산구,2,0,10,29.89,2-8,11170,18
2004,2011,대우디오빌한강로오피스텔,한강로2가,"2,000",용산구,2,65,18,32.85,312-4,11170,16
2004,2011,한강대우트럼프월드3,한강로3가,"15,000",용산구,2,0,12,25.52,65-230,11170,29
1990,2011,(339-4),후암동,"6,000",용산구,3,0,4,34.38,339-4,11170,5
1990,2011,(339-4),후암동,"3,000",용산구,3,35,22,34.38,339-4,11170,6
1990,2011,(339-4),후암동,"2,500",용산구,3,30,31,34.38,339-4,11170,2
2004,2011,갈월동 에이트리움,갈월동,"9,000",용산구,3,0,9,30.97,101-49,11170,20
2005,2011,용산파크자이,한강로1가,"17,500",용산구,3,0,19,33.6,50-1,11170,33
2005,2011,용산파크자이,한강로1가,"19,000",용산구,3,0,23,37.26,50-1,11170,10
2004,2011,한강대우트럼프월드3,한강로3가,"17,000",용산구,3,0,3,39.7,65-230,11170,23
1990,2011,(339-4),후암동,"1,000",용산구,4,55,15,39.03,339-4,11170,5
1990,2011,(339-4),후암동,"3,000",용산구,4,30,25,34.38,339-4,11170,6
2004,2011,갈월동 에이트리움,갈월동,"8,000",용산구,4,0,5,31.1,101-49,11170,21
2004,2011,서울역풍림아이원플러스,서계동,"12,000",용산구,4,0,5,27.95,219-17,11170,4
1990,2011,(1),원효로2가,"5,000",용산구,4,0,1,21.45,1,11170,5
2007,2011,이안용산프리미어,문배동,"15,000",용산구,4,0,1,72.46,3-3,11170,6
2005,2011,용산파크자이,한강로1가,"19,500",용산구,4,0,5,39.03,50-1,11170,32
2005,2011,한강현대하이엘,한강로2가,"14,000",용산구,4,0,19,39.37,2-36,11170,5
1990,2011,(339-4),후암동,700,용산구,5,60,23,34.38,339-4,11170,3
1990,2011,(339-4),후암동,"4,500",용산구,5,0,31,34.38,339-4,11170,3
2004,2011,지오베르크,문배동,"4,000",용산구,5,60,21,31.35,17-1,11170,2
2007,2011,용산씨제이나인파크,문배동,"20,000",용산구,5,0,23,54.96,24-6,11170,9
2005,2011,한강로벽산메가트리움,한강로2가,"3,000",용산구,5,70,2,32.74,2-8,11170,18
2005,2011,한강로벽산메가트리움,한강로2가,"11,000",용산구,5,20,28,29.54,2-8,11170,5
2005,2011,한강현대하이엘,한강로2가,"14,000",용산구,5,0,30,41.82,2-36,11170,3
2007,2011,용산 시티파크(63-387),한강로3가,"3,000",용산구,5,140,28,54,63-387,11170,3
2004,2011,언고오피스텔,한남동,"1,000",용산구,5,60,11,20.85,72-17,11170,4
1990,2011,(339-4),후암동,"6,000",용산구,6,0,26,34.38,339-4,11170,5
2004,2011,갈월동 에이트리움,갈월동,"10,000",용산구,6,0,3,31.47,101-49,11170,20
2004,2011,서울역풍림아이원플러스,서계동,"12,000",용산구,6,0,4,27.95,219-17,11170,4
2005,2011,용산파크자이,한강로1가,"18,000",용산구,6,0,18,39.03,50-1,11170,12
2005,2011,한강로벽산메가트리움,한강로2가,"13,000",용산구,6,0,9,29.54,2-8,11170,8
2005,2011,한강로벽산메가트리움,한강로2가,"16,000",용산구,6,0,16,33.02,2-8,11170,3
2004,2011,대우디오빌한강로오피스텔,한강로2가,"2,000",용산구,6,65,27,32.85,312-4,11170,16
1990,2011,(339-4),후암동,"6,500",용산구,7,0,20,34.38,339-4,11170,6
