건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2003,2011,노블리안,상왕십리동,"8,500",성동구,1,0,11,30.81,750,11200,11
2003,2011,노블리안,상왕십리동,"8,000",성동구,1,0,12,30.81,750,11200,7
2003,2011,노블리안,상왕십리동,"8,000",성동구,1,0,15,30.81,750,11200,8
2003,2011,노블리안,상왕십리동,"8,000",성동구,1,0,22,30.81,750,11200,4
2003,2011,노블리안,상왕십리동,"8,000",성동구,1,0,25,30.81,750,11200,8
2005,2011,동인 레반트 오피스텔,하왕십리동,"1,000",성동구,1,65,7,27.54,903-3,11200,10
2005,2011,동인 레반트 오피스텔,하왕십리동,"1,500",성동구,1,60,17,27.54,903-3,11200,10
2005,2011,동인 레반트 오피스텔,하왕십리동,"5,000",성동구,1,28,25,27.54,903-3,11200,7
2009,2011,다남매타워,도선동,"10,000",성동구,1,0,4,37.52,22-1,11200,9
1998,2011,신한넥스텔,도선동,"1,000",성동구,1,65,10,44.86,14,11200,6
2007,2011,마장동청계아르테미스,마장동,"14,000",성동구,1,0,14,54.72,778-5,11200,6
1988,2011,(797-16),마장동,"6,000",성동구,1,0,22,24.6,797-16,11200,5
2006,2011,왕십리역이스타빌,행당동,"5,000",성동구,1,50,6,29.43,287-15,11200,13
2006,2011,왕십리역이스타빌,행당동,"5,000",성동구,1,55,6,29.43,287-15,11200,13
2002,2011,금호힐오피스텔,금호동1가,"4,000",성동구,1,30,17,29.97,1755,11200,5
2004,2011,성원상떼뷰,옥수동,"3,500",성동구,1,45,14,27.01,475,11200,2
2004,2011,성원상떼뷰,옥수동,"8,000",성동구,1,0,21,27.01,475,11200,10
2004,2011,성원상떼뷰,옥수동,"8,500",성동구,1,0,29,25.6,475,11200,12
2004,2011,이에스에이리버하우스,성수동1가,"13,000",성동구,1,0,4,39.15,13-12,11200,8
2004,2011,이에스에이리버하우스,성수동1가,"13,000",성동구,1,0,4,39.15,13-12,11200,3
2005,2011,뚝섬리버빌,성수동1가,"8,500",성동구,1,0,6,26.26,13-117,11200,8
2003,2011,성수동 뉴타운오피스텔,성수동1가,"5,000",성동구,1,35,6,31.6,72-69,11200,6
2005,2011,뚝섬리버빌,성수동1가,500,성동구,1,65,7,26.73,13-117,11200,10
2004,2011,이에스에이리버하우스,성수동1가,"13,000",성동구,1,0,7,39.15,13-12,11200,12
2004,2011,성수 그린빌,성수동1가,"10,000",성동구,1,0,7,34.59,685-54,11200,4
2003,2011,성수동 뉴타운오피스텔,성수동1가,"9,500",성동구,1,0,8,32.39,72-69,11200,3
2004,2011,이에스에이리버하우스,성수동1가,"14,000",성동구,1,0,8,39.15,13-12,11200,7
2003,2011,성수동 뉴타운오피스텔,성수동1가,"4,000",성동구,1,40,8,30.81,72-69,11200,4
2002,2011,백산오피스텔,성수동1가,"7,000",성동구,1,0,8,23.65,671-23,11200,7
2004,2011,이에스에이리버하우스,성수동1가,"3,000",성동구,1,120,8,63.74,13-12,11200,7
2003,2011,(670-147),성수동1가,"1,000",성동구,1,50,10,21.36,670-147,11200,2
2003,2011,성수동 뉴타운오피스텔,성수동1가,"9,500",성동구,1,0,12,30.02,72-69,11200,9
2005,2011,뚝섬리버빌,성수동1가,"9,000",성동구,1,0,12,30.54,13-117,11200,9
2005,2011,뚝섬리버빌,성수동1가,"5,000",성동구,1,30,13,29,13-117,11200,3
1997,2011,청재오피스텔,성수동1가,"2,000",성동구,1,35,14,34.16,72-71,11200,6
2003,2011,성수동 뉴타운오피스텔,성수동1가,"9,500",성동구,1,0,15,29.23,72-69,11200,4
2002,2011,백산오피스텔,성수동1가,"7,000",성동구,1,0,17,23.65,671-23,11200,3
2004,2011,이에스에이리버하우스,성수동1가,"2,000",성동구,1,135,17,63.74,13-12,11200,10
2004,2011,Biz-Well 성수,성수동1가,"10,000",성동구,1,0,19,39.75,33-21,11200,10
2004,2011,이에스에이리버하우스,성수동1가,"8,000",성동구,1,45,19,39.15,13-12,11200,5
2004,2011,이에스에이리버하우스,성수동1가,"8,000",성동구,1,30,22,39.15,13-12,11200,6
2005,2011,뚝섬리버빌,성수동1가,"2,000",성동구,1,45,24,23.17,13-117,11200,3
2005,2011,뚝섬리버빌,성수동1가,"10,000",성동구,1,0,24,29,13-117,11200,4
2004,2011,성수 그린빌,성수동1가,"11,000",성동구,1,0,25,34.59,685-54,11200,4
