건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2004,2011,동광동대문베르빌,신설동,"1,000",동대문구,1,60,3,28.31,97-8,11230,5
2004,2011,동광동대문베르빌,신설동,"1,000",동대문구,1,65,4,28.31,97-8,11230,4
2003,2011,동은컴페니언오피스텔,신설동,"1,000",동대문구,1,47,6,22.44,89-53,11230,11
2006,2011,신설동주상복합,신설동,"2,000",동대문구,1,35,25,23.83,98-49,11230,2
2002,2011,삼영 오피스텔,용두동,"5,500",동대문구,1,0,5,19.78,740-10,11230,4
2004,2011,가동,용두동,"1,000",동대문구,1,50,6,23.5,191-5,11230,4
2004,2011,신설동역대우아이빌(236-4),용두동,"1,000",동대문구,1,55,7,27.63,236-4,11230,4
2004,2011,랜드마크타워1,용두동,"3,000",동대문구,1,40,19,28.9,100-1,11230,8
1998,2011,두산베어스타워,용두동,"8,000",동대문구,1,0,19,34.56,138-41,11230,4
2004,2011,신설동역대우아이빌(236-4),용두동,500,동대문구,1,65,20,27.63,236-4,11230,13
2004,2011,랜드마크타워1,용두동,"1,000",동대문구,1,55,22,28.9,100-1,11230,6
2004,2011,랜드마크타워1,용두동,"8,000",동대문구,1,0,24,30.47,100-1,11230,8
2002,2011,삼영 오피스텔,용두동,"5,000",동대문구,1,0,24,19.78,740-10,11230,1
2004,2011,신설동역대우아이빌(236-4),용두동,"4,000",동대문구,1,35,25,30.29,236-4,11230,10
2004,2011,랜드마크타워1,용두동,"3,000",동대문구,1,40,25,28.9,100-1,11230,15
2006,2011,한방천하-용두동 포스빌,용두동,"6,000",동대문구,1,35,26,39.02,788,11230,9
2002,2011,삼영 오피스텔,용두동,"5,500",동대문구,1,0,28,19.78,740-10,11230,3
2006,2011,청계벽산메가트리움,답십리동,"3,000",동대문구,1,50,10,31.86,999,11230,17
2006,2011,청계벽산메가트리움,답십리동,"11,000",동대문구,1,0,13,41.87,999,11230,8
2005,2011,메트로팰리스,답십리동,"1,500",동대문구,1,55,22,25.47,498-5,11230,8
2005,2011,메트로팰리스,답십리동,"1,000",동대문구,1,50,24,20.22,498-5,11230,5
2010,2011,테크빌,답십리동,"1,000",동대문구,1,40,24,18.15,488-26,11230,3
2006,2011,청계벽산메가트리움,답십리동,"6,000",동대문구,1,25,29,28.25,999,11230,9
2003,2011,장안동2차 신부파스카빌,장안동,"16,000",동대문구,1,0,4,96.49,417-4,11230,7
2005,2011,르.메이에르 장안타운 3차,장안동,"6,000",동대문구,1,0,8,25.13,337-3,11230,2
2009,2011,우민에뜨와르오피스텔,장안동,"5,500",동대문구,1,30,14,36.62,381-1,11230,5
2009,2011,우민에뜨와르오피스텔,장안동,"8,000",동대문구,1,0,22,32.85,381-1,11230,10
2005,2011,르.메이에르 장안타운 6차,장안동,"9,000",동대문구,1,0,23,62,342-3,11230,7
2005,2011,공감대6차,장안동,"4,000",동대문구,1,45,26,48.41,384-1,11230,5
2004,2011,장안현대벤처빌,장안동,"10,000",동대문구,1,0,29,44.46,374-1,11230,20
2006,2011,동일오피스텔 엠포,회기동,"2,000",동대문구,1,45,7,22.44,60-216,11230,6
2006,2011,동일오피스텔 엠포,회기동,"3,000",동대문구,1,35,7,22.95,60-216,11230,4
2002,2011,휘경동 코업레지던스,휘경동,"1,000",동대문구,1,35,1,13.86,319-5,11230,4
2002,2011,휘경동 코업레지던스,휘경동,"5,000",동대문구,1,0,2,13.86,319-5,11230,5
2002,2011,휘경동 코업레지던스,휘경동,"1,000",동대문구,1,35,10,13.86,319-5,11230,4
2002,2011,휘경동 코업레지던스,휘경동,"5,200",동대문구,1,0,11,13.86,319-5,11230,6
2002,2011,휘경동 코업레지던스,휘경동,"5,200",동대문구,1,0,19,13.86,319-5,11230,4
1999,2011,(330),휘경동,"1,000",동대문구,1,40,22,32.41,330,11230,7
2005,2011,C&J오피스텔,이문동,"7,500",동대문구,1,0,1,31,255-188,11230,12
2005,2011,C&J오피스텔,이문동,"7,500",동대문구,1,0,4,27.15,255-188,11230,8
2005,2011,C&J오피스텔,이문동,"7,500",동대문구,1,0,18,27.15,255-188,11230,7
2005,2011,C&J오피스텔,이문동,"8,000",동대문구,1,0,27,31,255-188,11230,11
2005,2011,C&J오피스텔,이문동,"4,000",동대문구,1,30,27,139.75,255-188,11230,14
2005,2011,C&J오피스텔,이문동,"7,500",동대문구,1,0,28,16.01,255-188,11230,13
2004,2011,드림빌리지 오피스텔,신설동,"4,000",동대문구,2,40,8,29.37,117-14,11230,6
2003,2011,동은컴페니언오피스텔,신설동,"6,000",동대문구,2,0,14,22.44,89-53,11230,10
2006,2011,신설동주상복합,신설동,"6,500",동대문구,2,0,17,29.71,98-49,11230,2
2004,2011,랜드마크타워1,용두동,"4,000",동대문구,2,40,5,28.9,100-1,11230,16
2005,2011,동의보감타워,용두동,"3,000",동대문구,2,55,19,36.02,787,11230,10
2004,2011,랜드마크타워1,용두동,"1,000",동대문구,2,60,19,28.9,100-1,11230,17
2004,2011,랜드마크타워1,용두동,"1,000",동대문구,2,50,20,30.47,100-1,11230,8
2004,2011,가동,용두동,"1,000",동대문구,2,55,21,24.36,191-5,11230,5
2004,2011,랜드마크타워1,용두동,"7,500",동대문구,2,0,25,28.9,100-1,11230,15
2005,2011,동의보감타워,용두동,"1,000",동대문구,2,125,25,60.25,787,11230,15
2004,2011,재경포항학사,제기동,"1,000",동대문구,2,45,26,16.82,1153-16,11230,3
2005,2011,메트로팰리스,답십리동,"3,500",동대문구,2,40,6,25.47,498-5,11230,15
2005,2011,메트로팰리스,답십리동,"6,500",동대문구,2,0,19,20.22,498-5,11230,13
2003,2011,목련빌딩,답십리동,"7,500",동대문구,2,0,22,36.52,94-9,11230,5
2005,2011,메트로팰리스,답십리동,"14,000",동대문구,2,0,26,44.18,498-5,11230,7
2005,2011,메트로팰리스,답십리동,500,동대문구,2,50,28,20.22,498-5,11230,14
2002,2011,장안 삼성쉐르빌,장안동,"1,000",동대문구,2,75,1,49.1,371-1,11230,4
2002,2011,장안 삼성쉐르빌,장안동,500,동대문구,2,55,14,26.82,371-1,11230,4
2002,2011,(306-3),장안동,"6,500",동대문구,2,0,15,26.05,306-3,11230,7
2005,2011,르.메이에르 장안타운 6차,장안동,"4,000",동대문구,2,40,15,59.61,342-3,11230,2
