건축년도,계약면적,년,법정동,보증금액,월,월세금액,일,지역코드
1994,21.12,2011,면목동,300,1,20,1,11260
1990,58.03,2011,면목동,"5,000",1,10,1,11260
1993,71.3,2011,면목동,"1,000",1,30,1,11260
1993,71.3,2011,면목동,"1,000",1,30,1,11260
1989,28.69,2011,면목동,"1,000",1,35,1,11260
1990,54,2011,면목동,"7,000",1,20,2,11260
1997,118.05,2011,면목동,"14,000",1,0,2,11260
1992,82.65,2011,면목동,"2,000",1,35,3,11260
1994,32.33,2011,면목동,"5,500",1,0,3,11260
1990,83.04,2011,면목동,"2,000",1,0,3,11260
1987,174.8,2011,면목동,"6,500",1,0,3,11260
1993,23,2011,면목동,"1,300",1,25,3,11260
1976,60.66,2011,면목동,"2,500",1,5,3,11260
1988,32.2,2011,면목동,"4,500",1,0,3,11260
1994,26.4,2011,면목동,500,1,20,4,11260
,55.81,2011,면목동,"3,000",1,0,4,11260
1990,70.41,2011,면목동,800,1,20,4,11260
,34.6,2011,면목동,"5,000",1,0,4,11260
1992,47.19,2011,면목동,"3,500",1,0,4,11260
1994,96.59,2011,면목동,"5,500",1,0,4,11260
1994,67.92,2011,면목동,"5,000",1,23,4,11260
1991,78.03,2011,면목동,"4,000",1,0,4,11260
1992,45.27,2011,면목동,"6,000",1,0,4,11260
1978,59.4,2011,면목동,"2,500",1,40,4,11260
1992,51.03,2011,면목동,"1,000",1,30,4,11260
1989,64.2,2011,면목동,"9,000",1,0,4,11260
2011,91.35,2011,면목동,"1,000",1,45,5,11260
1995,25,2011,면목동,"2,500",1,0,5,11260
2010,28,2011,면목동,"7,500",1,0,5,11260
,56.7,2011,면목동,"9,000",1,0,5,11260
1993,81.4,2011,면목동,"6,000",1,0,5,11260
1990,38.68,2011,면목동,"7,500",1,0,5,11260
1992,53.28,2011,면목동,"6,000",1,0,5,11260
1994,69.23,2011,면목동,"7,000",1,0,5,11260
1997,53.84,2011,면목동,"4,500",1,30,5,11260
1990,65.29,2011,면목동,"6,500",1,0,5,11260
1994,109.99,2011,면목동,"7,500",1,0,5,11260
1989,47.04,2011,면목동,500,1,25,5,11260
1992,53.28,2011,면목동,"6,500",1,0,5,11260
2010,43,2011,면목동,"10,000",1,0,5,11260
1969,38.51,2011,면목동,"7,000",1,0,5,11260
1994,77.52,2011,면목동,"1,000",1,40,5,11260
1993,36.5,2011,면목동,"4,000",1,20,6,11260
1991,41.18,2011,면목동,500,1,20,6,11260
1988,59.5,2011,면목동,"5,000",1,0,6,11260
,43.92,2011,면목동,"3,500",1,0,6,11260
1993,67.32,2011,면목동,"5,500",1,0,6,11260
2015,46,2011,면목동,"8,500",1,0,6,11260
1991,41.18,2011,면목동,"1,000",1,10,6,11260
1993,43,2011,면목동,"4,000",1,30,6,11260
1994,24,2011,면목동,"2,500",1,0,6,11260
1993,47.43,2011,면목동,"8,000",1,0,7,11260
2007,65.82,2011,면목동,"13,000",1,0,7,11260
,39.4,2011,면목동,"4,500",1,0,7,11260
,49.77,2011,면목동,"1,500",1,0,7,11260
1975,15.6,2011,면목동,"3,000",1,0,7,11260
1984,58.95,2011,면목동,"9,500",1,0,7,11260
1994,36,2011,면목동,500,1,27,7,11260
1993,50.05,2011,면목동,"8,000",1,0,8,11260
1994,39,2011,면목동,500,1,30,8,11260
1984,66.1,2011,면목동,"12,000",1,0,8,11260
1993,71.22,2011,면목동,"1,000",1,20,8,11260
1991,51.68,2011,면목동,"3,500",1,0,9,11260
1994,55.1,2011,면목동,"3,500",1,0,9,11260
,84.45,2011,면목동,300,1,25,9,11260
1987,77.08,2011,면목동,"6,000",1,0,10,11260
1991,53.58,2011,면목동,"2,000",1,35,10,11260
1991,53.58,2011,면목동,"9,000",1,0,10,11260
1994,39.84,2011,면목동,"6,500",1,0,10,11260
1994,70.05,2011,면목동,"5,000",1,0,10,11260
1990,85.36,2011,면목동,"1,000",1,20,10,11260
1990,76.77,2011,면목동,300,1,32,10,11260
