건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
2008,2011,면목동,"8,500",삼성파크빌,1,0,3,25.84,69-7,11260,5
2009,2011,면목동,"12,000",세진아트빌,1,0,3,67.99,30-55,11260,4
2010,2011,면목동,"6,000",한일그랑빌(160-31),1,0,3,40.8,160-31,11260,3
1991,2011,면목동,"12,700",화성맨션,1,0,4,68.16,461-2,11260,2
2006,2011,면목동,"14,000",세경빌라,1,0,5,48.51,577-1,11260,2
1990,2011,면목동,"12,000",기성골든빌라,1,0,6,92.45,366-2,11260,3
2003,2011,면목동,"8,000",예림새터,1,0,6,40.43,30-6,11260,2
2002,2011,면목동,"8,000",신현빌라,1,0,6,38.77,163-54,11260,3
2005,2011,면목동,"11,000",(1170-2),1,0,7,47.14,1170-2,11260,5
2008,2011,면목동,"10,000",브리튼빌리지,1,0,7,43.77,505-15,11260,3
2007,2011,면목동,"3,500",현성빌1차,1,30,8,33.54,141-60,11260,4
1993,2011,면목동,"7,000",순원하이츠빌라,1,0,8,37.55,1274,11260,
2008,2011,면목동,"13,000",삼일아트빌7차,1,0,9,67.27,178-5,11260,3
2009,2011,면목동,"11,500",오페라하우스(2차),1,0,10,43.92,64-29,11260,2
2009,2011,면목동,"11,500",오페라하우스(2차),1,0,11,44,64-29,11260,3
2009,2011,면목동,"13,000",자스민캐슬,1,0,11,48.16,14-4,11260,5
2008,2011,면목동,"11,000",현성빌10차,1,0,11,57.55,191-8,11260,2
1986,2011,면목동,"6,000",(29-8),1,0,13,36.93,29-8,11260,2
2000,2011,면목동,"13,000",삼보월드빌,1,0,13,73.58,174-44,11260,5
1997,2011,면목동,"11,000",건영빌라트,1,0,13,63.24,172-28,11260,1
2002,2011,면목동,"12,000",효산휴먼빌,1,0,13,64.38,194-33,11260,3
2006,2011,면목동,"13,000",세경빌라,1,0,14,48.7,577-1,11260,5
1992,2011,면목동,"7,400",현대(아트)빌라(A),1,0,14,41.69,137-18,11260,2
2003,2011,면목동,"4,000",(364-49),1,40,14,51.36,364-49,11260,2
2009,2011,면목동,"13,900",중앙하이빌,1,0,17,55.78,614,11260,3
2002,2011,면목동,"14,000",현대아트빌,1,0,18,72.33,65-27,11260,2
2008,2011,면목동,"12,500",성진빌라,1,0,20,47.21,580-22,11260,2
2010,2011,면목동,"7,000",성진쉐르빌(151-39),1,50,20,62.04,151-39,11260,5
2003,2011,면목동,"6,000",(472-13),1,20,21,45,472-13,11260,5
1997,2011,면목동,"15,000",서건빌라(비),1,0,21,85.35,156-36,11260,4
2008,2011,면목동,"15,000",미성빌라,1,0,22,68.81,1296,11260,4
2004,2011,면목동,"2,000",뉴명성빌라,1,80,22,58.93,193-52,11260,2
2008,2011,면목동,"11,000",현성빌10차,1,0,22,60.24,191-8,11260,3
2008,2011,면목동,"6,000",미성빌라,1,60,22,68.81,1296,11260,3
2002,2011,면목동,"8,500",덕산맨션,1,0,22,45.7,145-29,11260,2
2008,2011,면목동,"13,000",토천그린존,1,0,22,52.62,455-28,11260,5
2008,2011,면목동,"10,000",토천그린존,1,0,22,32.85,455-28,11260,4
2009,2011,면목동,"12,500",오페라하우스1,1,0,22,41.32,406-5,11260,5
1992,2011,면목동,"10,000",양지빌라,1,0,24,39.81,1267,11260,2
2008,2011,면목동,"12,500",토천그린존,1,0,25,48.78,455-28,11260,3
1994,2011,면목동,"5,000",한양빌라,1,0,25,44.47,1086-72,11260,3
1997,2011,면목동,"15,000",대농주택,1,0,25,66.24,341-3,11260,3
2010,2011,면목동,"8,000",샤인힐(2-52),1,0,26,29.92,2-52,11260,5
2009,2011,면목동,"17,000",금강타운,1,0,26,61.44,455-13,11260,4
1989,2011,면목동,"5,500","동흥파크빌라A,B",1,0,27,38.16,507-3,11260,2
2002,2011,면목동,"11,000",솔매아트빌,1,0,27,52.51,92-5,11260,2
2002,2011,면목동,"13,000",대경하이츠빌라,1,0,28,54.45,467-39,11260,2
2002,2011,면목동,"12,800",장미맨션,1,0,29,69.84,166-16,11260,
2003,2011,면목동,"10,000",(140-5),1,0,29,54.29,140-5,11260,2
2001,2011,면목동,"14,000",무궁화타운,1,0,31,66.7,88-76,11260,4
2003,2011,상봉동,"3,000",태광아트,1,38,2,37.56,122-14,11260,3
2002,2011,상봉동,"9,000",우림아트빌,1,0,4,57.2,126-49,11260,4
1990,2011,상봉동,"7,500",상봉빌라,1,0,13,46.43,315-50,11260,3
1989,2011,상봉동,"10,000",이화빌라(가동),1,0,15,58.44,103-30,11260,2
2003,2011,상봉동,"11,500",(306-2),1,0,15,50.18,306-2,11260,2
1992,2011,상봉동,"10,000",성원빌라,1,0,16,47.07,111-60,11260,
1996,2011,상봉동,"6,000",동보맨션,1,0,17,48.08,237-10,11260,2
2002,2011,상봉동,"5,000",무궁화타운(4차),1,0,18,64.42,85-30,11260,3
2010,2011,상봉동,"4,000",삼호오피스빌,1,0,19,20.21,127-32,11260,2
1990,2011,상봉동,"6,000",제일빌라 2동,1,0,20,36.16,252,11260,2
1992,2011,상봉동,"12,000",성원빌라,1,0,22,47.07,111-60,11260,2
2001,2011,상봉동,"8,000",모원빌라,1,0,26,37.36,124-83,11260,1
2003,2011,상봉동,"1,000",(136-81),1,55,27,40.29,136-81,11260,2
1981,2011,상봉동,"10,500",금강연립,1,0,27,83,50-1,11260,1
2003,2011,상봉동,"13,000",소망빌라,1,0,31,49.59,113-34,11260,5
1986,2011,중화동,"5,000",미광연립,1,0,5,41.13,158-19,11260,-1
2006,2011,중화동,"4,000",(297-82),1,35,5,94.25,297-82,11260,5
1986,2011,중화동,"14,500",우성타운,1,0,6,75.19,195-2,11260,2
2000,2011,중화동,"4,000",보람맨션,1,25,7,59.25,319-20,11260,
2002,2011,중화동,"9,000",엘로우빌,1,0,8,40.89,110-70,11260,3
1997,2011,중화동,"1,000",진주빌라,1,35,11,30.75,330-14,11260,-1
1995,2011,중화동,"7,000",한성빌라트,1,0,12,61.3,34-3,11260,1
1996,2011,중화동,"4,000",(324-67),1,0,14,38.5,324-67,11260,2
2010,2011,중화동,"17,000",영신주택,1,0,15,96.91,295-9,11260,2
1980,2011,중화동,"2,500",광진,1,35,20,45.88,98-1,11260,1
1980,2011,중화동,"8,000",(144-0),1,0,21,48.69,144,11260,
1980,2011,중화동,"5,500",(144-0),1,10,21,48.69,144,11260,
1992,2011,중화동,"7,000",오성빌라2차,1,0,23,43.89,296-60,11260,1
1996,2011,중화동,"4,000",(324-67),1,0,26,39,324-67,11260,
2002,2011,중화동,"12,000",석정빌라20차(가동),1,0,27,51.42,86-6,11260,5
1975,2011,중화동,"5,000",(299-42),1,0,28,39.2,299-42,11260,1
1986,2011,중화동,"2,000",세광,1,0,29,38.62,296-44,11260,1
1987,2011,묵동,"8,500",현대빌라,1,0,3,50.94,121-1,11260,1
1994,2011,묵동,"1,000",화랑빌라,1,30,3,73.49,122-175,11260,1
1994,2011,묵동,"7,500",동양하이츠빌라,1,0,4,33.75,155-34,11260,3
2005,2011,묵동,"10,000",천국의집,1,0,4,80.67,173-19,11260,1
1976,2011,묵동,"3,000",장안(248-92),1,0,5,32,247-92,11260,2
2002,2011,묵동,"10,500",태경쎈스빌,1,0,8,44.28,179-9,11260,3
2002,2011,묵동,"12,000",삼성쉐르빌(233-59),1,0,12,70.99,233-59,11260,4
2002,2011,묵동,"11,500",선경빌라,1,0,12,53.79,109-19,11260,2
2002,2011,묵동,"9,000",현대시티빌,1,0,16,34.92,122-352,11260,4
1987,2011,묵동,"7,500",현대빌라,1,0,20,56.7,121-1,11260,
2002,2011,묵동,"13,000",신동아빌라나동,1,0,23,53.21,179-4,11260,3
1995,2011,묵동,"7,000",혜성빌라,1,0,24,45.6,157-3,11260,1
1976,2011,묵동,"5,500",장안(248-92),1,0,25,32.66,247-92,11260,2
1996,2011,묵동,"10,000",동양하이츠빌라(6차),1,0,26,53.83,155-2,11260,2
2010,2011,묵동,"25,000",(121-257),1,0,29,103.27,121-257,11260,4
2003,2011,망우동,300,사랑골든빌,1,30,1,20.03,436-50,11260,1
1991,2011,망우동,"7,000",삼성아트빌,1,0,4,39.81,152-2,11260,
2002,2011,망우동,"5,000",현대하이츠,1,45,4,63.46,437-1,11260,5
1987,2011,망우동,"5,000",비룡빌라다동,1,0,5,51.86,152-40,11260,-1
2003,2011,망우동,"2,000",우암아트빌,1,40,9,44.82,426-29,11260,4
2009,2011,망우동,"10,000",선경쉐르빌,1,50,13,82.54,232-10,11260,2
1987,2011,망우동,"5,000",비룡빌라나동,1,0,15,53.34,152-39,11260,
2002,2011,망우동,"5,000",대명빌라트,1,50,17,70.99,520-45,11260,4
1996,2011,망우동,"10,000",우암가든빌라,1,0,17,80.86,468-47,11260,1
2003,2011,망우동,"13,500",연희아트빌,1,0,24,79.56,407-30,11260,3
1982,2011,망우동,"8,000",태양연립,1,0,28,64.17,411-9,11260,2
1991,2011,신내동,"3,500",우송빌리지,1,0,9,50.49,539-1,11260,3
1996,2011,신내동,"10,000",금성빌라,1,0,17,54.06,417-13,11260,4
