건축년도,계약면적,년,법정동,보증금액,월,월세금액,일,지역코드
1992,50.76,2011,미아동,500,1,38,1,11305
1969,20,2011,미아동,500,1,30,1,11305
1969,38.41,2011,미아동,50,1,20,2,11305
1985,12.04,2011,미아동,300,1,17,3,11305
1996,78.3,2011,미아동,"8,000",1,30,3,11305
1995,10.9,2011,미아동,"2,500",1,0,3,11305
1993,48.54,2011,미아동,"8,000",1,0,3,11305
1992,20,2011,미아동,200,1,20,3,11305
1995,47.88,2011,미아동,"2,000",1,40,3,11305
1995,57.2,2011,미아동,"5,200",1,0,4,11305
1971,69.32,2011,미아동,"10,000",1,0,4,11305
1992,47.9,2011,미아동,"1,600",1,0,4,11305
1974,50.65,2011,미아동,"2,000",1,0,4,11305
1992,45.05,2011,미아동,"1,000",1,35,4,11305
1994,30.22,2011,미아동,500,1,40,4,11305
1993,20,2011,미아동,"1,000",1,30,4,11305
1989,40,2011,미아동,"6,000",1,0,5,11305
1994,26.94,2011,미아동,"2,500",1,10,5,11305
1987,20,2011,미아동,"2,000",1,0,5,11305
1994,44.2,2011,미아동,"3,000",1,20,5,11305
1994,64.83,2011,미아동,"3,600",1,25,5,11305
1992,22.41,2011,미아동,500,1,30,6,11305
1991,42.21,2011,미아동,"1,500",1,30,7,11305
1974,20,2011,미아동,100,1,30,7,11305
1988,32.8,2011,미아동,"1,500",1,30,7,11305
1991,42.21,2011,미아동,"2,000",1,30,7,11305
1996,45,2011,미아동,"3,500",1,40,8,11305
1968,36.76,2011,미아동,"3,000",1,0,8,11305
1993,29.3,2011,미아동,700,1,20,8,11305
2010,55.73,2011,미아동,"4,500",1,0,8,11305
2011,15.2,2011,미아동,"5,500",1,0,8,11305
1993,47.76,2011,미아동,"7,000",1,0,8,11305
1971,52.43,2011,미아동,"8,000",1,0,8,11305
1997,40.06,2011,미아동,"3,500",1,25,8,11305
1974,80.3,2011,미아동,"4,000",1,50,8,11305
1993,65.46,2011,미아동,"2,000",1,40,8,11305
1987,52,2011,미아동,"3,500",1,10,9,11305
,37.95,2011,미아동,"2,500",1,0,10,11305
1986,30,2011,미아동,70,1,20,10,11305
2013,71.17,2011,미아동,"5,000",1,0,10,11305
1994,35,2011,미아동,500,1,37,10,11305
1993,25,2011,미아동,500,1,30,10,11305
1993,42.42,2011,미아동,"7,000",1,0,10,11305
,71.59,2011,미아동,500,1,40,10,11305
1993,25,2011,미아동,300,1,20,10,11305
1992,40,2011,미아동,"7,000",1,0,11,11305
1968,20,2011,미아동,500,1,15,11,11305
1995,54.28,2011,미아동,"3,500",1,40,11,11305
1968,35.8,2011,미아동,380,1,25,11,11305
1995,54.17,2011,미아동,"8,000",1,0,11,11305
1992,48.3,2011,미아동,"15,000",1,0,12,11305
,50.85,2011,미아동,"3,500",1,0,12,11305
2006,47.6,2011,미아동,"6,500",1,0,12,11305
1975,27,2011,미아동,"2,600",1,0,12,11305
2007,66.24,2011,미아동,"6,400",1,0,12,11305
1992,52,2011,미아동,"1,000",1,50,12,11305
1991,33.35,2011,미아동,500,1,40,12,11305
1992,39,2011,미아동,"6,500",1,0,13,11305
