건축년도,계약면적,년,법정동,보증금액,월,월세금액,일,지역코드
1992,23.94,2011,쌍문동,"2,000",1,0,3,11320
2010,26.4,2011,쌍문동,"5,000",1,5,3,11320
1993,66.48,2011,쌍문동,"2,000",1,25,4,11320
1987,45.36,2011,쌍문동,"3,800",1,0,4,11320
1977,40,2011,쌍문동,"3,200",1,0,5,11320
2010,33.33,2011,쌍문동,"3,000",1,20,5,11320
,40.3,2011,쌍문동,"3,000",1,25,5,11320
2009,65.06,2011,쌍문동,"4,500",1,0,5,11320
1996,30.63,2011,쌍문동,500,1,22,5,11320
1977,68.1,2011,쌍문동,"12,000",1,0,6,11320
1974,30,2011,쌍문동,200,1,25,8,11320
1969,64.86,2011,쌍문동,"2,500",1,55,8,11320
2010,33.33,2011,쌍문동,500,1,40,9,11320
2010,23.1,2011,쌍문동,"5,700",1,0,9,11320
2001,51,2011,쌍문동,"6,500",1,0,9,11320
1996,69.37,2011,쌍문동,"3,000",1,0,10,11320
,71.11,2011,쌍문동,"1,000",1,40,11,11320
1997,59.4,2011,쌍문동,"3,000",1,0,11,11320
1995,69.04,2011,쌍문동,"5,000",1,0,12,11320
,169.53,2011,쌍문동,"5,000",1,0,12,11320
1985,68.89,2011,쌍문동,"6,000",1,0,13,11320
1974,102.15,2011,쌍문동,"3,000",1,0,13,11320
1994,62,2011,쌍문동,"5,000",1,0,13,11320
1983,63.22,2011,쌍문동,"6,000",1,0,13,11320
1994,42.35,2011,쌍문동,"8,000",1,0,14,11320
1968,29.75,2011,쌍문동,"3,600",1,0,14,11320
1991,165.12,2011,쌍문동,"1,500",1,30,14,11320
,83.14,2011,쌍문동,"5,500",1,0,14,11320
2010,20,2011,쌍문동,"4,700",1,0,14,11320
1997,43.11,2011,쌍문동,"1,000",1,35,15,11320
2010,19.8,2011,쌍문동,"3,500",1,0,15,11320
1995,66.93,2011,쌍문동,"10,000",1,0,15,11320
1992,58.17,2011,쌍문동,300,1,35,15,11320
1993,35.13,2011,쌍문동,"5,000",1,0,17,11320
,39.6,2011,쌍문동,500,1,30,17,11320
1996,23,2011,쌍문동,500,1,40,17,11320
1982,59,2011,쌍문동,"3,000",1,20,17,11320
1993,45.15,2011,쌍문동,"4,200",1,0,18,11320
2010,20,2011,쌍문동,"5,000",1,0,18,11320
1998,37,2011,쌍문동,"2,000",1,0,18,11320
,17,2011,쌍문동,"2,000",1,0,20,11320
,16.5,2011,쌍문동,"1,000",1,20,20,11320
1995,75.24,2011,쌍문동,"3,500",1,0,21,11320
1992,65.76,2011,쌍문동,"1,000",1,35,22,11320
1983,39,2011,쌍문동,"4,000",1,0,22,11320
2008,16,2011,쌍문동,"2,000",1,0,22,11320
1996,65.43,2011,쌍문동,"1,800",1,30,25,11320
1991,41.59,2011,쌍문동,"8,000",1,0,26,11320
1992,189.02,2011,쌍문동,"7,000",1,0,26,11320
1997,56.88,2011,쌍문동,"3,000",1,0,27,11320
1997,28.44,2011,쌍문동,"3,000",1,0,27,11320
1974,17,2011,쌍문동,"3,000",1,0,27,11320
,33,2011,쌍문동,300,1,20,27,11320
1971,52.99,2011,쌍문동,"8,000",1,0,27,11320
1990,108.96,2011,쌍문동,"9,500",1,0,27,11320
,179,2011,쌍문동,"5,000",1,0,28,11320
1992,84.25,2011,쌍문동,"8,300",1,0,28,11320
2010,20,2011,쌍문동,"1,000",1,27,28,11320
1996,24.9,2011,쌍문동,"4,500",1,0,28,11320
1992,43,2011,쌍문동,"5,000",1,0,28,11320
1992,34,2011,쌍문동,"4,000",1,0,28,11320
1990,80.63,2011,쌍문동,500,1,25,29,11320
1976,61.55,2011,쌍문동,"7,000",1,0,29,11320
1993,42.5,2011,쌍문동,500,1,30,29,11320
1993,56.2,2011,쌍문동,"1,500",1,23,30,11320
2011,49.74,2011,쌍문동,"3,500",1,0,31,11320
1975,13.85,2011,쌍문동,200,1,0,31,11320
1999,157.9,2011,방학동,"5,000",1,0,1,11320
1997,20,2011,방학동,500,1,28,2,11320
1995,33.66,2011,방학동,"1,000",1,30,3,11320
1994,191.85,2011,방학동,500,1,30,3,11320
1988,42.9,2011,방학동,"3,500",1,15,3,11320
1982,48.83,2011,방학동,500,1,40,4,11320
1995,66.45,2011,방학동,300,1,25,4,11320
1992,49.5,2011,방학동,"4,500",1,0,4,11320
