건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
1990,2011,쌍문동,"7,000",미래빌라,1,0,3,42.36,74-7,11320,2
1987,2011,쌍문동,"2,500",(639-7),1,35,4,40.32,639-7,11320,
1995,2011,쌍문동,"6,000",토양빌라,1,0,5,36.69,422-40,11320,
1991,2011,쌍문동,"4,500",궁중빌라(2동),1,0,6,38.54,360-44,11320,
2000,2011,쌍문동,500,하우스테디베어4차,1,37,6,33.33,143-22,11320,
1991,2011,쌍문동,"6,000",명성빌라,1,0,7,32.61,139-96,11320,3
2001,2011,쌍문동,"8,000",황지빌라트,1,0,7,50.82,425-8,11320,2
1994,2011,쌍문동,"7,000",신건영빌리지가동,1,11,7,37.56,315-448,11320,2
1987,2011,쌍문동,"1,500",(75-43),1,50,7,60.93,75-43,11320,2
1985,2011,쌍문동,"1,400",(639-4),1,10,8,37.65,639-4,11320,
2003,2011,쌍문동,"8,000",한백빌리지,1,0,10,53.46,103-195,11320,3
2006,2011,쌍문동,"12,000",백운빌(B동),1,0,10,52.79,81-136,11320,4
1995,2011,쌍문동,"6,000",토양빌라,1,0,10,36.65,422-40,11320,4
1996,2011,쌍문동,"1,000",수정빌라,1,50,11,36.34,138-128,11320,4
1992,2011,쌍문동,"6,500",태진빌라,1,0,12,57.95,460-142,11320,2
2000,2011,쌍문동,"12,000",이화빌라,1,0,12,59.56,137-217,11320,4
2002,2011,쌍문동,"10,500",우정빌라,1,0,13,57.48,64-1,11320,4
1991,2011,쌍문동,"6,000",대일맨션3,1,0,13,32.19,103-169,11320,3
1975,2011,쌍문동,"7,000",다동,1,0,13,44.1,137-91,11320,
2010,2011,쌍문동,"8,000",삼아빌라(708-26),1,0,15,50.65,708-26,11320,2
1995,2011,쌍문동,"3,500",백운빌라(3차),1,0,15,37.43,137-138,11320,-1
1990,2011,쌍문동,"9,000",쌍문빌라,1,0,17,36.27,123-58,11320,1
1997,2011,쌍문동,"8,000",이도아트빌라,1,0,17,40.71,69-70,11320,2
2002,2011,쌍문동,"8,000",우정빌라,1,0,18,74.52,64-1,11320,-1
1994,2011,쌍문동,"7,500",우영빌라,1,0,18,42.18,75-42,11320,3
1985,2011,쌍문동,"10,000",우이빌라2차,1,0,19,83.88,524-87,11320,2
2009,2011,쌍문동,"10,000",둘리파크빌,1,0,20,62.48,274-3,11320,2
1986,2011,쌍문동,"5,000",(680-1),1,0,20,45.5,680-1,11320,
1980,2011,쌍문동,"4,000",프린스연립,1,0,20,37.78,503-29,11320,2
1991,2011,쌍문동,"12,500",현대초원빌라,1,0,21,84.96,533-8,11320,
1992,2011,쌍문동,"1,000",광진빌라,1,45,21,52.17,353,11320,1
