건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2003,2011,카펠라오피스텔,월계동,"2,000",노원구,1,40,4,30,366-3,11350,7
2003,2011,카펠라오피스텔,월계동,"6,600",노원구,1,0,10,33.75,366-3,11350,2
2004,2011,스테이션빌 빌딩,공릉동,"9,000",노원구,1,0,4,34.71,383-7,11350,7
2004,2011,스테이션빌 빌딩,공릉동,"9,000",노원구,1,0,5,34.71,383-7,11350,6
2004,2011,진주오피스텔,공릉동,"8,000",노원구,1,0,13,44.4,683-20,11350,9
2004,2011,북부포커스빌,공릉동,"6,000",노원구,1,0,31,37.1,661-3,11350,6
2003,2011,삼정 이오니아,하계동,"7,500",노원구,1,0,22,36,256-13,11350,7
2003,2011,삼정 이오니아,하계동,"2,000",노원구,1,45,25,29.25,256-13,11350,7
2005,2011,토마토파르코,상계동,500,노원구,1,70,3,36.77,1267,11350,11
2004,2011,오피앙,상계동,500,노원구,1,50,5,23.37,1258,11350,10
2003,2011,마블러스1,상계동,"8,000",노원구,1,0,8,25.53,341-7,11350,4
2003,2011,하이베라스,상계동,"8,500",노원구,1,0,10,39.29,1262,11350,6
2004,2011,오피앙,상계동,"6,500",노원구,1,0,11,23.37,1258,11350,6
2003,2011,하이베라스,상계동,"8,000",노원구,1,0,12,36.29,1262,11350,9
2004,2011,오피앙,상계동,"6,500",노원구,1,0,15,23.37,1258,11350,14
2004,2011,오피앙,상계동,"7,800",노원구,1,0,21,27.78,1258,11350,8
2005,2011,토마토파르코,상계동,"7,500",노원구,1,0,21,36.77,1267,11350,4
2005,2011,토마토파르코,상계동,"7,000",노원구,1,0,24,31.07,1267,11350,3
2004,2011,오피앙,상계동,"6,500",노원구,1,0,24,23.37,1258,11350,7
2004,2011,오피앙,상계동,"6,500",노원구,1,0,31,23.37,1258,11350,11
2003,2011,우암에이스타워,중계동,500,노원구,1,50,14,33.06,143,11350,8
2005,2011,(506),중계동,"18,000",노원구,1,0,17,80.96,506,11350,12
2005,2011,(506),중계동,"17,000",노원구,1,0,18,66.09,506,11350,13
2005,2011,(506),중계동,"5,000",노원구,1,100,22,83.62,506,11350,5
2003,2011,카펠라오피스텔,월계동,"1,000",노원구,2,50,12,30,366-3,11350,7
2003,2011,카펠라오피스텔,월계동,"6,500",노원구,2,0,21,30,366-3,11350,2
2004,2011,로우폴리스,공릉동,"6,000",노원구,2,0,14,21.09,670-11,11350,11
2004,2011,로우폴리스,공릉동,"3,000",노원구,2,30,18,22.99,670-11,11350,12
2004,2011,스테이션빌 빌딩,공릉동,"1,000",노원구,2,55,21,25.65,383-7,11350,5
2005,2011,토마토파르코,상계동,"10,000",노원구,2,0,1,36.77,1267,11350,8
2003,2011,하이베라스,상계동,"8,000",노원구,2,0,2,39.29,1262,11350,6
2003,2011,하이베라스,상계동,"3,000",노원구,2,35,7,39.29,1262,11350,3
2005,2011,토마토파르코,상계동,"8,000",노원구,2,0,9,36.77,1267,11350,3
2005,2011,토마토파르코,상계동,"10,000",노원구,2,20,11,67.06,1267,11350,13
2003,2011,하이베라스,상계동,"8,000",노원구,2,0,11,36.29,1262,11350,5
2005,2011,토마토파르코,상계동,"1,000",노원구,2,100,14,72.76,1267,11350,12
2004,2011,오피앙,상계동,"6,400",노원구,2,0,21,23.37,1258,11350,11
2004,2011,오피앙,상계동,"6,000",노원구,2,0,21,23.37,1258,11350,7
2003,2011,하이베라스,상계동,"8,000",노원구,2,0,22,37.57,1262,11350,7
2004,2011,오피앙,상계동,"1,000",노원구,2,45,22,23.37,1258,11350,10
2004,2011,오피앙,상계동,"7,000",노원구,2,0,23,23.37,1258,11350,8
2003,2011,마블러스1,상계동,"3,000",노원구,2,38,23,25.53,341-7,11350,5
2004,2011,오피앙,상계동,"6,700",노원구,2,0,23,23.37,1258,11350,9
2003,2011,하이베라스,상계동,"2,000",노원구,2,50,24,37.57,1262,11350,9
2005,2011,(506),중계동,"5,000",노원구,2,110,9,80.96,506,11350,6
2004,2011,씨앤미,중계동,"8,000",노원구,2,0,11,34.29,509-1,11350,9
2005,2011,(506),중계동,"14,000",노원구,2,0,12,59.64,506,11350,7
2004,2011,씨앤미,중계동,"10,500",노원구,2,0,16,50.35,509-1,11350,6
2005,2011,(506),중계동,"13,000",노원구,2,0,16,69.03,506,11350,7
2005,2011,(506),중계동,"18,000",노원구,2,0,19,69.03,506,11350,13
2004,2011,씨앤미,중계동,"5,000",노원구,2,55,23,50.35,509-1,11350,8
2005,2011,(506),중계동,"5,000",노원구,2,100,23,89.12,506,11350,8
2005,2011,(506),중계동,"14,000",노원구,2,0,26,51.3,506,11350,7
2005,2011,(506),중계동,"15,000",노원구,2,0,26,59.64,506,11350,7
2005,2011,(506),중계동,"19,500",노원구,2,0,28,80.96,506,11350,3
2005,2011,(506),중계동,"20,000",노원구,2,0,28,80.96,506,11350,9
2004,2011,씨앤미,중계동,"2,000",노원구,2,80,28,50.35,509-1,11350,8
2003,2011,카펠라오피스텔,월계동,"1,000",노원구,3,48,12,30,366-3,11350,6
2004,2011,진주오피스텔,공릉동,"1,000",노원구,3,66,3,37.8,683-20,11350,5
2004,2011,북부포커스빌,공릉동,"3,000",노원구,3,30,22,37.1,661-3,11350,6
2003,2011,수락네스트죤,상계동,"7,000",노원구,3,10,5,29.97,1132-28,11350,4
2005,2011,토마토파르코,상계동,"8,000",노원구,3,10,5,36.77,1267,11350,6
2003,2011,하이베라스,상계동,"8,000",노원구,3,0,15,41.35,1262,11350,5
2004,2011,오피앙,상계동,"2,000",노원구,3,35,17,23.37,1258,11350,7
2003,2011,하이베라스,상계동,"7,700",노원구,3,0,17,36.29,1262,11350,5
2003,2011,수락네스트죤,상계동,500,노원구,3,60,18,29.97,1132-28,11350,7
2005,2011,토마토파르코,상계동,"1,000",노원구,3,65,31,36.77,1267,11350,11
2005,2011,(506),중계동,"16,500",노원구,3,0,3,69.03,506,11350,13
2005,2011,(506),중계동,"19,000",노원구,3,0,14,80.96,506,11350,8
2005,2011,(506),중계동,"1,000",노원구,3,75,15,41.68,506,11350,11
2005,2011,(506),중계동,"14,000",노원구,3,20,23,83.62,506,11350,11
2005,2011,(506),중계동,"17,000",노원구,3,0,29,69.03,506,11350,9
2003,2011,우암에이스타워,중계동,"1,000",노원구,3,50,30,33.06,143,11350,8
2005,2011,(506),중계동,"9,000",노원구,3,0,31,41.68,506,11350,5
2003,2011,카펠라오피스텔,월계동,"7,000",노원구,4,0,15,33.75,366-3,11350,3
2004,2011,북부포커스빌,공릉동,"6,000",노원구,4,0,13,37.1,661-3,11350,6
2005,2011,토마토파르코,상계동,"9,500",노원구,4,0,1,36.77,1267,11350,4
2004,2011,오피앙,상계동,"4,000",노원구,4,20,1,27.78,1258,11350,12
2003,2011,수락네스트죤,상계동,"7,600",노원구,4,0,11,30.38,1132-28,11350,6
2003,2011,하이베라스,상계동,"8,000",노원구,4,0,18,39.29,1262,11350,9
2004,2011,오피앙,상계동,"6,500",노원구,4,0,21,23.37,1258,11350,11
2003,2011,수락네스트죤,상계동,"7,700",노원구,4,0,23,29.97,1132-28,11350,6
2003,2011,하이베라스,상계동,"1,000",노원구,4,55,30,34.95,1262,11350,5
2005,2011,(506),중계동,"23,000",노원구,4,0,4,93.37,506,11350,8
2004,2011,씨앤미,중계동,"1,000",노원구,4,65,5,34.67,509-1,11350,8
2005,2011,(506),중계동,"14,000",노원구,4,0,19,83.62,506,11350,13
2002,2011,새롬스타빌,중계동,"2,000",노원구,4,35,22,27.26,360-12,11350,2
2005,2011,(506),중계동,"16,000",노원구,4,0,23,69.03,506,11350,9
2005,2011,(506),중계동,"15,000",노원구,4,0,26,59.64,506,11350,5
2005,2011,(506),중계동,"10,000",노원구,4,95,28,93.37,506,11350,9
2003,2011,카펠라오피스텔,월계동,"7,000",노원구,5,0,10,30,366-3,11350,3
2005,2011,토마토파르코,상계동,"9,000",노원구,5,0,12,36.77,1267,11350,4
2004,2011,오피앙,상계동,"6,500",노원구,5,0,16,23.37,1258,11350,10
2003,2011,하이베라스,상계동,"8,000",노원구,5,0,16,37.57,1262,11350,3
