°è¾à¸éÀû,³â,¹ýÁ¤µ¿,º¸Áõ±Ý¾×,¿ù,¿ù¼¼±Ý¾×,ÀÏ,Áö¿ªÄÚµå,°ÇÃà³âµµ
22.3,2011,ÃæÁ¤·Î2°¡,"1,000",1,53,12,11410,
22.3,2011,ÃæÁ¤·Î2°¡,"2,500",1,60,17,11410,
33,2011,ÃæÁ¤·Î3°¡,"3,000",1,35,4,11410,1996
82.5,2011,ÃæÁ¤·Î3°¡,"9,000",1,0,13,11410,1993
43.3,2011,ÃæÁ¤·Î3°¡,"2,000",1,60,18,11410,1989
42.93,2011,ÃæÁ¤·Î3°¡,"3,000",1,40,22,11410,1993
30,2011,³ÃÃµµ¿,"2,000",1,20,6,11410,1927
31.5,2011,³ÃÃµµ¿,"1,000",1,50,6,11410,1990
47.44,2011,³ÃÃµµ¿,"11,000",1,0,7,11410,1971
39.72,2011,³ÃÃµµ¿,"2,000",1,50,31,11410,2003
48.57,2011,Ãµ¿¬µ¿,"6,000",1,10,5,11410,1993
29.27,2011,Ãµ¿¬µ¿,300,1,15,12,11410,1991
73.29,2011,Ãµ¿¬µ¿,"13,000",1,0,13,11410,1996
32.78,2011,Ãµ¿¬µ¿,500,1,65,25,11410,1971
27.63,2011,Ãµ¿¬µ¿,"3,000",1,0,26,11410,1992
46,2011,Ãµ¿¬µ¿,"3,000",1,40,31,11410,1992
42.93,2011,Ãµ¿¬µ¿,"8,000",1,0,31,11410,1992
30.75,2011,¿ÁÃµµ¿,"2,000",1,25,7,11410,1997
18,2011,¿ÁÃµµ¿,"4,500",1,0,8,11410,1978
61.8,2011,¿ÁÃµµ¿,"2,000",1,60,11,11410,1997
18,2011,¿ÁÃµµ¿,500,1,30,14,11410,1978
44.51,2011,¿ÁÃµµ¿,"8,000",1,0,17,11410,1995
47.01,2011,¿ÁÃµµ¿,"12,000",1,0,23,11410,1996
32.49,2011,¿µÃµµ¿,"4,000",1,0,31,11410,1992
51.02,2011,ºÏ¾ÆÇöµ¿,"9,000",1,0,3,11410,1970
24.43,2011,ºÏ¾ÆÇöµ¿,"5,000",1,0,3,11410,1993
46.2,2011,ºÏ¾ÆÇöµ¿,"7,600",1,0,5,11410,1990
51.04,2011,ºÏ¾ÆÇöµ¿,"4,000",1,20,7,11410,1997
41,2011,ºÏ¾ÆÇöµ¿,"7,000",1,0,8,11410,1966
23.67,2011,ºÏ¾ÆÇöµ¿,"4,000",1,0,11,11410,1994
37.7,2011,ºÏ¾ÆÇöµ¿,"4,500",1,0,11,11410,1993
76.61,2011,ºÏ¾ÆÇöµ¿,"15,000",1,0,11,11410,1990
39.6,2011,ºÏ¾ÆÇöµ¿,500,1,50,11,11410,
72.7,2011,ºÏ¾ÆÇöµ¿,"3,000",1,50,12,11410,1995
49.68,2011,ºÏ¾ÆÇöµ¿,"6,000",1,0,13,11410,1994
33,2011,ºÏ¾ÆÇöµ¿,300,1,35,13,11410,
71.68,2011,ºÏ¾ÆÇöµ¿,"2,000",1,65,14,11410,1988
62.37,2011,ºÏ¾ÆÇöµ¿,"13,000",1,0,14,11410,1993
48.24,2011,ºÏ¾ÆÇöµ¿,"2,500",1,50,14,11410,2001
29.56,2011,ºÏ¾ÆÇöµ¿,"6,500",1,0,14,11410,1994
40,2011,ºÏ¾ÆÇöµ¿,500,1,30,15,11410,
84.84,2011,ºÏ¾ÆÇöµ¿,"5,000",1,0,17,11410,1990
69.54,2011,ºÏ¾ÆÇöµ¿,"2,000",1,45,17,11410,1997
48.39,2011,ºÏ¾ÆÇöµ¿,"1,000",1,50,19,11410,1991
33.14,2011,ºÏ¾ÆÇöµ¿,"1,500",1,40,19,11410,2000
36.6,2011,ºÏ¾ÆÇöµ¿,"4,500",1,0,20,11410,1993
23,2011,ºÏ¾ÆÇöµ¿,"1,000",1,25,20,11410,1988
29.66,2011,ºÏ¾ÆÇöµ¿,"1,000",1,30,21,11410,1955
30.24,2011,ºÏ¾ÆÇöµ¿,"6,000",1,0,22,11410,1996
50,2011,ºÏ¾ÆÇöµ¿,"6,000",1,0,22,11410,
41,2011,ºÏ¾ÆÇöµ¿,"2,000",1,15,24,11410,1993
41,2011,ºÏ¾ÆÇöµ¿,"2,000",1,15,24,11410,1993
50,2011,ºÏ¾ÆÇöµ¿,"2,000",1,35,25,11410,1996
98.55,2011,ºÏ¾ÆÇöµ¿,"20,000",1,0,26,11410,2016
34,2011,ºÏ¾ÆÇöµ¿,"1,000",1,35,26,11410,1993
53.4,2011,ºÏ¾ÆÇöµ¿,"6,000",1,20,28,11410,1992
26,2011,ºÏ¾ÆÇöµ¿,"2,000",1,0,28,11410,
50,2011,ºÏ¾ÆÇöµ¿,"9,000",1,0,28,11410,2001
36.6,2011,ºÏ¾ÆÇöµ¿,"5,600",1,0,28,11410,1993
36,2011,ºÏ¾ÆÇöµ¿,"4,000",1,0,29,11410,1993
40.05,2011,ºÏ¾ÆÇöµ¿,500,1,40,29,11410,1993
39.76,2011,ºÏ¾ÆÇöµ¿,"2,000",1,45,29,11410,1993
49.5,2011,ºÏ¾ÆÇöµ¿,"5,500",1,0,29,11410,1992
159.01,2011,ºÏ¾ÆÇöµ¿,"28,000",1,0,29,11410,1979
63.42,2011,È«Á¦µ¿,"4,500",1,0,3,11410,1991
40,2011,È«Á¦µ¿,"6,000",1,0,4,11410,1990
103.8,2011,È«Á¦µ¿,"8,000",1,0,4,11410,1997
62.79,2011,È«Á¦µ¿,"2,000",1,70,4,11410,1983
30,2011,È«Á¦µ¿,"6,000",1,0,4,11410,2015
63.24,2011,È«Á¦µ¿,"4,000",1,60,5,11410,1998
65.86,2011,È«Á¦µ¿,500,1,40,8,11410,1990
54.09,2011,È«Á¦µ¿,"1,000",1,30,8,11410,2003
52.88,2011,È«Á¦µ¿,"3,500",1,0,8,11410,1995
54.09,2011,È«Á¦µ¿,500,1,35,10,11410,2003
37,2011,È«Á¦µ¿,"2,000",1,25,11,11410,1991
31.14,2011,È«Á¦µ¿,"8,500",1,0,12,11410,1973
40,2011,È«Á¦µ¿,"4,000",1,20,12,11410,1991
70.38,2011,È«Á¦µ¿,"5,000",1,0,13,11410,1967
36,2011,È«Á¦µ¿,"5,000",1,0,14,11410,1995
60,2011,È«Á¦µ¿,"1,000",1,50,14,11410,1989
50,2011,È«Á¦µ¿,"9,000",1,0,14,11410,1991
36,2011,È«Á¦µ¿,"5,500",1,0,14,11410,1995
65.26,2011,È«Á¦µ¿,"1,000",1,70,14,11410,1989
66,2011,È«Á¦µ¿,"5,000",1,35,14,11410,
30.84,2011,È«Á¦µ¿,"3,200",1,0,15,11410,1961
75.27,2011,È«Á¦µ¿,"8,000",1,0,18,11410,1974
54,2011,È«Á¦µ¿,"1,500",1,55,18,11410,1990
72.83,2011,È«Á¦µ¿,"1,000",1,60,20,11410,1967
30,2011,È«Á¦µ¿,500,1,35,20,11410,1993
10,2011,È«Á¦µ¿,100,1,20,20,11410,1942
60.17,2011,È«Á¦µ¿,"11,000",1,0,20,11410,1971
51.54,2011,È«Á¦µ¿,"1,000",1,40,21,11410,1993
