°ÇÃà³âµµ,³â,¹ýÁ¤µ¿,º¸Áõ±Ý¾×,¿¬¸³´Ù¼¼´ë,¿ù,¿ù¼¼±Ý¾×,ÀÏ,Àü¿ë¸éÀû,Áö¹ø,Áö¿ªÄÚµå,Ãþ
2002,2011,ÃæÁ¤·Î2°¡,"9,000",(63-0),1,0,20,37.94,63,11410,1
2001,2011,ÃæÁ¤·Î3°¡,"13,000",(3-20),1,0,6,37.48,3-20,11410,3
2002,2011,ÃæÁ¤·Î3°¡,"6,000",µÎ¿ÀÁÖÅÃ,1,0,11,34.6,3-85,11410,3
2002,2011,ÃæÁ¤·Î3°¡,"7,500",¿ì¸®ºô¶ó,1,0,14,28.87,3-35,11410,2
2002,2011,ÃæÁ¤·Î3°¡,"5,000",»ï¼ººô,1,40,15,43.24,3-100,11410,4
1965,2011,ÃæÁ¤·Î3°¡,"3,000",(31-81),1,0,26,43.07,31-81,11410,1
1991,2011,Ãµ¿¬µ¿,"11,000",Ã»¿ÍÅ¸¿î,1,0,3,47.97,80-23,11410,
1991,2011,ºÏ¾ÆÇöµ¿,"11,000",(3-136),1,0,1,49.81,3-136,11410,1
1985,2011,ºÏ¾ÆÇöµ¿,"3,000",(113-44),1,30,3,57.767,113-44,11410,4
1978,2011,ºÏ¾ÆÇöµ¿,"5,000",(113-3),1,0,4,46.94,113-3,11410,2
1996,2011,ºÏ¾ÆÇöµ¿,"15,000",ÇÑ¾ç°ñµåºô¶ó2Â÷,1,0,5,84.21,1-59,11410,2
1988,2011,ºÏ¾ÆÇöµ¿,"4,000",(113-69),1,0,9,36.72,113-69,11410,2
2007,2011,ºÏ¾ÆÇöµ¿,"2,000",ºÏ¾ÆÇöµ¿º£½ºÆ®ºô,1,75,14,55.71,1-31,11410,3
1994,2011,ºÏ¾ÆÇöµ¿,"20,000",È£¼ºÆÄÅ©ºô¶ó,1,0,17,110.5,1-63,11410,4
2003,2011,ºÏ¾ÆÇöµ¿,"18,000",°ÇÀÏÅ×Å©ºôBµ¿,1,0,19,67.95,1-1828,11410,4
1999,2011,ºÏ¾ÆÇöµ¿,"15,000",(129-75),1,0,24,74.16,129-75,11410,6
2011,2011,ºÏ¾ÆÇöµ¿,"5,000",ÀÌ¾ÈÄ³½½,1,60,24,44.7,1-587,11410,2
2007,2011,ºÏ¾ÆÇöµ¿,"7,000",(1-764),1,50,25,65.24,1-764,11410,4
2003,2011,ºÏ¾ÆÇöµ¿,"2,000",¹Ì°¡ºô,1,40,26,52.5,1-111,11410,3
1975,2011,ºÏ¾ÆÇöµ¿,"7,000",(113-41),1,0,27,48.89,113-41,11410,2
1992,2011,ºÏ¾ÆÇöµ¿,"11,000",(1-1764) °¡µ¿,1,0,27,44.78,1-1764,11410,4
1996,2011,È«Á¦µ¿,"7,000",·Î¾âºô¶ó1Â÷,1,0,4,84.87,44-25,11410,
2002,2011,È«Á¦µ¿,"7,000",ÁÁÀºÁý,1,0,4,60.855,359-10,11410,3
2002,2011,È«Á¦µ¿,"9,000",¿¡ÀÌ½ººô¶óÆ®,1,0,5,43.77,267-15,11410,4
2008,2011,È«Á¦µ¿,"12,500",»ïº¸,1,0,6,60.46,5-47,11410,4
1991,2011,È«Á¦µ¿,"9,000",ÇÑ´öºô¶ó,1,0,6,50.2,266-131,11410,1
2010,2011,È«Á¦µ¿,"3,000",½ºÄ«ÀÌºô,1,0,7,26.05,8-72,11410,-1
1987,2011,È«Á¦µ¿,"7,500",(267-38),1,0,7,39.24,267-38,11410,
1997,2011,È«Á¦µ¿,"12,000",µ¿ÃÌºôµù¸Ç¼ð,1,0,8,66.73,211,11410,5
1995,2011,È«Á¦µ¿,"10,000",¹«¾Çºô¶ó,1,0,10,67.03,105-46,11410,2
2010,2011,È«Á¦µ¿,"11,500",Áø¾çÇÏÀÌºô,1,0,10,44.17,285-12,11410,4
1986,2011,È«Á¦µ¿,"3,000",(130-1),1,30,10,41.55,130-1,11410,1
2008,2011,È«Á¦µ¿,"3,000",(122-38),1,70,13,51.91,122-38,11410,3
1991,2011,È«Á¦µ¿,"10,000",¿µÁø,1,0,13,63.36,28-20,11410,3
1986,2011,È«Á¦µ¿,"8,000",(255-5),1,0,13,52.54,255-5,11410,1
1997,2011,È«Á¦µ¿,"9,000",(361-12),1,0,14,39.95,361-12,11410,2
1990,2011,È«Á¦µ¿,"5,500",¼­ºÎÃµ»ç³ëÀÎº¹ÁöÈ¸,1,0,17,41.91,313-26,11410,3
1993,2011,È«Á¦µ¿,"13,500",ÀÎ¿Õºô¶ó3Â÷,1,0,17,65.14,59-1,11410,4
1986,2011,È«Á¦µ¿,"5,500",´ë¸íÀÏÁÖÅÃ(360-127),1,0,18,31.74,360-127,11410,2
2003,2011,È«Á¦µ¿,"11,000",(285-8),1,0,19,45.29,285-8,11410,2
1996,2011,È«Á¦µ¿,"14,000",Èù±¹ÇüÁÖÅÃ,1,0,19,80.6,360-50,11410,3
2003,2011,È«Á¦µ¿,"12,500",(285-8),1,0,19,131.1,285-8,11410,3
1991,2011,È«Á¦µ¿,"8,000",ÇÑÇùºô¶ó,1,0,20,41.67,157-104,11410,3
1996,2011,È«Á¦µ¿,"1,000",Èù±¹ÇüÁÖÅÃ,1,50,20,38.77,360-50,11410,1
2008,2011,È«Á¦µ¿,"14,000",»ïº¸,1,0,20,70.36,5-47,11410,4
1994,2011,È«Á¦µ¿,"6,000",(8-40),1,0,22,38.79,8-40,11410,2
1994,2011,È«Á¦µ¿,"3,000",ÀÌÈ­ÁÖÅÃ,1,30,22,38.8,122-43,11410,1
1991,2011,È«Á¦µ¿,"6,000",¼Ò¸Áºô¶ó,1,0,24,41.94,130-9,11410,2
1976,2011,È«Á¦µ¿,"7,200",Àº¼º¸Ç¼Ç,1,0,26,67.54,131-2,11410,
1990,2011,È«Á¦µ¿,"5,000",(6-11),1,0,26,80.94,6-11,11410,
1975,2011,È«Á¦µ¿,"11,000",´ë¼º¾ÆÆÄÆ®,1,0,27,48.13,315-41,11410,2
2003,2011,´ë½Åµ¿,"5,500",È­¸²ºôµù,1,0,3,65.82,124,11410,2
2003,2011,´ë½Åµ¿,"2,500",È­¸²ºôµù,1,30,5,65.82,124,11410,3
2009,2011,´ë½Åµ¿,"1,000",(127-6),1,60,15,23.4,127-6,11410,2
2009,2011,´ë½Åµ¿,"2,000",(127-9),1,40,15,59.02,127-9,11410,3
2002,2011,´ë½Åµ¿,"7,000",±×·£µåÈú,1,0,18,23,126-2,11410,5
2001,2011,´ë½Åµ¿,"5,500",(141-8),1,0,28,27,141-8,11410,
2006,2011,´ë½Åµ¿,"10,000",¹Ù¿ìÇÏ¿ì½º(129-3),1,0,29,57.37,129-3,11410,2
2003,2011,½ÅÃÌµ¿,"10,000",ÆÄÀÎºô,1,0,16,52.46,1-126,11410,3
2007,2011,Ã¢Ãµµ¿,"8,000",À²µµ±¹ÀÎ(304µ¿),1,0,6,58.32,144-2,11410,3
2001,2011,Ã¢Ãµµ¿,"7,000",½Ã¿ÂÇÏ¿ì½º,1,20,7,41.65,382,11410,4
1997,2011,Ã¢Ãµµ¿,"10,000",(284-0),1,0,10,82.64,284,11410,1
2004,2011,Ã¢Ãµµ¿,"12,000",Àå¼º½¦¸£ºô,1,0,10,43.34,298,11410,4
2009,2011,Ã¢Ãµµ¿,"3,000",¾ðÁ¦³ª¹Ì¼Ò,1,40,11,68.51,129,11410,1
1991,2011,Ã¢Ãµµ¿,"9,000",¾ÆÆ®ºô¶ó,1,0,12,33.58,99-24,11410,1
2002,2011,Ã¢Ãµµ¿,"6,000",¹Ì¸£ºô,1,0,13,59.19,99-26,11410,2
1991,2011,Ã¢Ãµµ¿,"8,500",(4-30),1,0,14,58.77,4-30,11410,2
1982,2011,Ã¢Ãµµ¿,"5,000",(4-118),1,0,14,45.62,4-118,11410,-1
2000,2011,Ã¢Ãµµ¿,"6,500",ÇØÇÇºô,1,0,17,60.95,100-41,11410,1
2003,2011,Ã¢Ãµµ¿,"13,500",(342-0),1,0,19,59.8,342,11410,3
2008,2011,Ã¢Ãµµ¿,"18,000",´ë¼ºÇÏ¿ìÂ¡,1,0,19,45.15,313,11410,5
2001,2011,Ã¢Ãµµ¿,"7,500",½Ã¿ÂÇÏ¿ì½º,1,0,20,31.45,382,11410,3
2001,2011,Ã¢Ãµµ¿,"7,500",½Ã¿ÂÇÏ¿ì½º,1,0,20,29.58,382,11410,2
2001,2011,Ã¢Ãµµ¿,"6,000",¿¬¼¼ºô¶ó,1,0,20,28.32,90-50,11410,2
2003,2011,Ã¢Ãµµ¿,"1,000",Ç®ÇÏ¿ì½º,1,60,22,25.44,100-76,11410,3
2002,2011,Ã¢Ãµµ¿,"12,000",½É½ººô,1,0,23,37.48,501-4,11410,3
2001,2011,Ã¢Ãµµ¿,"8,500",±×¸°ºô,1,0,25,39.94,100-30,11410,2
2002,2011,Ã¢Ãµµ¿,"1,000",¹Ý¼®ÇÏ¿ì½º,1,60,27,36.73,293,11410,4
2006,2011,Ã¢Ãµµ¿,"15,000",À²µµ±¹ÀÎ(202µ¿),1,0,28,59.76,165-3,11410,4
2010,2011,Ã¢Ãµµ¿,"5,000",¹ÌÇö,1,20,29,19.08,13-106,11410,2
2001,2011,Ã¢Ãµµ¿,"4,000",ºí·çÈú,1,0,29,22.74,100-124,11410,2
2007,2011,Ã¢Ãµµ¿,"9,000",À²µµ±¹ÀÎ(304µ¿),1,0,29,59.94,144-2,11410,4
2003,2011,Ã¢Ãµµ¿,"5,000",Æ÷¸Ç½º(ºê¶ó¿îºô),1,30,29,28.53,90-9,11410,4
2000,2011,Ã¢Ãµµ¿,"6,500",ÇØÇÇºô,1,0,31,53.71,100-41,11410,1
1995,2011,¿¬Èñµ¿,"9,500",½Å¼¼´ëÇÏÀÌºô,1,0,3,47.25,446-282,11410,3
1985,2011,¿¬Èñµ¿,"14,000",µ¿Áøºô¶ó,1,0,3,65.07,141-34,11410,2
1991,2011,¿¬Èñµ¿,"15,000",¼ºÁö¿¬Èñºô¶ó,1,0,4,60.75,93-8,11410,2
1997,2011,¿¬Èñµ¿,"5,500",¼ö¿¬ºô,1,0,4,29.96,287-4,11410,2
1996,2011,¿¬Èñµ¿,"2,300",(541-14),1,15,5,38.94,541-14,11410,3
2002,2011,¿¬Èñµ¿,"6,500",¹é»êÅ¸¿î,1,0,7,24.01,69-2,11410,1
2002,2011,¿¬Èñµ¿,"2,000",¹é»êÅ¸¿î,1,40,7,23.23,69-2,11410,1
1985,2011,¿¬Èñµ¿,500,(733-0),1,45,8,35.1,733,11410,2
2002,2011,¿¬Èñµ¿,"6,000",¾ÆÀÌºñÇÏ¿ì½º,1,20,8,28.1,287-11,11410,3
2003,2011,¿¬Èñµ¿,"3,000",¼­¹®ºô¸®Áö,1,30,9,18.72,29,11410,2
2001,2011,¿¬Èñµ¿,"12,000",¿¥Æ¼ºô,1,0,9,65.34,170-96,11410,4
1997,2011,¿¬Èñµ¿,"5,000",º¸¼ººô¶ó,1,0,9,30.44,187-120,11410,2
1995,2011,¿¬Èñµ¿,"30,000",¿¬ÈñÇö´ëºô¶ó(°¡µ¿~´Ùµ¿),1,0,10,130.6,45-24,11410,2
1994,2011,¿¬Èñµ¿,"26,000",°ÅºØÇÏÀÌÃ÷,1,0,10,108.5,77-7,11410,4
2003,2011,¿¬Èñµ¿,"2,000",(444-63),1,68,11,45.91,444-63,11410,3
2004,2011,¿¬Èñµ¿,"13,500",ÀºÁöºô¶ó,1,0,12,57.2,188-59,11410,2
1997,2011,¿¬Èñµ¿,"2,000",´ººô702,1,45,12,45,295-1,11410,3
2001,2011,¿¬Èñµ¿,"2,500",¿¬¼¼¾ÆÅ©·ÎÆú¸®½º,1,20,13,83.56,290-1,11410,3
2008,2011,¿¬Èñµ¿,"16,000",ÅäÃµ,1,0,13,48,74-9,11410,3
2000,2011,¿¬Èñµ¿,"7,300",¿¬Èï°¡³ª¾Èºô¶ó(520-110),1,0,13,59.74,520-110,11410,
2002,2011,¿¬Èñµ¿,"2,000",³×¿À½ºÆäÀÌ½º,1,40,13,25.83,136-29,11410,4
2011,2011,¿¬Èñµ¿,"8,500",(304-1),1,0,14,24.18,304-1,11410,2
2001,2011,¿¬Èñµ¿,"1,000",Á¦´Ï½ººô,1,40,14,45.91,237-7,11410,4
2011,2011,¿¬Èñµ¿,"1,000",(304-1),1,50,16,17.64,304-1,11410,3
2007,2011,¿¬Èñµ¿,"8,500",(48-18),1,0,17,19.91,48-18,11410,3
1997,2011,¿¬Èñµ¿,"6,000",¼ö¿¬ºô,1,0,17,29.96,287-4,11410,3
2007,2011,¿¬Èñµ¿,"10,000",(48-18),1,0,18,34.52,48-18,11410,3
1987,2011,¿¬Èñµ¿,"5,000",(179-41),1,0,18,54.12,179-41,11410,1
1995,2011,¿¬Èñµ¿,"17,000",Àº¼ºÇÏÀÌÃ÷ºô¶ó,1,0,18,83.4,446-259,11410,3
2001,2011,¿¬Èñµ¿,"1,500",Á¦´Ï½ººô,1,40,19,20.34,237-7,11410,3
2002,2011,¿¬Èñµ¿,"2,000",¿¬ÈÆºô¶ó,1,45,20,21.6,194-55,11410,4
1986,2011,¿¬Èñµ¿,"16,000",»ï¼ººô¶ó,1,0,20,82.35,168,11410,1
1997,2011,¿¬Èñµ¿,"12,000",µÎ·¹ÁÖÅÃ3,1,0,21,59.82,519-63,11410,4
2011,2011,¿¬Èñµ¿,"6,500",(304-1),1,0,22,17.64,304-1,11410,3
2011,2011,¿¬Èñµ¿,"8,500",(304-1),1,0,22,29.68,304-1,11410,2
1992,2011,¿¬Èñµ¿,"8,000",´Ù¼º¸Ç¼Ç,1,0,23,46.06,1-15,11410,1
2001,2011,¿¬Èñµ¿,"2,000",¿¬¼¼¾ÆÅ©·ÎÆú¸®½º,1,20,24,83.56,290-1,11410,1
2001,2011,¿¬Èñµ¿,"5,000",¿¬¼¼¾ÆÅ©·ÎÆú¸®½º,1,0,24,83.56,290-1,11410,1
1983,2011,¿¬Èñµ¿,"6,000",(177-3),1,0,24,56.55,177-3,11410,1
1994,2011,¿¬Èñµ¿,"11,000",(350-2),1,0,25,54.32,350-2,11410,4
2002,2011,¿¬Èñµ¿,"10,000",ÀÓÅ¾ºô¸®Áö,1,0,25,55.47,520-87,11410,3
2002,2011,¿¬Èñµ¿,"5,000",¾ÆÀÌºñÇÏ¿ì½º,1,20,25,24.65,287-11,11410,3
2003,2011,¿¬Èñµ¿,500,¼­¹®ºô¸®Áö,1,42,26,15.19,29,11410,3
2004,2011,¿¬Èñµ¿,"1,000",Àå¼ººô,1,55,26,25.96,46-2,11410,4
