건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
2003,2011,아현동,"27,000",삼환나띠르빌,1,0,5,84.9,732,11440,9
2008,2011,아현동,"30,000",마포트라팰리스2차,1,0,7,99.56,738,11440,9
2008,2011,아현동,"30,000",마포트라팰리스2차,1,0,8,99.56,738,11440,10
2003,2011,아현동,"30,000",삼환나띠르빌,1,0,20,84.9,732,11440,13
1998,2011,아현동,"23,000",서서울삼성,1,0,29,84.89,692,11440,3
2005,2011,공덕동,"13,000",래미안공덕4차,1,0,1,59.9,464,11440,7
1988,2011,공덕동,"18,000",마포현대,1,0,3,59.95,188-108,11440,10
1989,2011,공덕동,"22,000",공덕현대,1,0,3,84.61,370-9,11440,2
1988,2011,공덕동,"21,000",마포현대,1,0,3,84.87,188-108,11440,2
2004,2011,공덕동,"36,000",공덕3삼성래미안,1,0,3,84.98,457,11440,15
2004,2011,공덕동,"32,000",공덕2삼성래미안,1,0,4,114.87,43,11440,2
2005,2011,공덕동,"33,000",래미안공덕4차,1,0,5,83.42,464,11440,5
2005,2011,공덕동,"40,000",래미안공덕4차,1,0,5,112.71,464,11440,3
1999,2011,공덕동,"27,000",공덕1삼성래미안,1,0,7,84.94,371,11440,9
1988,2011,공덕동,"22,000",마포현대,1,0,7,84.87,188-108,11440,15
2005,2011,공덕동,"10,000",래미안공덕4차,1,0,8,59.9,464,11440,5
2004,2011,공덕동,"25,000",공덕2삼성래미안,1,0,8,59.97,43,11440,16
2004,2011,공덕동,"31,000",한화꿈에그린,1,0,9,84.939,460,11440,5
1988,2011,공덕동,"1,000",마포현대,1,10,9,59.95,188-108,11440,13
1988,2011,공덕동,"18,500",마포현대,1,0,10,72.49,188-108,11440,1
2004,2011,공덕동,"35,000",공덕3삼성래미안,1,0,10,84.98,457,11440,9
2005,2011,공덕동,"33,500",래미안공덕4차,1,0,10,83.42,464,11440,2
2004,2011,공덕동,"28,000",공덕2삼성래미안,1,0,11,84.94,43,11440,14
2009,2011,공덕동,"3,000",롯데캐슬프레지던트,1,500,11,191.532,467,11440,20
2005,2011,공덕동,"25,000",래미안공덕4차,1,0,12,59.9,464,11440,6
2011,2011,공덕동,"24,000",래미안공덕5차,1,0,12,59.959,469,11440,1
2004,2011,공덕동,"23,000",공덕2삼성래미안,1,0,12,59.97,43,11440,2
2005,2011,공덕동,"35,000",래미안공덕4차,1,0,12,83.42,464,11440,8
2004,2011,공덕동,"35,000",공덕3삼성래미안,1,0,12,84.98,457,11440,14
2004,2011,공덕동,"30,000",한화꿈에그린,1,0,14,84.939,460,11440,7
2005,2011,공덕동,"25,000",래미안공덕4차,1,0,14,59.9,464,11440,1
1999,2011,공덕동,"23,000",공덕1삼성래미안,1,0,15,59.74,371,11440,18
1988,2011,공덕동,"4,000",마포현대,1,75,15,59.95,188-108,11440,5
2005,2011,공덕동,"27,000",래미안공덕4차,1,0,15,59.9,464,11440,4
2005,2011,공덕동,"35,000",래미안공덕4차,1,0,15,83.42,464,11440,10
1999,2011,공덕동,"35,000",공덕1삼성래미안,1,0,16,114.88,371,11440,12
2004,2011,공덕동,"15,000",공덕3삼성래미안,1,80,17,84.98,457,11440,20
1988,2011,공덕동,"22,500",마포현대,1,0,17,84.87,188-108,11440,15
2004,2011,공덕동,"29,000",공덕3삼성래미안,1,0,17,59.97,457,11440,14
2005,2011,공덕동,"8,000",래미안공덕4차,1,83,17,59.9,464,11440,7
1988,2011,공덕동,"10,000",마포현대,1,50,18,59.95,188-108,11440,7
2005,2011,공덕동,"12,000",래미안공덕4차,1,80,18,59.9,464,11440,8
2005,2011,공덕동,"5,000",래미안공덕4차,1,145,19,83.42,464,11440,12
2004,2011,공덕동,"35,000",공덕3삼성래미안,1,0,20,84.98,457,11440,6
1999,2011,공덕동,"31,000",공덕1삼성래미안,1,0,21,84.94,371,11440,20
2005,2011,공덕동,"41,000",래미안공덕4차,1,0,21,112.71,464,11440,3
1989,2011,공덕동,"22,000",공덕현대,1,0,21,84.79,370-9,11440,7
2004,2011,공덕동,"18,700",공덕2삼성래미안,1,0,21,59.97,43,11440,20
2004,2011,공덕동,"5,000",공덕3삼성래미안,1,140,22,59.97,457,11440,17
1999,2011,공덕동,"30,000",공덕1삼성래미안,1,0,23,84.94,371,11440,8
1988,2011,공덕동,"19,000",마포현대,1,0,24,59.95,188-108,11440,14
2004,2011,공덕동,"35,000",공덕2삼성래미안,1,0,25,114.87,43,11440,14
2004,2011,공덕동,"28,500",공덕3삼성래미안,1,0,25,59.97,457,11440,6
2005,2011,공덕동,"29,000",래미안공덕4차,1,0,25,59.9,464,11440,14
2004,2011,공덕동,"29,000",공덕2삼성래미안,1,0,26,84.94,43,11440,8
2004,2011,공덕동,"28,000",공덕3삼성래미안,1,0,27,59.97,457,11440,11
2004,2011,공덕동,"40,000",한화꿈에그린,1,0,28,113.667,460,11440,12
2005,2011,공덕동,"35,000",래미안공덕4차,1,0,28,83.42,464,11440,9
2011,2011,공덕동,"15,000",래미안공덕5차,1,120,29,84.871,469,11440,7
2005,2011,공덕동,"24,000",래미안공덕4차,1,0,29,59.9,464,11440,19
1999,2011,공덕동,"35,000",공덕1삼성래미안,1,0,29,114.88,371,11440,2
2004,2011,공덕동,"28,500",공덕3삼성래미안,1,0,29,59.97,457,11440,11
1999,2011,공덕동,"23,000",공덕1삼성래미안,1,0,29,59.74,371,11440,15
1988,2011,공덕동,"22,000",마포현대,1,0,30,84.87,188-108,11440,13
2004,2011,공덕동,"30,000",공덕2삼성래미안,1,0,31,84.94,43,11440,17
2004,2011,공덕동,"1,260",삼성래미안공덕2차,1,16,31,33.73,44,11440,7
2000,2011,신공덕동,"33,000",신공덕1차삼성래미안1아파트,1,0,3,114.75,155,11440,10
2003,2011,신공덕동,"30,000",신공덕래미안3차,1,0,3,114.76,161,11440,9
2000,2011,신공덕동,"29,000",신공덕1차삼성래미안1아파트,1,0,4,84.9,155,11440,18
2009,2011,신공덕동,"22,000",브라운스톤공덕,1,0,5,59.89,170,11440,18
2003,2011,신공덕동,"20,000",신공덕래미안3차,1,0,6,59.96,161,11440,1
2000,2011,신공덕동,"28,500",신공덕래미안2차,1,0,6,114.5,159,11440,8
2000,2011,신공덕동,"24,000",신공덕래미안2차,1,0,6,84.73,159,11440,8
2005,2011,신공덕동,"5,000",대우메트로디오빌,1,55,7,29.11,167,11440,28
2008,2011,신공덕동,"20,000",뉴마인,1,0,7,64.81,5-5,11440,7
2008,2011,신공덕동,"22,000",뉴마인,1,0,8,69.03,5-5,11440,3
2005,2011,신공덕동,"3,000",대우메트로디오빌,1,65,8,29.11,167,11440,19
2000,2011,신공덕동,"20,000",신공덕래미안2차,1,0,9,59.48,159,11440,14
2007,2011,신공덕동,"25,000",신공덕e편한세상,1,0,10,59.85,168,11440,10
2009,2011,신공덕동,"28,000",브라운스톤공덕,1,0,10,59.89,170,11440,12
