건축년도,계약면적,년,법정동,보증금액,월,월세금액,일,지역코드
1992,72,2011,신정동,"3,500",1,0,2,11470
1977,16.5,2011,신정동,"4,000",1,0,3,11470
2016,174.9,2011,신정동,"1,000",1,43,3,11470
1995,48.48,2011,신정동,"8,000",1,0,3,11470
1992,66.89,2011,신정동,"3,000",1,22,4,11470
2003,50,2011,신정동,"13,000",1,0,4,11470
2013,64.08,2011,신정동,"6,500",1,0,4,11470
1996,162.24,2011,신정동,"3,000",1,20,5,11470
1982,168,2011,신정동,"8,000",1,0,5,11470
1993,30.29,2011,신정동,"4,000",1,0,6,11470
2010,27,2011,신정동,"8,000",1,0,6,11470
1992,36,2011,신정동,"1,000",1,40,7,11470
1997,91.89,2011,신정동,"17,000",1,0,8,11470
,70.56,2011,신정동,"3,000",1,25,8,11470
1990,27.9,2011,신정동,"4,500",1,0,8,11470
1991,30,2011,신정동,500,1,40,8,11470
2010,30,2011,신정동,"2,000",1,35,8,11470
1996,40.95,2011,신정동,"1,000",1,35,9,11470
1994,56.1,2011,신정동,"2,000",1,0,10,11470
,49.14,2011,신정동,"5,500",1,0,10,11470
1995,93.37,2011,신정동,400,1,23,10,11470
1996,50,2011,신정동,"8,000",1,0,11,11470
1992,49.2,2011,신정동,500,1,27,11,11470
1993,34,2011,신정동,150,1,30,11,11470
2000,56.54,2011,신정동,"7,000",1,0,12,11470
1997,35,2011,신정동,"4,000",1,20,12,11470
1975,59.47,2011,신정동,200,1,18,12,11470
1970,42.31,2011,신정동,700,1,20,13,11470
2016,36.96,2011,신정동,"3,700",1,0,13,11470
,26.42,2011,신정동,"1,000",1,25,13,11470
1988,33.3,2011,신정동,"2,000",1,20,13,11470
1997,73.41,2011,신정동,"4,500",1,15,14,11470
1997,47.96,2011,신정동,"5,000",1,0,14,11470
1992,66.24,2011,신정동,"2,000",1,38,14,11470
1992,33.12,2011,신정동,"2,000",1,38,14,11470
2016,40,2011,신정동,"8,000",1,0,14,11470
1998,139.6,2011,신정동,"2,000",1,35,14,11470
1996,40.95,2011,신정동,"4,000",1,10,17,11470
2010,57.75,2011,신정동,"15,000",1,0,18,11470
,80.16,2011,신정동,"3,000",1,0,19,11470
,51.78,2011,신정동,"2,000",1,0,19,11470
2010,82.27,2011,신정동,"11,000",1,0,19,11470
1993,63.66,2011,신정동,300,1,30,19,11470
1994,56.18,2011,신정동,"5,000",1,0,20,11470
,47.6,2011,신정동,"1,000",1,45,20,11470
1997,20,2011,신정동,0,1,10,20,11470
2011,60,2011,신정동,"17,000",1,0,21,11470
1997,33.33,2011,신정동,"2,000",1,20,21,11470
1993,49.68,2011,신정동,"1,500",1,40,21,11470
1996,60.72,2011,신정동,500,1,45,21,11470
1993,30,2011,신정동,"5,000",1,0,22,11470
,50.4,2011,신정동,200,1,25,22,11470
1993,71,2011,신정동,"10,000",1,0,22,11470
1997,52.8,2011,신정동,"10,000",1,0,22,11470
1990,30.23,2011,신정동,"4,000",1,0,22,11470
2002,25,2011,신정동,"3,000",1,0,22,11470
2003,79.87,2011,신정동,"3,000",1,70,22,11470
,50.15,2011,신정동,"1,800",1,0,22,11470
1997,75.84,2011,신정동,"5,500",1,0,23,11470
,18,2011,신정동,"1,500",1,0,24,11470
1996,72.17,2011,신정동,"3,200",1,0,24,11470
1992,138.65,2011,신정동,"3,500",1,0,24,11470
1993,67.08,2011,신정동,"2,000",1,30,24,11470
1993,42,2011,신정동,"9,000",1,0,25,11470
1992,73.02,2011,신정동,"5,000",1,0,25,11470
1995,76.08,2011,신정동,"4,500",1,0,25,11470
1978,35.7,2011,신정동,"2,500",1,25,26,11470
1996,86.5,2011,신정동,"13,000",1,0,26,11470
1993,62.64,2011,신정동,"1,500",1,40,26,11470
1992,40,2011,신정동,"8,000",1,0,27,11470
1990,40,2011,신정동,"5,500",1,0,27,11470
1992,83.22,2011,신정동,"1,900",1,0,27,11470
,12,2011,신정동,50,1,20,27,11470
1990,40,2011,신정동,"1,000",1,30,27,11470
,92,2011,신정동,"1,000",1,50,28,11470
,51.62,2011,신정동,300,1,25,28,11470
,50.4,2011,신정동,500,1,23,28,11470
1993,31.18,2011,신정동,"3,000",1,0,28,11470
,161.43,2011,신정동,"2,000",1,0,28,11470
1991,24,2011,신정동,"3,000",1,0,28,11470
1997,83.22,2011,신정동,"4,000",1,15,29,11470
,52.06,2011,신정동,"2,000",1,0,29,11470
2009,20,2011,신정동,"3,500",1,0,29,11470
,66.15,2011,신정동,"10,000",1,0,29,11470
,51.54,2011,신정동,"6,000",1,0,29,11470
1993,53.78,2011,신정동,"5,500",1,0,29,11470
1993,28.7,2011,신정동,"6,500",1,0,29,11470
1991,65.76,2011,신정동,"1,000",1,23,29,11470
1991,32.66,2011,신정동,"2,000",1,0,30,11470
1989,31.25,2011,신정동,500,1,30,30,11470
1992,60.68,2011,신정동,"2,000",1,35,31,11470
,44.82,2011,신정동,"2,000",1,20,31,11470
,45.31,2011,신정동,"6,000",1,0,31,11470
1995,33.3,2011,신정동,"4,000",1,0,31,11470
2017,33.4,2011,신정동,"5,000",1,0,31,11470
,35,2011,신정동,"3,000",1,25,31,11470
1994,103.12,2011,신정동,"3,500",1,0,31,11470
1993,158.79,2011,신정동,"1,000",1,30,31,11470
2011,19.98,2011,목동,"6,000",1,0,2,11470
1996,107.63,2011,목동,"2,000",1,30,3,11470
1996,113.64,2011,목동,"3,000",1,100,4,11470
2000,107.88,2011,목동,"2,000",1,30,4,11470
1991,96.47,2011,목동,"7,000",1,0,4,11470
,45.6,2011,목동,500,1,45,4,11470
1999,40,2011,목동,"2,000",1,75,5,11470
2003,55,2011,목동,"10,000",1,0,5,11470
