건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
2003,2011,신정동,"13,500",태경하이츠(921-2),1,0,1,74.02,921-2,11470,2
2002,2011,신정동,"11,000",보은빌라,1,0,3,46.71,1012-3,11470,4
2010,2011,신정동,"14,000",신건드림원빌(975-6),1,0,3,51.12,975-6,11470,3
2010,2011,신정동,"13,000",삼성쉐르빌(963-8),1,0,4,53.88,963-8,11470,3
1995,2011,신정동,"11,000",예봉빌라,1,0,4,50.28,951-20,11470,3
1990,2011,신정동,"10,000",라이프하이츠나동,1,0,5,36.45,282-68,11470,3
2002,2011,신정동,"2,000",레녹스스튜디오,1,20,5,22.3,1197-7,11470,5
2003,2011,신정동,"5,000",정연쉐르빌,1,57,6,62.11,959-14,11470,2
2010,2011,신정동,"1,000",이호빌,1,60,6,36.5,919-11,11470,4
2002,2011,신정동,"9,000",(1161-20),1,0,7,61.02,1161-20,11470,4
2003,2011,신정동,"11,000",풀하우스,1,0,7,51.8,963-11,11470,3
2010,2011,신정동,"9,500",(944-8),1,0,8,25.41,944-8,11470,2
2004,2011,신정동,"14,000",소망빌라,1,0,8,44.44,117-10,11470,2
1990,2011,신정동,"7,800",대호빌라,1,0,8,36.42,888-35,11470,2
2003,2011,신정동,"14,000",정연쉐르빌,1,0,10,66.58,959-14,11470,2
1979,2011,신정동,"7,500",신정연립,1,0,10,69.09,945-5,11470,2
2010,2011,신정동,"2,000",이삭빌,1,50,11,50.7,1004-9,11470,5
2010,2011,신정동,"13,000",이호빌,1,0,13,36.5,919-11,11470,2
1981,2011,신정동,"6,000",코끼리연립,1,0,14,49.88,880-1,11470,1
1991,2011,신정동,"14,500",은행정빌라,1,0,14,75.9,960-2,11470,
2007,2011,신정동,"14,000",하이트맨션(878-7),1,0,15,68.76,878-7,11470,5
1991,2011,신정동,700,대동주택,1,35,15,32.28,962-17,11470,3
2002,2011,신정동,"15,000",근상프리즘,1,0,15,69.4,884-14,11470,4
2010,2011,신정동,"3,000",스카이하우스,1,35,15,28.43,924-18,11470,2
2008,2011,신정동,"6,500",백봉빌딩,1,0,15,59.94,948-1,11470,6
2004,2011,신정동,"12,000",서울빌라,1,0,15,55.24,983-11,11470,3
2001,2011,신정동,"11,000",새롬빌라,1,0,15,57.36,918-14,11470,4
2008,2011,신정동,"11,000",(888-34),1,0,16,65.28,888-34,11470,
2002,2011,신정동,"12,000",대산아트빌,1,0,17,70.22,877-4,11470,2
2002,2011,신정동,"1,000",진성주택,1,43,17,24.68,1012-1,11470,2
2002,2011,신정동,"12,000",삼육빌라트,1,0,18,53.07,1003-3,11470,4
2001,2011,신정동,"5,800",노을빌라트,1,0,18,58.94,967-11,11470,1
2003,2011,신정동,"13,000",동일하이빌(954-9),1,0,18,62.51,954-9,11470,5
2003,2011,신정동,"4,500",낭주아트빌,1,40,19,47.34,963-29,11470,4
2003,2011,신정동,"11,000",신광그린빌,1,0,19,41.68,1192-9,11470,3
2010,2011,신정동,"3,000",스카이하우스,1,35,19,28.43,924-18,11470,3
2009,2011,신정동,"17,000",광동예지인,1,0,20,60.58,908-7,11470,4
2009,2011,신정동,"1,700",광동예지인,1,0,20,60.58,908-7,11470,4
1983,2011,신정동,"4,000",대경,1,40,21,67.08,127-4,11470,3
2008,2011,신정동,"15,000",신정파크빌,1,0,22,62.73,958-4,11470,3
2002,2011,신정동,"9,000",영진아트빌,1,0,22,38.88,1194-2,11470,4
2003,2011,신정동,"12,000",행복아트빌B동,1,0,22,46.08,875-9,11470,3
1982,2011,신정동,"1,000",태림연립나동,1,47,24,62.38,934-20,11470,1
1992,2011,신정동,"8,000",소망그린빌라2차나동,1,0,24,38.67,927-22,11470,1
1994,2011,신정동,"7,000",대동하이츠빌라,1,0,25,44.73,1196-24,11470,1
1986,2011,신정동,"8,000",(1152-9),1,0,25,49.28,1152-9,11470,1
2010,2011,신정동,"2,000",스카이하우스,1,50,25,29.84,924-18,11470,3
