건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2007,2011,신도림1차푸르지오,신도림동,"24,000",구로구,1,0,2,86.79,337,11530,25
2010,2011,코리아빌딩,신도림동,"3,000",구로구,1,50,3,37.06,413-9,11530,14
2007,2011,신도림1차푸르지오,신도림동,"18,000",구로구,1,0,4,50.68,337,11530,7
2010,2011,코리아빌딩,신도림동,"11,000",구로구,1,0,6,37.06,413-9,11530,13
2010,2011,코리아빌딩,신도림동,"2,000",구로구,1,65,7,38.62,413-9,11530,17
2010,2011,코리아빌딩,신도림동,"11,500",구로구,1,0,7,37.06,413-9,11530,13
2010,2011,신도림삼성쉐르빌 1,신도림동,"24,000",구로구,1,0,8,92.06,271-25,11530,6
2010,2011,코리아빌딩,신도림동,"11,000",구로구,1,0,8,37.06,413-9,11530,16
2010,2011,코리아빌딩,신도림동,"1,000",구로구,1,75,10,38.62,413-9,11530,19
2010,2011,코리아빌딩,신도림동,"11,500",구로구,1,0,11,38.62,413-9,11530,17
2010,2011,코리아빌딩,신도림동,"12,500",구로구,1,0,11,42.65,413-9,11530,15
2010,2011,코리아빌딩,신도림동,"11,000",구로구,1,0,11,38.62,413-9,11530,18
2005,2011,신도림월드메르디앙오피스텔,신도림동,"4,000",구로구,1,80,14,62.47,387-3,11530,15
2010,2011,코리아빌딩,신도림동,"4,000",구로구,1,50,14,38.62,413-9,11530,16
2010,2011,코리아빌딩,신도림동,"1,000",구로구,1,80,15,42.65,413-9,11530,14
2010,2011,코리아빌딩,신도림동,"11,500",구로구,1,0,17,38.62,413-9,11530,17
2010,2011,코리아빌딩,신도림동,"3,000",구로구,1,55,18,37.06,413-9,11530,16
2006,2011,신도림 에스케이뷰,신도림동,"20,000",구로구,1,0,18,85.92,432-1,11530,3
2010,2011,신도림삼성쉐르빌 1,신도림동,"26,000",구로구,1,0,20,92.06,271-25,11530,25
2010,2011,코리아빌딩,신도림동,"2,000",구로구,1,64,22,38.62,413-9,11530,16
2010,2011,신도림삼성쉐르빌 1,신도림동,"23,000",구로구,1,0,23,92.06,271-25,11530,12
2005,2011,신도림월드메르디앙오피스텔,신도림동,"17,000",구로구,1,0,24,63.7,387-3,11530,14
2006,2011,신도림 에스케이뷰,신도림동,"22,000",구로구,1,0,24,86.17,432-1,11530,2
2010,2011,코리아빌딩,신도림동,"2,000",구로구,1,65,25,38.62,413-9,11530,14
2005,2011,신도림월드메르디앙오피스텔,신도림동,"4,000",구로구,1,70,25,63.7,387-3,11530,11
2010,2011,신도림삼성쉐르빌 1,신도림동,"12,000",구로구,1,65,27,90.78,271-25,11530,14
2007,2011,신도림1차푸르지오,신도림동,"20,800",구로구,1,0,28,70.71,337,11530,9
2007,2011,신도림1차푸르지오,신도림동,"30,000",구로구,1,0,29,117.01,337,11530,17
2007,2011,신도림1차푸르지오,신도림동,"21,000",구로구,1,0,29,86.79,337,11530,26
2007,2011,신도림1차푸르지오,신도림동,"1,000",구로구,1,115,31,53.48,337,11530,15
2005,2011,예성유토피아(186-7),구로동,"4,000",구로구,1,60,2,64.24,186-7,11530,14
2004,2011,오피스텔 미래지오,구로동,"5,500",구로구,1,0,3,21.28,810,11530,3
2004,2011,구로동복합건물OPUS1,구로동,"9,000",구로구,1,0,3,26.95,611-26,11530,7
2005,2011,SK 허브수,구로동,"12,500",구로구,1,0,5,37.53,650-4,11530,11
2004,2011,성일오피스텔,구로동,"13,500",구로구,1,0,5,66.75,103-1,11530,8
2002,2011,하나가드리움(186-17),구로동,"8,500",구로구,1,0,5,25.92,186-17,11530,3
2004,2011,구로동복합건물OPUS1,구로동,"11,000",구로구,1,0,5,31.2,611-26,11530,10
2009,2011,국제빌딩,구로동,"5,300",구로구,1,0,5,16.07,97-9,11530,9
2004,2011,신동아미래지움오피스텔,구로동,"8,000",구로구,1,35,6,59.97,474-1,11530,10
2005,2011,예성유토피아(186-7),구로동,"2,000",구로구,1,120,6,64.24,186-7,11530,7
2005,2011,SK 허브수,구로동,"12,500",구로구,1,0,7,37.53,650-4,11530,4
2004,2011,오피스텔 미래지오,구로동,"4,200",구로구,1,0,8,16.03,810,11530,6
2005,2011,SK 허브수,구로동,"12,500",구로구,1,0,8,37.53,650-4,11530,14
2004,2011,구로동복합건물OPUS1,구로동,"2,000",구로구,1,57,8,31.2,611-26,11530,10
2004,2011,(1132-46),구로동,"2,000",구로구,1,25,8,18.28,1132-46,11530,3
2004,2011,구로하우비,구로동,"2,000",구로구,1,60,8,36.48,110-5,11530,13
2003,2011,태천대,구로동,500,구로구,1,50,9,28.95,1131-8,11530,8
2003,2011,세종오피스텔,구로동,"5,500",구로구,1,0,10,25.2,1130-21,11530,5
2005,2011,SK 허브수,구로동,"1,000",구로구,1,75,10,37.53,650-4,11530,14
2003,2011,네오팰리스,구로동,"2,000",구로구,1,65,11,41.25,103-8,11530,6
2004,2011,구로하우비,구로동,"15,000",구로구,1,0,11,82.12,110-5,11530,5
2004,2011,오피스텔 미래지오,구로동,"4,700",구로구,1,0,14,18.44,810,11530,6
2004,2011,구로동복합건물OPUS1,구로동,"9,000",구로구,1,15,14,31.2,611-26,11530,11
2004,2011,신도림포스빌,구로동,"9,500",구로구,1,0,14,24.15,26,11530,7
2004,2011,신도림포스빌,구로동,"2,000",구로구,1,65,14,33.69,26,11530,23
2004,2011,구로동복합건물OPUS1,구로동,"11,500",구로구,1,0,15,46.58,611-26,11530,6
2003,2011,스타팰리스(603-9),구로동,"1,000",구로구,1,65,15,29.87,603-9,11530,5
2005,2011,SK 허브수,구로동,"12,500",구로구,1,0,15,37.53,650-4,11530,8
2005,2011,SK 허브수,구로동,"15,000",구로구,1,0,15,59.12,650-4,11530,2
2009,2011,국제빌딩,구로동,"4,700",구로구,1,0,17,64.26,97-9,11530,13
2004,2011,신도림포스빌,구로동,"2,000",구로구,1,55,17,24.15,26,11530,6
2004,2011,신도림포스빌,구로동,"1,000",구로구,1,60,17,24.15,26,11530,11
2003,2011,한라빌리언스 오피스텔,구로동,"3,000",구로구,1,50,17,25.99,182-6,11530,5
2005,2011,예성유토피아(187-4),구로동,"3,000",구로구,1,70,17,38.6,187-4,11530,5
2003,2011,한라빌리언스 오피스텔,구로동,"1,000",구로구,1,65,17,25.99,182-6,11530,5
2004,2011,신도림포스빌,구로동,"1,000",구로구,1,70,18,33.69,26,11530,10
2004,2011,(1132-46),구로동,"1,000",구로구,1,35,18,18.28,1132-46,11530,3
2005,2011,SK 허브수,구로동,"14,000",구로구,1,0,18,59.12,650-4,11530,12
2005,2011,SK 허브수,구로동,"2,000",구로구,1,75,19,59.12,650-4,11530,4
2004,2011,신동아미래지움오피스텔,구로동,"18,000",구로구,1,0,19,83.03,474-1,11530,10
2006,2011,(1129-9),구로동,"5,500",구로구,1,0,20,16.52,1129-9,11530,3
2006,2011,한솔로이젠트,구로동,"1,500",구로구,1,70,22,35.7,103-11,11530,13
2005,2011,SK 허브수,구로동,"11,500",구로구,1,0,22,37.53,650-4,11530,3
2005,2011,SK 허브수,구로동,"15,000",구로구,1,0,24,59.12,650-4,11530,4
2004,2011,신도림포스빌,구로동,"7,500",구로구,1,18,24,24.15,26,11530,18
2004,2011,신도림포스빌,구로동,"2,000",구로구,1,50,25,24.15,26,11530,16
2005,2011,예성유토피아(187-3),구로동,"1,000",구로구,1,90,26,40.68,187-3,11530,11
2003,2011,한라빌리언스 오피스텔,구로동,"1,000",구로구,1,65,26,25.99,182-6,11530,11
2003,2011,한라빌리언스 오피스텔,구로동,"2,000",구로구,1,55,26,25.99,182-6,11530,2
2004,2011,신도림포스빌,구로동,"1,000",구로구,1,60,26,24.15,26,11530,8
2005,2011,우진체리쉬,구로동,"5,000",구로구,1,45,26,45.12,97-10,11530,3
2002,2011,하나가드리움(186-17),구로동,"2,000",구로구,1,45,27,25.92,186-17,11530,6
2005,2011,예성유토피아(186-7),구로동,"13,000",구로구,1,0,29,40.16,186-7,11530,11
2005,2011,예성유토피아(187-3),구로동,"9,000",구로구,1,40,29,40.68,187-3,11530,5
2003,2011,중앙오피스텔,구로동,"1,000",구로구,1,40,30,16.92,1132-26,11530,3
2002,2011,(97-7),구로동,"9,000",구로구,1,0,31,42.42,97-7,11530,4
2005,2011,예성유토피아(186-7),구로동,"13,000",구로구,1,0,31,40.16,186-7,11530,5
2006,2011,신도림 쌍용플래티넘 노블,구로동,"13,000",구로구,1,0,31,51.15,46,11530,2
2004,2011,구로동복합건물OPUS1,구로동,"5,000",구로구,1,40,31,31.2,611-26,11530,12
2002,2011,인화오벨리아,가리봉동,"6,500",구로구,1,0,14,30,135-68,11530,3
2002,2011,인화오벨리아,가리봉동,"1,500",구로구,1,45,27,26.74,135-68,11530,4
2002,2011,국일오피스텔,개봉동,"1,000",구로구,1,40,4,29.82,403-15,11530,6
2001,2011,(134-1),오류동,500,구로구,1,47,29,30.03,134-1,11530,5
2007,2011,신도림1차푸르지오,신도림동,"23,000",구로구,2,0,7,78.03,337,11530,24
2007,2011,신도림1차푸르지오,신도림동,"6,000",구로구,2,70,13,50.68,337,11530,10
2010,2011,신도림삼성쉐르빌 1,신도림동,"12,000",구로구,2,50,13,90.78,271-25,11530,15
2007,2011,신도림1차푸르지오,신도림동,"2,000",구로구,2,130,14,70.71,337,11530,9
