건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
1992,2011,가산동,"8,000",영화빌라3동(149-47),1,0,3,39.33,149-47,11545,1
1996,2011,가산동,"8,000",궁전빌라,1,0,3,35.26,237-67,11545,2
2002,2011,가산동,"9,000",원평 8차,1,0,5,48.27,238-78,11545,4
2002,2011,가산동,"12,000",계영아트빌,1,0,10,76.94,235-55,11545,4
1990,2011,가산동,"8,000",진양빌라 1-2동,1,0,15,36.23,235-73,11545,1
1991,2011,가산동,500,다원빌라,1,40,17,28.78,237-89,11545,1
1990,2011,가산동,"7,400",진양빌라 3동,1,0,19,36.23,235-11,11545,3
2002,2011,가산동,"12,000",원평 9차,1,0,22,65.38,238-79,11545,4
1976,2011,독산동,"3,000",성호 C.D동,1,30,3,47.28,146-8,11545,1
2003,2011,독산동,"12,000",조양아트빌B동,1,0,3,68.84,912-4,11545,3
2004,2011,독산동,"8,000",행복타운2차,1,0,3,70.7,1040-30,11545,3
2008,2011,독산동,"12,000",롯데블루빌,1,0,5,60.56,378-482,11545,3
1994,2011,독산동,"10,500","한마음빌라 A,B동",1,0,6,60.32,196-36,11545,2
2000,2011,독산동,"12,000",수지맨션빌,1,0,6,61.24,1043-46,11545,1
2011,2011,독산동,500,예림홈타운,1,30,7,28.5,882-3,11545,2
1986,2011,독산동,100,1068-21,1,15,8,15,1068-21,11545,
2000,2011,독산동,"8,000",수정빌라(1040-25),1,0,10,51.46,1040-25,11545,1
1980,2011,독산동,"1,000",(1006-52),1,50,10,74.71,1006-52,11545,2
1979,2011,독산동,"1,500","공단연립(A,B,C)",1,55,10,54.05,335-4,11545,1
2001,2011,독산동,"10,000",(1017-4)금천그린빌,1,0,12,51.63,1017-4,11545,3
1986,2011,독산동,"7,000",(1053-9),1,0,12,59.04,1053-9,11545,-1
2002,2011,독산동,"14,000",신우맨션,1,0,13,61.04,1063-13,11545,2
2002,2011,독산동,"7,000",(본아트빌),1,0,18,72.83,965-43,11545,
1979,2011,독산동,"4,000",우미연립A동,1,0,18,19.5,182-3,11545,
2002,2011,독산동,"13,000",드림빌라,1,0,19,75.6,918-8,11545,4
2003,2011,독산동,"13,000",한송하이빌,1,0,19,65.9,378-160,11545,4
1996,2011,독산동,"4,500",화이트빌라,1,0,20,27.46,1075-70,11545,2
1981,2011,독산동,"11,000",(독산빌라)(1039-13),1,0,22,71.5,1039-13,11545,1
1995,2011,독산동,"7,000",하나그린맨션,1,0,26,33.74,196-41,11545,3
1981,2011,독산동,"9,000",(독산빌라)(1039-13),1,0,26,71.01,1039-13,11545,1
2002,2011,독산동,"9,500",(말뫼홈타운A),1,0,26,61.08,1033-70,11545,4
2010,2011,독산동,"5,000",스카이빌,1,50,28,59.15,189-2,11545,3
1992,2011,독산동,"8,500",(우성진빌라),1,0,28,49.62,1040-26,11545,2
2001,2011,독산동,"10,000",금호타운(380-14),1,0,30,48.54,380-14,11545,1
1986,2011,시흥동,"2,000",대 도,1,45,6,50.94,955-7,11545,1
1985,2011,시흥동,"8,800",천록연립,1,0,6,60.57,973-2,11545,1
2004,2011,시흥동,"12,500",강남맨션B동,1,0,7,75.24,864-3,11545,2
2003,2011,시흥동,"13,000",한빛쎈스빌,1,0,7,57.69,922-37,11545,3
2002,2011,시흥동,"11,000",한미12,1,0,7,68.96,947-13,11545,4
1985,2011,시흥동,"9,000",중앙연립,1,0,8,50.49,952-10,11545,3
1986,2011,시흥동,"4,500",(836-6),1,10,8,49.5,836-6,11545,1
1992,2011,시흥동,"7,500",동일타운,1,0,8,48.63,244-52,11545,1
1980,2011,시흥동,"5,500",대흥 빌라,1,0,9,52.23,919-78,11545,2
2010,2011,시흥동,"13,000",정우센스빌102동,1,0,10,59.9,990-35,11545,3
1989,2011,시흥동,"3,000",현대빌라,1,10,10,25.44,982,11545,2
2004,2011,시흥동,"13,000",강남맨션A동,1,0,10,76.38,864-31,11545,2
2010,2011,시흥동,"13,500",현주빌,1,0,10,69.17,834-26,11545,5
2002,2011,시흥동,"12,000",백운아이닉스,1,0,10,73.36,834-28,11545,2
2002,2011,시흥동,"11,000",원형아트빌,1,0,10,55.19,838-14,11545,1
1993,2011,시흥동,"8,500",현대하이츠가동,1,0,10,48.69,3-108,11545,4
1987,2011,시흥동,"8,000",유림빌라맨숀,1,0,11,48.24,973-4,11545,1
1985,2011,시흥동,"2,000",천록연립,1,45,12,60.57,973-2,11545,1
1982,2011,시흥동,"1,500",미도1동,1,35,12,36.53,950-1,11545,1
2009,2011,시흥동,"13,000",다솔파크빌,1,0,12,67.94,881-38,11545,2
1989,2011,시흥동,"3,500",현대빌라,1,0,13,25.44,982,11545,1
2010,2011,시흥동,"13,000",선경자이빌,1,0,15,43.57,951-10,11545,4
1983,2011,시흥동,"7,500",은성연립나동,1,0,17,52.54,976,11545,2
1989,2011,시흥동,"6,500",현대빌라,1,0,17,39.48,982,11545,3
2009,2011,시흥동,"9,700",경남빌,1,0,18,39.14,822-2,11545,4
2003,2011,시흥동,"11,000",하이코힐하우스 B동,1,0,18,52.33,169-22,11545,4
2003,2011,시흥동,"3,000",토담,1,35,19,53.94,863-20,11545,1
1984,2011,시흥동,"10,000",대흥,1,0,19,72.35,1003,11545,3
1987,2011,시흥동,"8,000",유림빌라맨숀,1,0,19,48.24,973-4,11545,3
1989,2011,시흥동,"6,500",현대빌라,1,0,20,39.48,982,11545,2
1992,2011,시흥동,"6,500",진흥빌라B,1,0,21,35.04,3-203,11545,2
1989,2011,시흥동,"3,000",현대빌라,1,30,22,39.48,982,11545,3
2002,2011,시흥동,"10,000",백운 아이닉스,1,0,22,46.32,200-1,11545,2
2005,2011,시흥동,"12,000",에덴하우스,1,0,25,62.96,793-5,11545,5
1983,2011,시흥동,"6,300",대도연립B동,1,0,25,46.64,974-8,11545,1
1996,2011,시흥동,"10,000",백운빌라,1,0,26,68,918-13,11545,2
2008,2011,시흥동,"12,000",두림에이스빌,1,0,26,61.9,871-35,11545,2
1987,2011,시흥동,"4,500",대흥 4동,1,0,27,35.46,797-35,11545,2
1989,2011,시흥동,"7,200",현대빌라,1,3,27,39.48,982,11545,2
1982,2011,시흥동,"6,500",미도2동,1,0,28,36.53,950-11,11545,2
1989,2011,시흥동,"2,000",현대빌라,1,40,29,39.48,982,11545,2
1995,2011,시흥동,"10,000",하나맨션,1,0,31,84.15,945,11545,1
2002,2011,시흥동,"9,000",평주빌라,1,0,31,60.92,3-35,11545,2
2002,2011,가산동,"2,800",원평 6차,2,77,1,69.55,239-2,11545,6
1991,2011,가산동,"10,000",봉암빌라 다라동,2,0,12,60,237-120,11545,2
1984,2011,가산동,"6,000",우창,2,0,14,54,547-44,11545,1
1992,2011,가산동,"7,500",영화빌라3동(149-47),2,0,15,39.33,149-47,11545,2
2002,2011,가산동,"6,000",원평10차,2,40,17,68.14,238-80,11545,3
1990,2011,가산동,"8,000",진양빌라 1-2동,2,0,24,36.23,235-73,11545,3
2001,2011,가산동,"9,000",원평 7차,2,0,24,40.55,239-21,11545,3
1996,2011,독산동,"8,000",그린빌라(180-31),2,0,4,43.46,180-31,11545,1
1991,2011,독산동,"11,000",(광진빌라),2,0,5,52.07,974-11,11545,1
1990,2011,독산동,"7,000",종오빌라,2,0,7,54.72,1043-47,11545,-1
2003,2011,독산동,"12,500",다복아트빌A,2,0,8,68.94,963-19,11545,2
1991,2011,독산동,"9,000",한강빌라B,2,0,9,51.12,885-24,11545,1
2002,2011,독산동,"13,000",미르빌,2,0,11,58.84,1025-6,11545,5
1991,2011,독산동,"10,000",동광빌라1,2,0,12,40.45,902-14,11545,2
1997,2011,독산동,"9,500",동경빌라,2,0,12,58.76,378-51,11545,1
2002,2011,독산동,"9,000",칠성아트빌,2,0,12,36.49,378-334,11545,4
2009,2011,독산동,"13,000",골든위브빌,2,0,14,71.64,1006-75,11545,2
2002,2011,독산동,"14,000",석원에버빌105동,2,0,14,67.25,1014-16,11545,4
1991,2011,독산동,"10,000",(현대빌라),2,0,14,55.44,929-4,11545,1
2002,2011,독산동,"8,000",(918-2),2,0,14,62.74,918-2,11545,4
2001,2011,독산동,"12,000",(1063-8),2,0,15,59.52,1063-8,11545,2
2003,2011,독산동,"13,000",예일하이츠B동,2,0,15,75.84,1052-13,11545,2
1997,2011,독산동,"4,000",(234-41),2,55,15,51.22,234-41,11545,2
2002,2011,독산동,"10,000",삼성아르빌A,2,0,16,45.34,1057-8,11545,3
2002,2011,독산동,"7,500",월드아트빌(1017-3),2,35,16,56.9,1017-3,11545,2
1999,2011,독산동,"7,000",(정우빌리지),2,0,16,54.31,1051-27,11545,-1
1981,2011,독산동,"6,000",(1009-8),2,0,17,119.66,1009-8,11545,1
2003,2011,독산동,"2,000",화인빌라(918-11),2,45,17,36.68,918-11,11545,2
2002,2011,독산동,"3,000",금호타운(378-502),2,48,17,52.58,378-502,11545,3
2003,2011,독산동,"12,000",금용빌라,2,0,18,55.04,144-12,11545,2
2004,2011,독산동,"8,000",삼성빌라(378-85),2,10,18,58.11,378-85,11545,-1
1999,2011,독산동,"11,000",(정우빌리지),2,0,20,58.81,1051-27,11545,2
1980,2011,독산동,"7,000",대성연립가동나동다동,2,0,21,58.51,302-5,11545,1
1986,2011,독산동,"4,500",미림주택3동(890-36),2,0,21,44.94,890-36,11545,
1994,2011,독산동,"9,000",(1058-5),2,0,21,69.7,1058-5,11545,2
2003,2011,독산동,"9,000",(상훈빌라트),2,0,22,45.48,971-13,11545,2
2002,2011,독산동,"11,500",예울아트빌,2,0,23,62.08,234-16,11545,3
1995,2011,독산동,"2,500",대우주택,2,40,23,39.51,1066-19,11545,4
1995,2011,독산동,"10,000",대우주택,2,0,24,53.22,1066-19,11545,4
1990,2011,독산동,"8,000",정우빌라(1016-11),2,0,24,54.85,1016-11,11545,2
2009,2011,독산동,"10,000",엠버하우스2차(925-3),2,20,26,67.44,925-3,11545,1
1976,2011,독산동,"9,000",삼광(146-10),2,0,26,47.11,146-10,11545,2
1993,2011,독산동,"12,000",(건보빌라),2,0,26,53.46,1024-6,11545,2
2003,2011,독산동,"10,000",삼성아트빌,2,0,28,74.22,994-19,11545,5
1989,2011,독산동,"6,000","두산빌라1동,2동",2,10,28,32.68,1006-116,11545,1
2011,2011,독산동,"13,000",지오빌비동,2,0,28,38.63,986-2,11545,4
1987,2011,독산동,"8,000",신혼빌라(890-2),2,0,28,39.395,890-2,11545,
1982,2011,시흥동,"6,500",미도연립11동,2,0,1,42.04,959-3,11545,3
1987,2011,시흥동,"7,000",유호빌라,2,0,1,48.12,1-70,11545,1
1994,2011,시흥동,"7,000",우성빌라,2,0,4,60.58,3-24,11545,3
2002,2011,시흥동,"11,500",다솔빌리지,2,0,5,51.05,933-64,11545,2
