건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2003,2011,(237-16),가산동,"2,000",금천구,1,30,9,17.02,237-16,11545,5
2003,2011,(237-16),가산동,"7,000",금천구,1,0,11,26.76,237-16,11545,9
2003,2011,(237-16),가산동,"2,000",금천구,1,30,17,17.48,237-16,11545,8
2003,2011,(237-16),가산동,"6,500",금천구,1,0,24,22.84,237-16,11545,8
2003,2011,(237-16),가산동,"1,000",금천구,1,38,27,17.02,237-16,11545,2
2003,2011,(237-16),가산동,"1,500",금천구,1,35,29,17.48,237-16,11545,6
2004,2011,(333-2),독산동,"9,000",금천구,1,0,6,32.39,333-2,11545,6
2005,2011,메이씨티 오피스텔,독산동,"7,000",금천구,1,50,8,53.19,289-12,11545,9
2004,2011,(333-2),독산동,"3,000",금천구,1,30,8,28.93,333-2,11545,7
2003,2011,씨티오피스텔,독산동,"1,500",금천구,1,40,13,23.37,332-24,11545,4
2001,2011,독산동주상복합,독산동,"8,000",금천구,1,0,14,44,303-1,11545,3
2004,2011,(333-2),독산동,"8,000",금천구,1,0,15,34.47,333-2,11545,3
2005,2011,우정오피스텔,독산동,"5,500",금천구,1,0,21,24.2,331-4,11545,3
2005,2011,메이씨티 오피스텔,독산동,"3,000",금천구,1,90,23,53.19,289-12,11545,6
2004,2011,(333-2),독산동,"8,500",금천구,1,0,25,44.19,333-2,11545,5
2003,2011,씨티오피스텔,독산동,300,금천구,1,52,27,23.37,332-24,11545,2
2004,2011,(333-2),독산동,"3,000",금천구,1,50,28,44.24,333-2,11545,3
2004,2011,(333-2),독산동,"6,500",금천구,1,0,29,32.7,333-2,11545,5
2003,2011,HEY NEST,시흥동,"1,000",금천구,1,45,3,20.14,998-10,11545,4
2003,2011,도일산호시티빌,시흥동,"3,000",금천구,1,40,6,37.8,999-1,11545,9
2003,2011,HEY NEST,시흥동,"5,500",금천구,1,0,26,20.14,998-10,11545,8
2005,2011,산들파크빌5,시흥동,"6,000",금천구,1,0,31,29.25,992-65,11545,4
2003,2011,(237-16),가산동,"5,000",금천구,2,0,5,17.48,237-16,11545,5
2008,2011,해찬행복드림,가산동,"3,000",금천구,2,28,10,25.57,153-9,11545,2
2003,2011,(237-16),가산동,"5,000",금천구,2,0,11,17.02,237-16,11545,2
2004,2011,공간오피스텔,가산동,"2,500",금천구,2,27,14,16.66,237-9,11545,4
2004,2011,공간오피스텔,가산동,"3,000",금천구,2,25,15,20.68,237-9,11545,4
2004,2011,공간오피스텔,가산동,"1,000",금천구,2,43,16,17.81,237-9,11545,4
2003,2011,(237-16),가산동,"5,000",금천구,2,0,20,17.02,237-16,11545,3
2008,2011,해찬행복드림,가산동,"2,000",금천구,2,60,21,25.57,153-9,11545,3
2008,2011,해찬행복드림,가산동,"7,000",금천구,2,0,21,23.88,153-9,11545,2
2003,2011,(237-16),가산동,"1,000",금천구,2,40,23,17.48,237-16,11545,8
2001,2011,독산동주상복합,독산동,"9,000",금천구,2,0,6,57.9,303-1,11545,4
2005,2011,우정오피스텔,독산동,"3,000",금천구,2,25,7,24.2,331-4,11545,4
2005,2011,우정오피스텔,독산동,"5,500",금천구,2,0,7,24.2,331-4,11545,6
2004,2011,삼부르네상스플러스,독산동,"3,000",금천구,2,23,8,21.54,953,11545,15
2004,2011,삼부르네상스플러스,독산동,"7,000",금천구,2,0,12,18.81,953,11545,4
2004,2011,삼부르네상스플러스,독산동,"7,000",금천구,2,0,13,21.54,953,11545,4
2001,2011,독산동주상복합,독산동,"7,000",금천구,2,0,16,32.85,303-1,11545,4
2004,2011,삼부르네상스플러스,독산동,"2,500",금천구,2,35,16,21.54,953,11545,4
2005,2011,우정오피스텔,독산동,"1,000",금천구,2,45,19,25.07,331-4,11545,6
