건축년도,계약면적,년,법정동,보증금액,월,월세금액,일,지역코드
1989,64.71,2011,노량진동,500,1,48,2,11590
1991,67.74,2011,노량진동,"12,000",1,0,2,11590
1994,25,2011,노량진동,"2,000",1,45,3,11590
1993,32.4,2011,노량진동,"4,000",1,20,3,11590
,89.28,2011,노량진동,"6,000",1,0,3,11590
1992,15,2011,노량진동,"5,000",1,0,3,11590
1971,15,2011,노량진동,"5,000",1,0,3,11590
1996,45,2011,노량진동,"8,000",1,0,4,11590
1985,25.62,2011,노량진동,"3,000",1,0,4,11590
1991,18,2011,노량진동,500,1,28,5,11590
1991,32,2011,노량진동,"5,000",1,0,5,11590
1993,91.35,2011,노량진동,500,1,30,5,11590
1965,45,2011,노량진동,"5,500",1,0,6,11590
1987,15,2011,노량진동,"1,500",1,32,6,11590
2007,40,2011,노량진동,"1,000",1,50,8,11590
1992,62.25,2011,노량진동,"2,000",1,45,8,11590
1994,43.72,2011,노량진동,500,1,35,8,11590
1994,20,2011,노량진동,500,1,30,10,11590
1992,67.85,2011,노량진동,"1,500",1,40,10,11590
1996,19.2,2011,노량진동,500,1,28,10,11590
1968,40.99,2011,노량진동,"1,000",1,50,10,11590
1992,108.45,2011,노량진동,"5,000",1,0,10,11590
1987,15,2011,노량진동,"1,000",1,42,10,11590
1996,73.25,2011,노량진동,"11,000",1,0,10,11590
1994,79.17,2011,노량진동,"14,000",1,0,11,11590
1989,54.63,2011,노량진동,"7,000",1,0,11,11590
1988,10,2011,노량진동,"2,000",1,26,12,11590
1991,30.94,2011,노량진동,600,1,38,13,11590
1996,49.5,2011,노량진동,"4,500",1,0,13,11590
1963,22.68,2011,노량진동,"7,000",1,0,14,11590
1991,81.97,2011,노량진동,"8,000",1,0,14,11590
1997,52,2011,노량진동,"2,500",1,55,14,11590
1984,23.14,2011,노량진동,"2,000",1,55,15,11590
1988,49.58,2011,노량진동,"3,000",1,30,15,11590
1986,21,2011,노량진동,"7,000",1,0,17,11590
1990,35.2,2011,노량진동,"2,000",1,30,17,11590
1991,63.8,2011,노량진동,"3,000",1,50,18,11590
1992,33.5,2011,노량진동,"4,000",1,0,18,11590
1972,20,2011,노량진동,"5,500",1,0,20,11590
1990,16.52,2011,노량진동,"2,000",1,35,20,11590
1988,15,2011,노량진동,"2,500",1,30,20,11590
1991,36,2011,노량진동,"1,000",1,0,21,11590
1996,27.97,2011,노량진동,"5,000",1,0,21,11590
1993,53.01,2011,노량진동,"8,000",1,0,22,11590
1983,35.9,2011,노량진동,"6,000",1,0,24,11590
1997,13,2011,노량진동,500,1,48,24,11590
1989,10,2011,노량진동,"4,500",1,0,24,11590
2015,33,2011,노량진동,"2,500",1,0,24,11590
1996,99.18,2011,노량진동,"16,000",1,0,25,11590
1986,15,2011,노량진동,500,1,50,26,11590
1996,55,2011,노량진동,"12,000",1,0,28,11590
1993,54,2011,노량진동,"5,000",1,20,28,11590
1994,34.33,2011,노량진동,"1,500",1,40,28,11590
1992,13.2,2011,노량진동,"5,000",1,0,29,11590
1988,15,2011,노량진동,"4,000",1,15,29,11590
1986,12,2011,노량진동,"3,000",1,25,29,11590
1990,42.57,2011,노량진동,"10,000",1,0,29,11590
1997,30,2011,노량진동,"1,000",1,45,30,11590
1990,16.52,2011,노량진동,"1,000",1,47,30,11590
1966,50,2011,노량진동,"5,000",1,0,30,11590
1988,36,2011,노량진동,"3,000",1,22,31,11590
1992,13,2011,노량진동,"4,200",1,0,31,11590
1994,62,2011,상도동,"5,400",1,0,3,11590
2001,26.4,2011,상도동,"2,000",1,30,3,11590
1970,44.96,2011,상도동,500,1,30,3,11590
2009,16,2011,상도동,"1,000",1,49,3,11590
2010,16,2011,상도동,"5,500",1,0,3,11590
,18,2011,상도동,"6,000",1,0,3,11590
2010,15.15,2011,상도동,"3,000",1,30,3,11590
2009,10,2011,상도동,"2,000",1,20,3,11590
1976,84.14,2011,상도동,"11,000",1,0,4,11590
2016,46.6,2011,상도동,"4,500",1,20,6,11590
1991,64.14,2011,상도동,"13,000",1,0,6,11590
1991,37,2011,상도동,"7,500",1,0,6,11590
1990,71.13,2011,상도동,"3,700",1,0,6,11590
1996,48,2011,상도동,"7,500",1,10,6,11590
2008,16,2011,상도동,"5,200",1,0,6,11590
1984,36,2011,상도동,"3,000",1,0,7,11590
2006,25,2011,상도동,"5,000",1,0,7,11590
1996,58.16,2011,상도동,"6,500",1,0,7,11590
1984,18,2011,상도동,"1,000",1,10,7,11590
2011,131.2,2011,상도동,"12,000",1,0,7,11590
1993,48.6,2011,상도동,"7,500",1,0,7,11590
1981,32.37,2011,상도동,500,1,35,8,11590
1994,20,2011,상도동,"5,000",1,35,8,11590
2008,16,2011,상도동,"3,000",1,25,8,11590
1993,30,2011,상도동,"3,000",1,0,8,11590
2018,53.14,2011,상도동,"5,500",1,20,8,11590
2009,16,2011,상도동,"2,000",1,45,8,11590
2009,15,2011,상도동,"4,000",1,0,8,11590
2011,65.42,2011,상도동,"17,000",1,0,8,11590
1994,56.49,2011,상도동,"8,000",1,0,8,11590
1990,26.44,2011,상도동,500,1,30,8,11590
2011,49.58,2011,상도동,"12,500",1,0,8,11590
2008,18,2011,상도동,"6,000",1,0,10,11590
1995,73.41,2011,상도동,"8,000",1,20,10,11590
1996,19,2011,상도동,"5,000",1,0,10,11590
1989,34.7,2011,상도동,"4,000",1,0,10,11590
2006,22.66,2011,상도동,"3,000",1,0,10,11590
1992,36.91,2011,상도동,"4,000",1,20,10,11590
2008,13.2,2011,상도동,"3,600",1,20,11,11590
