건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
1997,2011,노량진동,"28,000",우성,1,0,3,124.77,323,11590,18
2001,2011,노량진동,"2,000",신동아리버파크,1,150,3,84.88,325,11590,5
2010,2011,노량진동,"24,000",쌍용예가,1,0,6,59.957,332,11590,2
2001,2011,노량진동,"23,000",신동아리버파크,1,0,7,84.88,325,11590,21
2001,2011,노량진동,"23,000",신동아리버파크,1,0,8,84.88,325,11590,18
2001,2011,노량진동,"19,500",신동아리버파크,1,0,8,59.67,325,11590,23
2001,2011,노량진동,"20,000",신동아리버파크,1,0,8,59.67,325,11590,6
2001,2011,노량진동,"24,500",신동아리버파크,1,0,9,84.88,325,11590,16
2001,2011,노량진동,"23,500",신동아리버파크,1,0,10,84.88,325,11590,24
2001,2011,노량진동,"20,000",형인한강,1,0,10,76.05,331,11590,10
2005,2011,노량진동,"22,000",벧엘ForZoom,1,0,11,76.31,315-13,11590,4
1997,2011,노량진동,"29,000",우성,1,0,12,59.82,323,11590,12
1997,2011,노량진동,"24,000",건영(103동-106동),1,0,12,84.94,324,11590,16
2010,2011,노량진동,"15,000",쌍용예가,1,80,13,84.913,332,11590,5
2005,2011,노량진동,"18,000",벧엘ForZoom,1,0,14,76.31,315-13,11590,3
1997,2011,노량진동,"27,000",건영(103동-106동),1,0,14,114.96,324,11590,12
2001,2011,노량진동,"5,000",신동아리버파크,1,0,15,59.67,325,11590,1
1997,2011,노량진동,"10,000",우성,1,0,16,124.77,323,11590,1
1997,2011,노량진동,"9,000",우성,1,90,17,84.96,323,11590,14
2001,2011,노량진동,"1,123",SH Ville(임대),1,15,18,32.76,326,11590,5
1997,2011,노량진동,"23,000",건영(103동-106동),1,0,19,84.94,324,11590,8
1997,2011,노량진동,"21,500",우성,1,0,20,84.96,323,11590,15
2001,2011,노량진동,"29,000",신동아리버파크,1,0,21,114.75,325,11590,4
2001,2011,노량진동,"27,000",신동아리버파크,1,0,22,84.88,325,11590,12
2001,2011,노량진동,"20,000",신동아리버파크,1,0,22,59.67,325,11590,12
