건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
2003,2011,봉천동,"20,000",관악드림(삼성),1,0,1,84.96,1712,11620,12
2003,2011,봉천동,"17,000",관악드림(삼성),1,0,1,59.83,1712,11620,26
2000,2011,봉천동,"25,000",봉천우성,1,0,1,84.96,1706,11620,12
2003,2011,봉천동,"16,000",새진 (1653-10),1,0,1,58.82,1653-10,11620,5
2004,2011,봉천동,"3,000",관악푸르지오,1,90,2,59.58,1717,11620,18
1992,2011,봉천동,"1,500",현대(관악),1,25,2,116.72,1000,11620,1
2003,2011,봉천동,"5,000",관악드림(동아),1,70,2,59.85,1712,11620,4
2003,2011,봉천동,614,관악드림타운(임대),1,9,3,32.76,1712-1,11620,15
2004,2011,봉천동,"3,040",관악푸르지오(임대),1,0,3,32.37,1717-1,11620,4
2003,2011,봉천동,"23,000",관악드림(삼성),1,0,3,84.96,1712,11620,2
2005,2011,봉천동,"11,000",벽산블루밍,1,0,3,59.99,1718,11620,21
2003,2011,봉천동,"1,031",관악드림타운(임대),1,14,3,32.76,1712-1,11620,9
2000,2011,봉천동,"26,000",두산,1,0,3,84.87,1708,11620,16
2000,2011,봉천동,"26,000",봉천우성,1,0,3,114.78,1706,11620,12
1992,2011,봉천동,"17,000",현대(관악),1,0,3,68.8,1000,11620,7
2003,2011,봉천동,"3,000",관악드림(삼성),1,120,4,84.96,1712,11620,12
1992,2011,봉천동,"15,000",현대(관악),1,0,4,58.59,1000,11620,3
2000,2011,봉천동,"26,000",봉천동아,1,0,4,114.69,1703,11620,4
2003,2011,봉천동,614,관악드림타운(임대),1,9,4,32.76,1712-1,11620,17
2003,2011,봉천동,614,관악드림타운(임대),1,9,4,32.76,1712-1,11620,5
1999,2011,봉천동,"12,000",동아타운,1,0,4,28.8,1629-2,11620,13
2004,2011,봉천동,"3,040",관악푸르지오(임대),1,0,5,32.37,1717-1,11620,4
2000,2011,봉천동,"18,500",봉천우성,1,0,5,59.76,1706,11620,7
2004,2011,봉천동,"21,000",관악푸르지오,1,0,5,59.58,1717,11620,16
1998,2011,봉천동,"15,000",인헌,1,0,5,59.75,1725,11620,1
1996,2011,봉천동,"20,000",보라매삼성,1,0,5,84.84,1698-1,11620,2
2000,2011,봉천동,"16,000",두산,1,0,5,59.92,1708,11620,7
2005,2011,봉천동,"5,000",벽산블루밍,1,70,6,59.99,1718,11620,20
1988,2011,봉천동,"20,000",낙성대현대아파트,1,0,6,61.74,179-58,11620,9
2003,2011,봉천동,"10,000",관악드림(동아),1,100,6,114.75,1712,11620,1
2005,2011,봉천동,"26,000",벽산블루밍,1,0,6,114.97,1718,11620,14
2003,2011,봉천동,"17,500",관악드림(동아),1,0,6,60,1712,11620,6
2003,2011,봉천동,"25,500",관악드림(동아),1,0,6,114.75,1712,11620,8
2004,2011,봉천동,"13,000",관악푸르지오,1,42,7,59.58,1717,11620,12
1992,2011,봉천동,"16,000",현대(관악),1,0,7,68.8,1000,11620,8
2005,2011,봉천동,"20,500",새진8차,1,0,7,84.88,180-422,11620,1
2003,2011,봉천동,"26,000",관악드림(동아),1,0,7,114.75,1712,11620,4
2003,2011,봉천동,"23,000",관악드림(삼성),1,0,7,84.96,1712,11620,7
2003,2011,봉천동,"20,000",관악드림(동아),1,0,7,102,1712,11620,22
2000,2011,봉천동,"10,000",봉천우성,1,45,7,59.76,1706,11620,8
2000,2011,봉천동,"23,000",두산,1,0,8,59.89,1708,11620,4
1996,2011,봉천동,"7,000",선경,1,50,8,50.49,1697,11620,3
2004,2011,봉천동,"10,000",관악푸르지오,1,0,8,84.75,1717,11620,6
1998,2011,봉천동,"5,000",관악캠퍼스타워,1,50,8,40.56,875-1,11620,10
2004,2011,봉천동,"20,000",벽산블루밍3차,1,0,8,83.87,1720,11620,1
2005,2011,봉천동,"20,000",벽산블루밍,1,0,8,84.99,1718,11620,13
2001,2011,봉천동,"24,000",은천1,1,0,8,84.65,1707,11620,1
2000,2011,봉천동,"16,000",봉천우성,1,0,8,59.76,1706,11620,24
2000,2011,봉천동,"19,000",봉천우성,1,0,8,59.76,1706,11620,3
2004,2011,봉천동,"20,500",관악푸르지오,1,0,8,59.58,1717,11620,14
2010,2011,봉천동,"33,000",관악위버폴리스,1,0,8,107.08,859-17,11620,17
2003,2011,봉천동,"20,000",관악드림(삼성),1,0,8,60,1712,11620,16
2003,2011,봉천동,"22,000",관악드림(동아),1,0,9,84.96,1712,11620,23
2001,2011,봉천동,"25,500",은천1,1,0,9,84.65,1707,11620,15
2005,2011,봉천동,"3,028",벽산블루밍(임대),1,0,10,32.92,1718-1,11620,6
1996,2011,봉천동,"20,000",보라매삼성,1,0,10,84.84,1698-1,11620,1
1998,2011,봉천동,"10,000",관악캠퍼스타워,1,0,10,35.76,875-1,11620,15
2000,2011,봉천동,"17,500",봉천우성,1,0,10,59.76,1706,11620,8
2000,2011,봉천동,"16,000",은천2단지아파트,1,20,10,59.93,1707-1,11620,8
1996,2011,봉천동,"20,000",보라매삼성,1,0,10,84.84,1698-1,11620,13
2003,2011,봉천동,"18,000",관악드림(동아),1,0,10,59.85,1712,11620,24
2000,2011,봉천동,"16,000",은천2단지아파트,1,0,10,59.93,1707-1,11620,8
2000,2011,봉천동,"28,000",두산,1,0,10,114.99,1708,11620,4
2005,2011,봉천동,"24,000",브라운스톤관악,1,0,10,84.41,1721,11620,11
2000,2011,봉천동,"5,000",봉천동아,1,120,10,84.87,1703,11620,17
1999,2011,봉천동,"28,000",건영6,1,0,10,82.75,1701,11620,19
2005,2011,봉천동,"18,500",벽산블루밍,1,0,10,59.99,1718,11620,16
2001,2011,봉천동,"25,000",은천1,1,0,10,84.65,1707,11620,7
2003,2011,봉천동,"16,000",로마아트빌,1,0,11,84.47,635-457,11620,7
2000,2011,봉천동,"22,500",봉천동아,1,0,11,84.87,1703,11620,10
1999,2011,봉천동,"18,000",건영6,1,0,11,49.21,1701,11620,6
2004,2011,봉천동,"25,000",관악푸르지오,1,0,11,84.75,1717,11620,12
1992,2011,봉천동,"16,000",현대(관악),1,0,11,58.59,1000,11620,13
2004,2011,봉천동,"4,000",은선파인빌,1,80,11,75.27,464-41,11620,5
2005,2011,봉천동,"24,000",제창그로힐,1,0,11,82.97,1722,11620,5
2004,2011,봉천동,"25,000",낙성대늘푸른,1,0,11,96.92,1690-164,11620,3
2005,2011,봉천동,"20,000",벽산블루밍,1,0,11,101.95,1718,11620,18
2000,2011,봉천동,"29,000",두산,1,0,11,114.99,1708,11620,1
2004,2011,봉천동,"16,500",관악푸르지오,1,15,11,59.58,1717,11620,10
2002,2011,봉천동,"26,000",낙성대현대홈타운,1,0,11,84.923,1713,11620,5
1999,2011,봉천동,"5,000",신봉,1,60,11,59.75,1705,11620,11
2003,2011,봉천동,"20,000",관악드림(삼성),1,0,11,84.96,1712,11620,14
1996,2011,봉천동,"19,000",보라매삼성,1,0,11,84.84,1698-1,11620,13
2003,2011,봉천동,"22,000",관악드림(삼성),1,0,11,84.96,1712,11620,4
2003,2011,봉천동,"19,000",관악드림(삼성),1,0,11,84.96,1712,11620,8
2005,2011,봉천동,"23,500",대안그린,1,0,12,72.53,926-2,11620,6
2004,2011,봉천동,"22,000",관악동부센트레빌,1,0,12,59.75,1719,11620,12
2005,2011,봉천동,"23,000",벽산블루밍,1,0,12,114.97,1718,11620,7
2000,2011,봉천동,"27,000",봉천우성,1,0,12,114.78,1706,11620,11
2000,2011,봉천동,"24,000",봉천동아,1,0,12,114.69,1703,11620,9
2004,2011,봉천동,"21,000",관악푸르지오,1,0,12,59.58,1717,11620,16
2003,2011,봉천동,"23,000",관악드림(동아),1,0,13,84.96,1712,11620,19
2004,2011,봉천동,"23,000",관악푸르지오,1,0,13,84.75,1717,11620,3
2004,2011,봉천동,"10,000",관악푸르지오,1,50,13,59.58,1717,11620,10
2004,2011,봉천동,"26,000",관악푸르지오,1,0,13,84.75,1717,11620,5
2005,2011,봉천동,"18,500",벽산블루밍,1,0,13,59.99,1718,11620,6
2005,2011,봉천동,"5,000",벽산블루밍,1,70,13,59.99,1718,11620,14
2005,2011,봉천동,"16,500",벽산블루밍,1,35,13,84.99,1718,11620,9
2002,2011,봉천동,"3,000",봉천동,1,60,13,64.99,673-82,11620,4
1988,2011,봉천동,"30,000",낙성대현대아파트,1,0,13,136.11,179-58,11620,4
2000,2011,봉천동,"23,000",봉천우성,1,0,13,84.96,1706,11620,5
2000,2011,봉천동,"21,000",두산,1,0,13,59.92,1708,11620,5
2000,2011,봉천동,"25,000",봉천우성,1,0,14,114.78,1706,11620,14
2000,2011,봉천동,"24,000",봉천우성,1,0,14,84.96,1706,11620,2
2000,2011,봉천동,"15,500",은천2단지아파트,1,0,14,49.95,1707-1,11620,3
2006,2011,봉천동,"30,000",서울대입구아이원 (1560-61),1,0,14,113.53,1560-61,11620,14
2004,2011,봉천동,"4,000",관악푸르지오,1,95,14,59.58,1717,11620,8
1996,2011,봉천동,"22,000",보라매삼성,1,0,14,84.84,1698-1,11620,4
1995,2011,봉천동,"17,000",보라매우성,1,0,14,58.86,1696,11620,21
2005,2011,봉천동,"18,500",벽산블루밍,1,0,14,59.99,1718,11620,11
2005,2011,봉천동,"23,000",관악월드메르디앙,1,0,14,79.27,1724,11620,3
1996,2011,봉천동,500,해태보라매타워,1,100,14,59.94,729-32,11620,18
1998,2011,봉천동,"10,000",낙성대현대(296),1,70,15,59.78,296,11620,6
2004,2011,봉천동,"3,500",관악푸르지오,1,100,15,59.58,1717,11620,18
2004,2011,봉천동,"21,000",관악푸르지오,1,0,15,59.58,1717,11620,4
2000,2011,봉천동,"20,500",두산,1,0,15,59.92,1708,11620,18
2003,2011,봉천동,"18,500",관악드림(동아),1,0,15,59.85,1712,11620,15
2005,2011,봉천동,"7,000",벽산블루밍,1,120,15,101.95,1718,11620,10
2004,2011,봉천동,"19,000",관악푸르지오,1,0,15,59.58,1717,11620,3
1992,2011,봉천동,"18,000",현대(관악),1,0,15,68.8,1000,11620,8
2004,2011,봉천동,"24,000",아이펠리스,1,0,15,111.78,179-2,11620,1
2003,2011,봉천동,"17,000",관악드림(동아),1,0,15,59.85,1712,11620,3
