건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
1992,2011,봉천동,"3,500",동신골드빌라,1,0,3,30.48,649-63,11620,
2003,2011,봉천동,"5,800",현빌리지,1,0,3,19.35,196-282,11620,2
2008,2011,봉천동,"10,000",해피안빌리지(908-1),1,30,3,41.96,908-1,11620,3
2006,2011,봉천동,"5,000",창경원,1,55,3,41.83,1648-23,11620,5
2010,2011,봉천동,"13,000",보금자리,1,0,3,43.12,173-50,11620,4
2002,2011,봉천동,"6,000",천일하이츠2차,1,20,3,35.15,900-101,11620,-1
1993,2011,봉천동,"2,500",태광빌라,1,50,4,45.54,1514-4,11620,2
1988,2011,봉천동,"7,000",삼화주택(1513-7),1,11,4,40.05,1513-7,11620,2
2005,2011,봉천동,"17,000",로제하우스7차,1,0,4,63.78,196-155,11620,3
1985,2011,봉천동,"9,000",봉천훼미리빌라 (가동),1,0,4,59.22,산101-336,11620,1
1982,2011,봉천동,"4,000",송이빌라나동,1,50,5,65.68,148-148,11620,3
1998,2011,봉천동,"12,000",동진빌라(180-138),1,0,5,72.52,180-138,11620,2
1994,2011,봉천동,"8,000",그린빌라,1,0,5,40.28,14-119,11620,4
1991,2011,봉천동,"14,000",대성아트빌라,1,0,6,76.94,1596-14,11620,3
2003,2011,봉천동,"12,000",청아하이츠,1,0,6,52.08,1644-17,11620,4
2007,2011,봉천동,"14,000",채움빌-아트,1,0,6,57.6,466-56,11620,4
2003,2011,봉천동,"14,000",두산리치빌,1,0,7,70.64,900-63,11620,
2003,2011,봉천동,"19,000",한양쉐르빌,1,0,7,88.14,719-5,11620,4
1996,2011,봉천동,"10,000",동광빌라,1,0,8,54.46,622-136,11620,4
2003,2011,봉천동,"4,200",현빌리지,1,0,8,19.35,196-282,11620,4
2003,2011,봉천동,"4,500",(196-90),1,55,8,35.64,196-90,11620,2
2002,2011,봉천동,"15,000",라인맨션5차,1,0,8,67.65,180-282,11620,4
2002,2011,봉천동,"2,000",(871-13),1,30,8,48.19,871-13,11620,4
2010,2011,봉천동,"18,000",트라움빌,1,0,8,65.54,180-68,11620,2
2006,2011,봉천동,"15,000",태성그랑빌5차,1,0,8,74.76,728-49,11620,3
2003,2011,봉천동,"10,000",백년빌라(946-7),1,0,8,39.73,946-7,11620,3
2003,2011,봉천동,"9,500",예광빌라,1,0,9,61.93,635-230,11620,5
1997,2011,봉천동,"26,000",경하아트빌라,1,0,9,123.03,1597-25,11620,3
2006,2011,봉천동,"6,000",(1510-39),1,50,9,79.22,1510-39,11620,4
1996,2011,봉천동,"6,000",킹스빌리지,1,40,9,37.41,196-239,11620,1
2006,2011,봉천동,"6,000",(1510-39),1,50,9,50,1510-39,11620,4
1986,2011,봉천동,"9,000",원당빌라,1,0,10,46.53,180-134,11620,2
1987,2011,봉천동,"10,000",관악그린빌라,1,0,10,53.44,1580-3,11620,1
2002,2011,봉천동,500,(932-15),1,35,10,18.66,932-15,11620,5
1982,2011,봉천동,"13,000",삼천리주택,1,0,10,69.12,1510-34,11620,1
1993,2011,봉천동,"15,000",양지맨션 (나)동,1,0,10,82.82,1536-6,11620,2
1982,2011,봉천동,"10,000",효신빌라,1,0,10,79.14,1535-10,11620,3
2008,2011,봉천동,"16,000",(661-112),1,0,11,61.29,661-112,11620,2
1989,2011,봉천동,"7,000",한독빌라,1,0,11,48.57,480-79,11620,
1990,2011,봉천동,"10,000",선린빌라,1,0,11,46.43,180-365,11620,2
2004,2011,봉천동,"16,500",신성하이츠,1,0,11,76.43,900-50,11620,2
1991,2011,봉천동,"5,000",(935-15),1,13,11,37.95,935-15,11620,3
1986,2011,봉천동,"9,000",(1533-33),1,0,11,62.64,1533-33,11620,
1994,2011,봉천동,"5,000",삼성빌라,1,0,11,30,635-123,11620,
1994,2011,봉천동,"11,000",성원빌라,1,0,12,54.28,180-253,11620,1
2003,2011,봉천동,"11,000",산호맨션C,1,0,12,34.65,100-315,11620,
2004,2011,봉천동,"15,000",(100-10),1,0,12,84.24,100-10,11620,2
1994,2011,봉천동,"5,300",(180-104),1,0,12,34.32,180-104,11620,
1993,2011,봉천동,"9,000",(1595-17),1,0,12,42.3,1595-17,11620,1
1986,2011,봉천동,"12,000",성신빌라,1,0,12,91.84,673-227,11620,1
1986,2011,봉천동,"11,000",성신빌라,1,0,12,91.84,673-227,11620,1
2003,2011,봉천동,"15,000",율포,1,0,12,60.81,1583-3,11620,1
1992,2011,봉천동,"10,000",동화빌라,1,0,12,50.22,649-181,11620,2
1996,2011,봉천동,"8,000",모산빌라,1,50,12,57.46,876-19,11620,2
2000,2011,봉천동,"14,000",세신주택(180-232),1,0,13,63.76,180-232,11620,1
2002,2011,봉천동,"17,000",은천파크빌2,1,0,13,61.07,180-9,11620,2
2003,2011,봉천동,"19,000",두산리치빌,1,0,13,70.64,900-63,11620,3
2008,2011,봉천동,"16,000",푸르빌8차,1,0,13,61.35,955-35,11620,3
1994,2011,봉천동,"3,000",삼성빌라,1,20,13,31.39,635-123,11620,1
2002,2011,봉천동,"6,000",청록아트빌2,1,0,14,20,916-7,11620,2
1977,2011,봉천동,"3,000",대진연립,1,0,14,25.36,1614-13,11620,1
1993,2011,봉천동,"9,000",평산B빌라,1,0,14,57.48,940-19,11620,
2003,2011,봉천동,"15,500",우성베스트빌(1515-10),1,0,15,70.66,1515-10,11620,1
1996,2011,봉천동,"13,000",세종빌라트,1,0,15,62.27,180-158,11620,2
1993,2011,봉천동,"5,000",경춘타운,1,0,15,50.24,180-443,11620,4
1992,2011,봉천동,"10,000",영광빌라,1,0,15,41.64,100-111,11620,3
1990,2011,봉천동,"8,000",성신빌라,1,0,15,57.24,935-29,11620,
2002,2011,봉천동,"4,500",진성빌라(1688-69),1,0,16,82.5,1688-69,11620,1
2002,2011,봉천동,"12,000",최상하이빌(1615-21),1,0,17,55.41,1615-21,11620,5
1987,2011,봉천동,"11,500",(1692-17),1,0,17,54.93,1692-17,11620,1
1991,2011,봉천동,"11,000",성보빌라,1,0,17,45.76,41-173,11620,1
2001,2011,봉천동,"14,000",조은빌라,1,0,17,59.79,180-316,11620,3
2003,2011,봉천동,"9,000",백년빌라(946-7),1,0,17,35.14,946-7,11620,1
2002,2011,봉천동,"2,000",(871-13),1,30,18,19.93,871-13,11620,2
1988,2011,봉천동,"10,000",삼익맨션,1,0,18,57.92,635-529,11620,1
2002,2011,봉천동,"12,500",(1690-95),1,0,18,50.14,1690-95,11620,3
1990,2011,봉천동,"13,000",삼정하이츠빌라(라동),1,0,18,49.8,1646-51,11620,1
2003,2011,봉천동,"14,000",아진빌라2,1,0,18,70.28,635-151,11620,2
2003,2011,봉천동,"20,000",(1688-36),1,0,18,54.5,1688-36,11620,4
2003,2011,봉천동,"20,000",(1688-36),1,0,18,54.5,1688-36,11620,
1992,2011,봉천동,"15,000",초원빌라B,1,0,18,79.6,647-211,11620,2
2011,2011,봉천동,"8,000",(950-12),1,0,18,15.81,950-12,11620,3
2011,2011,봉천동,"8,000",(950-12),1,0,19,15.81,950-12,11620,2
1993,2011,봉천동,"13,000",성원빌라(1532-1),1,0,19,52.24,1532-1,11620,3
2000,2011,봉천동,"15,000",세신주택(180-232),1,0,19,63.76,180-232,11620,3
2003,2011,봉천동,"13,000",산호맨션C,1,0,19,38.8,100-315,11620,3
1991,2011,봉천동,"8,000",은형빌라C동,1,0,19,36.02,1532-4,11620,2
