건축년도,계약면적,년,법정동,보증금액,월,월세금액,일,지역코드
1996,33.91,2011,역삼동,"9,000",1,0,1,11680
,26.9,2011,역삼동,500,1,45,3,11680
2010,22,2011,역삼동,"8,500",1,0,3,11680
1988,29.7,2011,역삼동,"8,500",1,0,3,11680
2003,30,2011,역삼동,"9,500",1,0,4,11680
2010,107.24,2011,역삼동,"1,000",1,85,5,11680
1996,50,2011,역삼동,"13,000",1,0,5,11680
1995,136.45,2011,역삼동,"9,000",1,0,5,11680
1997,45.5,2011,역삼동,"5,000",1,50,5,11680
2001,51.75,2011,역삼동,"9,000",1,0,5,11680
2002,45.6,2011,역삼동,"12,000",1,0,5,11680
1996,58.75,2011,역삼동,"8,000",1,70,5,11680
2012,56.1,2011,역삼동,"12,000",1,0,6,11680
2010,23,2011,역삼동,"2,000",1,0,6,11680
1991,70,2011,역삼동,"1,000",1,70,6,11680
,40.76,2011,역삼동,"6,000",1,10,7,11680
1992,57,2011,역삼동,"1,000",1,90,7,11680
2010,54.38,2011,역삼동,"1,000",1,50,7,11680
1998,50.88,2011,역삼동,"4,000",1,50,7,11680
2010,25,2011,역삼동,"15,000",1,0,7,11680
1997,32.47,2011,역삼동,"8,000",1,0,7,11680
1996,67.23,2011,역삼동,"6,000",1,0,8,11680
2001,69,2011,역삼동,"14,000",1,0,9,11680
1995,29.75,2011,역삼동,"4,000",1,25,10,11680
1995,30,2011,역삼동,"7,000",1,0,10,11680
2002,38.13,2011,역삼동,"13,000",1,0,10,11680
1997,28.32,2011,역삼동,"1,000",1,65,10,11680
1996,33.91,2011,역삼동,"8,000",1,0,10,11680
2000,36.89,2011,역삼동,"3,000",1,60,10,11680
1988,24,2011,역삼동,"9,000",1,0,10,11680
1995,56.12,2011,역삼동,"15,000",1,0,10,11680
1996,66.12,2011,역삼동,"10,000",1,0,10,11680
1991,23,2011,역삼동,"1,000",1,55,10,11680
1996,44.03,2011,역삼동,"6,000",1,50,10,11680
1994,30.2,2011,역삼동,"5,500",1,5,11,11680
1996,25,2011,역삼동,"1,000",1,30,11,11680
1996,50,2011,역삼동,"8,500",1,0,12,11680
1995,45,2011,역삼동,"5,000",1,43,12,11680
1994,30,2011,역삼동,"5,000",1,15,12,11680
1991,243.9,2011,역삼동,"48,000",1,0,12,11680
2009,28.07,2011,역삼동,"10,000",1,0,12,11680
1993,34.3,2011,역삼동,"9,000",1,0,13,11680
1996,42.92,2011,역삼동,"10,500",1,0,13,11680
1996,42.92,2011,역삼동,"10,000",1,0,13,11680
2002,33,2011,역삼동,"8,500",1,0,13,11680
1996,27.52,2011,역삼동,"7,000",1,0,13,11680
2001,40,2011,역삼동,"9,000",1,10,14,11680
2003,131.81,2011,역삼동,"6,000",1,20,14,11680
1994,29.8,2011,역삼동,"4,500",1,0,14,11680
1992,33.05,2011,역삼동,"6,000",1,0,14,11680
1995,58.2,2011,역삼동,"7,000",1,20,14,11680
1990,65,2011,역삼동,"13,000",1,0,15,11680
1997,30,2011,역삼동,"4,000",1,60,15,11680
1997,28.21,2011,역삼동,"1,000",1,20,15,11680
2001,30,2011,역삼동,"1,000",1,50,16,11680
1996,82.64,2011,역삼동,"3,000",1,130,17,11680
1995,30,2011,역삼동,"8,450",1,0,17,11680
1995,40.8,2011,역삼동,"1,000",1,80,17,11680
2010,38,2011,역삼동,"12,000",1,0,18,11680
1991,82.89,2011,역삼동,"6,700",1,0,18,11680
1987,23.5,2011,역삼동,"5,000",1,0,18,11680
1997,53.5,2011,역삼동,"1,000",1,71,18,11680
1996,34.47,2011,역삼동,"9,300",1,0,18,11680
1995,39.6,2011,역삼동,"10,000",1,20,18,11680
1996,48.36,2011,역삼동,"2,000",1,80,18,11680
1995,30,2011,역삼동,"1,000",1,45,19,11680
1992,96.7,2011,역삼동,"23,000",1,0,19,11680
,131.28,2011,역삼동,500,1,60,19,11680
1991,48,2011,역삼동,"10,500",1,25,19,11680
2003,32.79,2011,역삼동,"11,000",1,0,19,11680
1997,30,2011,역삼동,"8,000",1,0,19,11680
1994,26.24,2011,역삼동,"4,000",1,50,20,11680
1996,36,2011,역삼동,"1,000",1,60,20,11680
1995,39.33,2011,역삼동,"10,000",1,0,21,11680
1997,33.1,2011,역삼동,"2,000",1,70,21,11680
1995,55,2011,역삼동,"3,300",1,70,21,11680
1996,43,2011,역삼동,"8,000",1,0,22,11680
2000,123.97,2011,역삼동,"1,000",1,64,23,11680
1995,50,2011,역삼동,500,1,55,23,11680
1998,30.52,2011,역삼동,"5,000",1,60,25,11680
1989,97.53,2011,역삼동,"18,000",1,0,25,11680
1994,40,2011,역삼동,"7,500",1,30,25,11680
1997,28.4,2011,역삼동,"3,000",1,10,25,11680
1995,46,2011,역삼동,"2,000",1,70,26,11680
1996,50,2011,역삼동,"15,000",1,0,27,11680
1986,40,2011,역삼동,"2,000",1,60,27,11680
2003,43.98,2011,역삼동,"3,000",1,43,27,11680
1997,28,2011,역삼동,"8,000",1,10,28,11680
1995,56.49,2011,역삼동,"10,000",1,0,28,11680
2000,53.3,2011,역삼동,"11,000",1,20,28,11680
2003,30.01,2011,역삼동,"3,000",1,40,28,11680
2010,65.33,2011,역삼동,"12,000",1,0,28,11680
1992,39.66,2011,역삼동,"1,000",1,75,28,11680
1993,57.15,2011,역삼동,"7,000",1,0,28,11680
1993,25,2011,역삼동,500,1,60,29,11680
,44.98,2011,역삼동,"14,000",1,0,29,11680
1997,31.91,2011,역삼동,"9,000",1,0,29,11680
1994,124.84,2011,역삼동,"2,000",1,160,30,11680
1997,36.11,2011,역삼동,"13,500",1,0,31,11680
1994,20,2011,역삼동,"3,000",1,0,31,11680
1996,30,2011,역삼동,"3,000",1,35,31,11680
2000,33,2011,개포동,"1,000",1,55,5,11680
1987,59.5,2011,개포동,"2,000",1,65,8,11680
1993,30,2011,개포동,"1,000",1,45,10,11680
1990,108,2011,개포동,"4,200",1,45,10,11680
1989,54.6,2011,개포동,"17,000",1,0,11,11680
1991,56,2011,개포동,"1,000",1,55,12,11680
1988,68.76,2011,개포동,"19,000",1,0,12,11680
,33,2011,개포동,"2,000",1,35,13,11680
1992,23.1,2011,개포동,"5,800",1,0,14,11680
1990,26,2011,개포동,"2,000",1,35,15,11680
1993,33.05,2011,개포동,"2,000",1,35,15,11680
1990,28,2011,개포동,"7,000",1,0,15,11680
1996,136.46,2011,개포동,"3,000",1,35,17,11680
