건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
2003,2011,역삼동,"20,000",베르사이유,1,0,1,115.15,725-13,11680,3
2010,2011,역삼동,"1,000",(834-53),1,50,1,84.41,834-53,11680,5
1997,2011,역삼동,"25,000",서광빌리지,1,0,1,77.5,743,11680,2
1996,2011,역삼동,"6,500",유진빌라,1,15,3,28.26,728-24,11680,3
2002,2011,역삼동,"14,000",호아빌라트,1,0,3,44.91,637-44,11680,2
2010,2011,역삼동,"13,000",가원빌,1,0,3,19.86,834-54,11680,4
2010,2011,역삼동,"12,000",역삼동 834-18 공동주택 (최원규),1,0,3,24.06,834-18,11680,2
2002,2011,역삼동,"14,000",모닝포유,1,0,4,51.02,723-24,11680,4
2009,2011,역삼동,"20,000",LILA VILL,1,0,5,39.85,658-14,11680,4
2009,2011,역삼동,"16,000",테라스,1,0,5,26.08,697-55,11680,5
1997,2011,역삼동,"1,000",금성빌라c동,1,50,5,22.94,766-17,11680,3
2010,2011,역삼동,"4,000",늘푸른집,1,60,5,26.46,834-56,11680,4
2002,2011,역삼동,"18,000",수목써미트빌,1,0,6,65.1,794-20,11680,3
2010,2011,역삼동,"12,000",역삼동 834-18 공동주택 (최원규),1,0,6,24.97,834-18,11680,3
2003,2011,역삼동,"6,000",h빌,1,0,6,21.84,780-12,11680,5
2002,2011,역삼동,500,다솜가,1,55,7,18.59,836-76,11680,4
2002,2011,역삼동,"10,000",한스빌,1,0,7,36.23,792-78,11680,2
2002,2011,역삼동,"3,000",(774-22),1,90,8,50.88,774-22,11680,2
2002,2011,역삼동,"20,000",(795-9),1,0,8,74.65,795-9,11680,4
2004,2011,역삼동,"4,000",KM빌딩,1,105,8,51.44,792-82,11680,4
2010,2011,역삼동,"5,000",(834-53),1,100,9,37.64,834-53,11680,4
1987,2011,역삼동,"3,000",대원빌라 가동,1,90,10,50.04,645,11680,2
2002,2011,역삼동,"11,000",(749-27),1,0,10,29.21,749-27,11680,3
1998,2011,역삼동,"2,000",뉴현대빌라(739-12),1,165,10,78.84,739-12,11680,3
2002,2011,역삼동,"10,000",(771-22),1,0,11,40.04,771-22,11680,2
2001,2011,역삼동,"7,000",(796-0),1,10,11,34.6,796,11680,2
2002,2011,역삼동,"9,500",모닝포유,1,0,12,55.57,723-24,11680,3
1980,2011,역삼동,"14,000",잉꼬빌라,1,0,12,59.97,674-2,11680,
2003,2011,역삼동,"15,000",토미하우스,1,0,13,49.66,655-22,11680,5
2002,2011,역삼동,"20,000",삼보빌딩,1,0,13,55.83,774,11680,3
2002,2011,역삼동,"19,000",삼보빌딩,1,0,13,55.83,774,11680,3
2005,2011,역삼동,"8,000",정연빌라(836-63),1,0,13,25.2,836-63,11680,3
2000,2011,역삼동,"1,500",효령하우스,1,60,13,25.34,733-3,11680,3
2002,2011,역삼동,"15,000",혜성빌라트,1,0,13,59.14,601-21,11680,4
2001,2011,역삼동,"14,000",안촌빌,1,20,14,48.79,660-3,11680,1
2010,2011,역삼동,"3,000",(794-8),1,50,14,25.85,794-8,11680,2
1986,2011,역삼동,"15,000",(601-25),1,0,14,54.9,601-25,11680,-1
2000,2011,역삼동,"3,000",성인빌라트,1,50,14,28.35,811-10,11680,1
2003,2011,역삼동,"12,000",SUNHOUSE,1,0,15,44.77,758-13,11680,3
1997,2011,역삼동,"1,000",(791-19),1,110,15,45.48,791-19,11680,2
1996,2011,역삼동,"6,000",유진빌라,1,40,15,36.06,728-24,11680,2
1994,2011,역삼동,"15,000",리빙하이츠(664-11),1,0,16,57.28,664-11,11680,2
2002,2011,역삼동,"2,000",진성빌라트,1,65,17,42.89,601-23,11680,4
2003,2011,역삼동,"16,000",(770-13),1,0,17,50.04,770-13,11680,6
1994,2011,역삼동,"12,000",한강빌라,1,50,17,77.39,663-2,11680,-1
2002,2011,역삼동,"8,000",심산하우스,1,0,17,48.3,663-6,11680,1
1983,2011,역삼동,"5,000",성도빌라,1,80,17,67.42,785-10,11680,3
