건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
1998,2011,강남뉴스텔,역삼동,"10,000",강남구,1,0,8,30.96,826-30,11680,9
2005,2011,에스케이허브젠,역삼동,"22,000",강남구,1,0,21,57.27,831-45,11680,15
2004,2011,역삼SK허브블루,역삼동,"14,000",강남구,1,0,26,35.34,831-40,11680,7
1991,2011,경원오피스텔,청담동,"7,000",강남구,1,0,4,22.77,5,11680,10
2003,2011,(46-3),청담동,"10,000",강남구,1,0,22,40.8,46-3,11680,6
2003,2011,대치동대우아이빌멤버스,대치동,"17,000",강남구,1,0,24,36.76,891-26,11680,5
2003,2011,세양 APEX-TOWER,논현동,"13,000",강남구,1,0,5,40.56,6-21,11680,7
2007,2011,강남파라곤,논현동,"10,000",강남구,1,100,5,55.21,241-1,11680,12
2006,2011,이안 논현,논현동,"35,000",강남구,1,0,5,115,277-36,11680,10
2003,2011,휴먼스페이스주상복합,논현동,"10,000",강남구,1,50,28,32.35,192-15,11680,3
2003,2011,한울오피스텔,수서동,"22,000",강남구,1,0,8,91.68,717,11680,5
2003,2011,사이룩스,수서동,"1,000",강남구,1,85,13,42.13,716,11680,4
2003,2011,사이룩스,수서동,"1,000",강남구,1,125,27,53.1,716,11680,11
2005,2011,에스케이리더스뷰,도곡동,"5,000",강남구,1,350,10,139.63,168,11680,3
2005,2011,에스케이리더스뷰,도곡동,"5,000",강남구,1,350,13,167.79,168,11680,4
2005,2011,에스케이리더스뷰,도곡동,"70,000",강남구,1,0,13,168.65,168,11680,20
2006,2011,도곡푸르지오 102동,도곡동,"40,000",강남구,1,0,13,113.08,949-2,11680,11
2002,2011,타워팰리스(467-0),도곡동,"45,000",강남구,1,0,17,88.39,467,11680,7
2003,2011,타워팰리스(467-17),도곡동,"15,000",강남구,1,230,18,79.04,467-17,11680,7
2002,2011,타워팰리스(467-0),도곡동,"45,000",강남구,1,0,19,75.29,467,11680,17
2005,2011,에스케이리더스뷰,도곡동,"65,000",강남구,1,0,26,167.79,168,11680,6
2005,2011,에스케이리더스뷰,도곡동,"67,000",강남구,1,0,28,168.65,168,11680,13
2002,2011,타워팰리스(467-0),도곡동,"53,000",강남구,1,0,28,91.1,467,11680,5
2004,2011,레지던스H2,역삼동,"1,000",강남구,2,100,14,25.2,789-9,11680,3
2004,2011,레지던스H2,역삼동,"1,000",강남구,2,95,17,25.6,789-9,11680,2
1998,2011,강남뉴스텔,역삼동,"5,000",강남구,2,35,18,28.36,826-30,11680,11
2003,2011,빌딩-에벤에셀,역삼동,"8,000",강남구,2,10,22,26.92,718-27,11680,5
2004,2011,능현오피스텔,역삼동,"1,500",강남구,2,85,25,29.65,708-16,11680,10
1991,2011,경원오피스텔,청담동,"6,000",강남구,2,0,8,22.77,5,11680,4
1991,2011,경원오피스텔,청담동,"6,000",강남구,2,0,8,22.77,5,11680,9
2005,2011,네이처 포엠,청담동,"18,000",강남구,2,170,11,75.51,118-17,11680,6
2006,2011,마젤란21아스테리움,삼성동,"30,000",강남구,2,0,7,100.21,158-10,11680,7
2003,2011,삼성역 두산위브센티움,삼성동,"15,000",강남구,2,0,18,27.88,158-4,11680,10
2004,2011,미켈란147,삼성동,"35,000",강남구,2,0,21,71.98,147-2,11680,2
2003,2011,논현동대우아이빌 힐타운,논현동,"15,000",강남구,2,0,22,40.35,152-5,11680,3
2003,2011,사이룩스,수서동,"11,000",강남구,2,0,1,32.58,716,11680,5
2002,2011,수서현대벤쳐빌,수서동,"1,000",강남구,2,60,5,25.45,713,11680,15
2003,2011,사이룩스,수서동,"11,000",강남구,2,0,10,33.52,716,11680,12
2002,2011,타워팰리스(467-0),도곡동,"65,000",강남구,2,0,1,121.5,467,11680,10
2003,2011,타워팰리스(467-17),도곡동,"5,000",강남구,2,280,1,79.86,467-17,11680,8
2002,2011,타워팰리스(467-0),도곡동,"50,000",강남구,2,40,10,91.1,467,11680,19
2002,2011,타워팰리스(467-0),도곡동,"57,000",강남구,2,0,10,91.1,467,11680,5
2006,2011,도곡푸르지오 102동,도곡동,"33,000",강남구,2,0,12,77.81,949-2,11680,9
2002,2011,타워팰리스(467-0),도곡동,"15,000",강남구,2,160,16,64.55,467,11680,19
2003,2011,타워팰리스(467-17),도곡동,"68,000",강남구,2,0,16,121.76,467-17,11680,10
2003,2011,타워팰리스(467-17),도곡동,"32,000",강남구,2,30,17,60.19,467-17,11680,3
2006,2011,도곡푸르지오 102동,도곡동,"41,000",강남구,2,0,19,113.08,949-2,11680,5
2005,2011,에스케이리더스뷰,도곡동,"75,000",강남구,2,0,21,168.65,168,11680,16
2004,2011,타워팰리스(467-29),도곡동,"120,000",강남구,2,0,23,180.31,467-29,11680,11
2002,2011,타워팰리스(467-0),도곡동,"65,000",강남구,2,0,28,143.89,467,11680,5
1989,2011,(832-26),역삼동,"11,500",강남구,3,0,17,32.3,832-26,11680,4
2004,2011,강남역두산위브센티움,역삼동,"3,000",강남구,3,60,28,27.31,823-26,11680,4
1991,2011,황화빌딩,역삼동,"2,000",강남구,3,65,29,27.9,832-7,11680,15
1997,2011,대청타워,개포동,"10,100",강남구,3,0,12,32.44,13-3,11680,26
2003,2011,삼성역 두산위브센티움,삼성동,"4,000",강남구,3,45,12,23.29,158-4,11680,2
2003,2011,대치동대우아이빌멤버스,대치동,"2,000",강남구,3,90,29,36.76,891-26,11680,4
2000,2011,삼아프라자,논현동,"7,500",강남구,3,0,5,24.84,242-21,11680,8
