건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2005,2011,한화오벨리스크스위트,명일동,"12,000",강동구,1,100,3,106.16,48-17,11740,5
2004,2011,노블레스,길동,"11,000",강동구,1,0,8,40.55,383-8,11740,10
2006,2011,강동역에스케이허브,길동,"3,000",강동구,1,120,13,60.53,445-1,11740,7
1980,2011,강동리시온,암사동,"6,000",강동구,1,0,7,28.44,501-19,11740,3
2003,2011,스카이블루오피스텔,암사동,"6,000",강동구,1,0,14,20.39,512-10,11740,5
2003,2011,인택스파크뷰,성내동,"2,000",강동구,1,70,7,36.04,448-17,11740,2
2005,2011,상떼 오피스텔,천호동,"4,000",강동구,1,15,6,19.18,554-2,11740,4
2003,2011,오피스텔 트레벨,천호동,"8,500",강동구,1,0,7,28.43,451-20,11740,4
2003,2011,오피스텔 트레벨,천호동,500,강동구,1,55,8,26.33,451-20,11740,5
2004,2011,쌍용플래티넘리버,천호동,"10,000",강동구,1,0,9,34.2,432-10,11740,13
2003,2011,천호네스빌,천호동,"9,000",강동구,1,0,10,39,170-2,11740,1
2003,2011,정암하이빌,천호동,"6,500",강동구,1,0,11,23.12,161-17,11740,4
2004,2011,비전그린오피스텔,천호동,"6,500",강동구,1,0,12,22.44,452-21,11740,7
2003,2011,오피스텔 트레벨,천호동,"8,500",강동구,1,0,13,28.43,451-20,11740,12
2004,2011,두산위브센티움,천호동,"10,000",강동구,1,0,13,33.4,414,11740,12
2004,2011,(431-5),천호동,"2,000",강동구,1,40,15,27.45,431-5,11740,11
2007,2011,강동 상떼빌,천호동,"5,000",강동구,1,80,19,56.04,450,11740,2
2003,2011,천호네스빌,천호동,"9,500",강동구,1,0,21,39,170-2,11740,1
2007,2011,강동 상떼빌,천호동,"14,000",강동구,1,0,22,56.04,450,11740,4
2002,2011,한성하우징,천호동,"6,500",강동구,1,15,23,29.07,155-3,11740,5
2003,2011,정암하이빌,천호동,"7,800",강동구,1,0,24,23.12,161-17,11740,6
2005,2011,상떼 오피스텔,천호동,"6,000",강동구,1,30,24,19.99,554-2,11740,6
2002,2011,한강리버빌,천호동,"6,500",강동구,1,0,24,30.12,466-3,11740,2
2003,2011,오피스텔 트레벨,천호동,"1,000",강동구,1,60,24,31.95,451-20,11740,7
2003,2011,천호동 오피스텔,천호동,"6,500",강동구,1,0,27,33.42,166-107,11740,6
1994,2011,힐탑프라자,천호동,"5,500",강동구,1,0,27,20.48,449-49,11740,5
2004,2011,두산위브센티움,천호동,"8,000",강동구,1,0,29,27.1,414,11740,15
2004,2011,비전그린오피스텔,천호동,"6,500",강동구,1,0,29,22.44,452-21,11740,7
2004,2011,두산위브센티움,천호동,"8,000",강동구,1,20,29,31.37,414,11740,14
1997,2011,신구오피스텔,천호동,"10,000",강동구,1,0,29,43.29,151-2,11740,9
2004,2011,강동역두산위브센티움,천호동,"3,000",강동구,1,50,30,31.43,155-5,11740,10
2005,2011,한화오벨리스크스위트,명일동,"28,000",강동구,2,0,18,125.84,48-17,11740,5
1993,2011,일성하이츠오피스텔,길동,500,강동구,2,45,12,22.77,454-1,11740,4
2004,2011,노블레스,길동,"3,000",강동구,2,65,15,42.41,383-8,11740,7
2006,2011,강동역에스케이허브,길동,"16,000",강동구,2,0,15,47.43,445-1,11740,8
2004,2011,명성오피스텔,암사동,"3,000",강동구,2,35,12,20.28,513-8,11740,4
2002,2011,서울오피스텔,암사동,"5,500",강동구,2,0,19,15.56,501-21,11740,3
2002,2011,서울오피스텔,암사동,"5,500",강동구,2,0,22,15.56,501-21,11740,2
2003,2011,인택스파크뷰,성내동,100,강동구,2,60,4,20.97,448-17,11740,2
2003,2011,인택스파크뷰,성내동,"3,000",강동구,2,40,11,20.97,448-17,11740,3
2007,2011,브라운스톤천호,성내동,"10,000",강동구,2,40,28,59.86,64-13,11740,15
2004,2011,강동역두산위브센티움,천호동,"3,000",강동구,2,45,1,31.43,155-5,11740,11
2003,2011,1동(166-100),천호동,"6,000",강동구,2,0,8,25.32,166-100,11740,3
2005,2011,상떼 오피스텔,천호동,"5,500",강동구,2,0,8,19.18,554-2,11740,7
1994,2011,힐탑프라자,천호동,"3,800",강동구,2,0,8,20.48,449-49,11740,16
2003,2011,1동(166-100),천호동,"6,500",강동구,2,0,9,30.9,166-100,11740,7
2003,2011,오피스텔 트레벨,천호동,"12,000",강동구,2,0,9,31.95,451-20,11740,12
2003,2011,오피스텔 트레벨,천호동,"9,500",강동구,2,0,9,31.95,451-20,11740,3
2004,2011,강동역두산위브센티움,천호동,"1,000",강동구,2,65,10,31.43,155-5,11740,10
2004,2011,쌍용플래티넘리버,천호동,"1,000",강동구,2,75,10,33.45,432-10,11740,12
2002,2011,선경오피스텔,천호동,"5,500",강동구,2,0,10,17.28,165-1,11740,2
2004,2011,대동피렌체리버,천호동,"5,000",강동구,2,40,11,33.57,442-34,11740,6
2004,2011,강동역두산위브센티움,천호동,"11,000",강동구,2,0,12,34.78,155-5,11740,15
2005,2011,상떼 오피스텔,천호동,"3,000",강동구,2,25,12,19.18,554-2,11740,6
2004,2011,비전그린오피스텔,천호동,"7,500",강동구,2,0,12,22.44,452-21,11740,4
2004,2011,두산위브센티움,천호동,"13,000",강동구,2,0,14,39.17,414,11740,10
2004,2011,비전그린오피스텔,천호동,"8,000",강동구,2,0,14,22.44,452-21,11740,8
2004,2011,강동역두산위브센티움,천호동,"7,500",강동구,2,20,15,31.43,155-5,11740,10
2004,2011,쌍용플래티넘리버,천호동,"12,000",강동구,2,0,15,34.2,432-10,11740,3
2004,2011,대동피렌체리버,천호동,"2,000",강동구,2,60,16,32.67,442-34,11740,8
2003,2011,오피스텔 트레벨,천호동,"10,000",강동구,2,0,16,31.95,451-20,11740,12
2005,2011,상떼 오피스텔,천호동,"2,000",강동구,2,35,17,19.18,554-2,11740,2
2004,2011,쌍용플래티넘리버,천호동,"10,000",강동구,2,15,17,34.2,432-10,11740,9
1994,2011,힐탑프라자,천호동,500,강동구,2,40,18,20.48,449-49,11740,16
2004,2011,대동피렌체리버,천호동,"11,000",강동구,2,0,18,35.5,442-34,11740,6
